item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
10,Center Embedding,TS 1,grammatical,The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page,The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page,paired,-129.8365936279297,-113.32830810546875,False,-1.9888474941253662,-3.0289645195007324,-2.0193793773651123,-2.981553792953491,True,True,True,False,False,True,google/gemma-2b,
11,Center Embedding,TS 2,grammatical,The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago,The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago,paired,-110.56831359863281,-106.33345794677734,False,-2.258303642272949,-3.3468801975250244,-2.2449193000793457,-3.346278190612793,False,True,True,False,False,True,google/gemma-2b,
12,Center Embedding,TS 3,grammatical,The game that the child who the lawnmower had startled in the yard was playing in the morning lasted for hours,The game that the child who the lawnmower had startled in the yard lasted for hours,paired,-104.28849792480469,-92.33847045898438,False,-2.1935949325561523,-3.293665647506714,-2.2296810150146484,-3.2364561557769775,True,True,True,False,False,True,google/gemma-2b,
13,Center Embedding,TS 4,grammatical,The crime that the gangster who the story had profiled had planned for weeks was quickly solved,The crime that the gangster who the story had profiled was quickly solved,paired,-95.43650817871094,-79.13629150390625,False,-2.192380666732788,-3.1819286346435547,-2.1895601749420166,-3.104219913482666,False,True,True,False,False,True,google/gemma-2b,
14,Center Embedding,TS 5,grammatical,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,paired,-104.8116226196289,-104.8116226196289,False,-2.2397992610931396,-3.3196353912353516,-2.2397992610931396,-3.3196353912353516,False,False,True,False,False,True,google/gemma-2b,
15,Center Embedding,TS 6,ungrammatical,The trophy that the athlete who the restaurant had hired as a spokesman cherished was stolen later,The trophy that the athlete who the restaurant had hired as a spokesman was stolen later,paired,-97.2910385131836,-94.15493774414062,False,-2.2286040782928467,-3.4226274490356445,-2.2811574935913086,-3.4733800888061523,True,False,True,False,False,True,google/gemma-2b,
16,Center Embedding,TS 7,ungrammatical,The apartment that the maid who the service had sent over cleaned was well decorated,The apartment that the maid who the service had sent over was well decorated,paired,-84.2028579711914,-79.26974487304688,False,-2.209890127182007,-3.336024045944214,-2.2288334369659424,-3.4063303470611572,True,False,True,False,False,True,google/gemma-2b,
17,Center Embedding,TS 8,ungrammatical,The shirt that the seamstress who the immigration officer had investigated last week wore needed to be dry cleaned,The shirt that the seamstress who the immigration officer had investigated last week needed to be dry cleaned,paired,-97.60176849365234,-95.72220611572266,False,-2.1576852798461914,-3.4277844429016113,-2.161438465118408,-3.409634828567505,True,True,True,False,False,True,google/gemma-2b,
18,Center Embedding,TS 9,ungrammatical,The lecture that the professor who the newspaper story had just profiled in detail delivered was not well attended,The lecture that the professor who the newspaper story had just profiled in detail was not well attended,paired,-98.96987915039062,-95.98491668701172,False,-1.991262435913086,-2.9826231002807617,-1.985356092453003,-2.95866060256958,False,True,True,False,False,True,google/gemma-2b,
19,Center Embedding,TS 10,ungrammatical,The novel that the horror author who the publishing company had recently fired wrote last year was banned by the local library,The novel that the horror author who the publishing company had recently fired was banned by the local library,paired,-101.98806762695312,-89.81303405761719,False,-2.211463451385498,-3.2215394973754883,-2.2542808055877686,-3.2690341472625732,True,False,True,False,False,True,google/gemma-2b,
20,Comparative Sentences,TS 1,grammatical,More gym instructors won a marathon yesterday than lawyers did,More gym instructors won a marathon yesterday than Nikhil did,paired,-73.53082275390625,-86.57713317871094,True,-2.298924207687378,-3.7054810523986816,-2.3216333389282227,-3.6913161277770996,True,True,True,False,False,True,google/gemma-2b,
21,Comparative Sentences,TS 2,grammatical,More Americans began law school this week than Canadians did,More Americans began law school this week than Jason did,paired,-54.966339111328125,-61.53394317626953,True,-1.9375793933868408,-3.22725248336792,-1.9920411109924316,-3.2110860347747803,True,True,True,False,False,True,google/gemma-2b,
22,Comparative Sentences,TS 3,grammatical,This month more one-year-olds took their first steps than 10-month-olds did,This month more one-year-olds took their first steps than Marie's daughter did,paired,-63.833656311035156,-73.5640869140625,True,-2.24058198928833,-3.4765188694000244,-2.209172010421753,-3.330061912536621,False,True,True,False,False,True,google/gemma-2b,
23,Comparative Sentences,TS 4,grammatical,Today more Brazilians immigrated to Japan than Chileans did,Today more Brazilians immigrated to Japan than Wolfgang did,paired,-60.12107849121094,-68.62122344970703,True,-2.132901906967163,-3.292180061340332,-2.174777030944824,-3.2829556465148926,True,True,True,False,False,True,google/gemma-2b,
24,Comparative Sentences,TS 5,grammatical,More 18-year-olds voted in this election than 40-year-olds did,More 18-year-olds voted in this election than he did,paired,-50.105384826660156,-46.374088287353516,False,-2.1092021465301514,-3.21940541267395,-2.078197956085205,-3.127707004547119,False,True,True,False,False,True,google/gemma-2b,
25,Comparative Sentences,TS 6,ungrammatical,More photographers won their third Pulitzer this year than the writers did,More photographers won their third Pulitzer this year than the professor did,paired,-64.7771987915039,-74.0609130859375,True,-2.219461679458618,-3.4222328662872314,-2.2368388175964355,-3.4238121509552,True,False,True,False,False,True,google/gemma-2b,
26,Comparative Sentences,TS 7,ungrammatical,More girls graduated from high school last year than boys did,More girls graduated from high school last year than John did,paired,-35.72044372558594,-51.557533264160156,True,-2.1066925525665283,-3.543893575668335,-2.1426916122436523,-3.559826374053955,True,False,True,False,False,True,google/gemma-2b,
27,Comparative Sentences,TS 8,ungrammatical,This semester more foreign applicants got into Stanford than Americans did,This semester more foreign applicants got into Stanford than Marie did,paired,-56.20514678955078,-74.0610122680664,True,-2.1218245029449463,-3.394700527191162,-2.14424467086792,-3.3698909282684326,True,True,True,False,False,True,google/gemma-2b,
28,Comparative Sentences,TS 9,ungrammatical,More boys got an A on the exam yesterday than the girls did,More boys got an A on the exam yesterday than she did,paired,-53.48859405517578,-57.8804931640625,True,-2.095477819442749,-3.5136852264404297,-2.1296982765197754,-3.5096192359924316,True,True,True,False,False,True,google/gemma-2b,
29,Comparative Sentences,TS 10,ungrammatical,Last month more couples had their second child than single parents did,Last month more couples had their second child than Sandra's sister did,paired,-56.561466217041016,-75.33641815185547,True,-2.3017241954803467,-3.9121251106262207,-2.373112201690674,-3.857485294342041,True,True,True,False,False,True,google/gemma-2b,
30,Intrusive Resumption,TS 1,grammatical,This is the boy that the cop who was leading the operation beat up,This is the boy that the cop who was leading the operation beat him up,paired,-63.03030014038086,-68.6958236694336,True,-2.2245776653289795,-3.2988953590393066,-2.2143213748931885,-3.3331451416015625,False,False,True,False,False,True,google/gemma-2b,
31,Intrusive Resumption,TS 2,grammatical,This is the girl that the child who was playing with the doll loved,This is the girl that the child who was playing with the doll loved her,paired,-57.29186248779297,-62.49039840698242,True,-2.300041437149048,-3.429428815841675,-2.283414840698242,-3.4074344635009766,False,True,True,False,False,True,google/gemma-2b,
32,Intrusive Resumption,TS 3,grammatical,This is the boy that the teachers who were teaching mathematics praised,This is the boy that the teachers who were teaching mathematics praised him,paired,-62.815101623535156,-65.61798095703125,True,-2.3033928871154785,-3.545299768447876,-2.285928726196289,-3.5231778621673584,False,True,True,False,False,True,google/gemma-2b,
33,Intrusive Resumption,TS 4,grammatical,These are the flowers that the gardener who was working on John's flowerbed planted,These are the flowers that the gardener who was working on John's flowerbed planted them,paired,-69.20004272460938,-76.86761474609375,True,-2.1974711418151855,-3.0853688716888428,-2.182745933532715,-3.114914894104004,False,False,True,False,False,True,google/gemma-2b,
34,Intrusive Resumption,TS 5,grammatical,These are the cakes that the pastry chefs who were participating in the competition baked,These are the cakes that the pastry chefs who were participating in the competition baked them,paired,-55.67998504638672,-64.0396728515625,True,-2.1542208194732666,-2.9669342041015625,-2.133479595184326,-2.9901702404022217,False,False,True,False,False,True,google/gemma-2b,
35,Intrusive Resumption,TS 6,ungrammatical,This is the girl that the boy who was working with the gardener courted,This is the girl that the boy who was working with the gardener courted her,paired,-67.31976318359375,-70.89039611816406,True,-2.2210497856140137,-3.258094310760498,-2.1952033042907715,-3.2481987476348877,False,True,True,False,False,True,google/gemma-2b,
36,Intrusive Resumption,TS 7,ungrammatical,This is the actress that the judge who was working at Cannes admired,This is the actress that the judge who was working at Cannes admired her,paired,-72.30809020996094,-76.88117218017578,True,-2.130749464035034,-3.1621148586273193,-2.1334540843963623,-3.1641783714294434,True,False,True,False,False,True,google/gemma-2b,
37,Intrusive Resumption,TS 8,ungrammatical,This is the mug that the artisans who were working with ceramics crafted,This is the mug that the artisans who were working with ceramics crafted it,paired,-68.0538558959961,-71.9571533203125,True,-2.2696444988250732,-3.2214930057525635,-2.231656551361084,-3.189570903778076,False,True,True,False,False,True,google/gemma-2b,
38,Intrusive Resumption,TS 9,ungrammatical,This is the dictionary entry that the students who were doing the exam looked up,This is the dictionary entry that the students who were doing the exam looked it up,paired,-64.34838104248047,-69.36821746826172,True,-2.1712868213653564,-3.1731574535369873,-2.150726318359375,-3.1687936782836914,False,True,True,False,False,True,google/gemma-2b,
39,Intrusive Resumption,TS 10,ungrammatical,This is the competition that the athletes who were feeling tired gave up,This is the competition that the athletes who were feeling tired gave it up,paired,-64.355712890625,-70.12013244628906,True,-2.1954286098480225,-3.269848108291626,-2.211794137954712,-3.32428240776062,True,False,True,False,False,True,google/gemma-2b,
40,NPIs,TS 1,grammatical,No authors that the critics recommended have received any acknowledgment for a best-selling novel,The authors that no critics recommended have received any acknowledgment for a best-selling novel,paired,-80.1282958984375,-90.50299835205078,True,-2.0510759353637695,-3.110093116760254,-2.0324528217315674,-3.098926305770874,False,True,True,False,False,True,google/gemma-2b,
41,NPIs,TS 2,grammatical,No ambassadors that the diplomats consulted have ever seen brutality in the foreign war,The ambassadors that no diplomats consulted have ever seen brutality in the foreign war,paired,-96.3537826538086,-101.17317962646484,True,-2.1974594593048096,-3.3146047592163086,-2.2124440670013428,-3.332051992416382,True,False,True,False,False,True,google/gemma-2b,
42,NPIs,TS 3,grammatical,No customers that the salesmen assisted have expressed any optimism for a full refund,The customers that no salesmen assisted have expressed any optimism for a full refund,paired,-84.62749481201172,-95.58786010742188,True,-2.2021312713623047,-3.4938080310821533,-2.174978733062744,-3.4157662391662598,False,True,True,False,False,True,google/gemma-2b,
43,NPIs,TS 4,grammatical,No detergents that the housewives used have ever caused damage to the delicate clothing,The detergents that no housewives used have ever caused damage to the delicate clothing,paired,-74.79112243652344,-87.39241027832031,True,-2.2663161754608154,-3.448575496673584,-2.2805540561676025,-3.414944887161255,True,True,True,False,False,True,google/gemma-2b,
44,NPIs,TS 5,grammatical,No students that the teachers punished could expect any friendliness from the strict principal,The students that no teachers punished could expect any friendliness from the strict principal,paired,-80.5411605834961,-88.6214599609375,True,-2.25288462638855,-3.278698205947876,-2.188183307647705,-3.2176318168640137,False,True,True,False,False,True,google/gemma-2b,
45,NPIs,TS 6,ungrammatical,No soldiers that the diplomats supported have shown any bravery in the controversial war,The soldiers that no diplomats supported have shown any bravery in the controversial war,paired,-84.3024673461914,-93.61905670166016,True,-2.2193965911865234,-3.1356053352355957,-2.211463689804077,-3.1440913677215576,False,False,True,False,False,True,google/gemma-2b,
46,NPIs,TS 7,ungrammatical,No professors that the students respected have ever wanted negativity in a class debate,The professors that no students respected have ever wanted negativity in a class debate,paired,-89.07659149169922,-100.70990753173828,True,-2.0187604427337646,-3.0451254844665527,-2.015627145767212,-2.9891862869262695,False,True,True,False,False,True,google/gemma-2b,
47,NPIs,TS 8,ungrammatical,No comments that the politicians ignored have caused any bitterness toward the liberal newspapers,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers,paired,-88.67467498779297,-99.74610900878906,True,-2.244858741760254,-3.4383678436279297,-2.2723896503448486,-3.4432177543640137,True,False,True,False,False,True,google/gemma-2b,
48,NPIs,TS 9,ungrammatical,No lawyers that the businessmen respected have ever received criticism for a bad trial,The lawyers that no businessmen respected have ever received criticism for a bad trial,paired,-88.72610473632812,-95.47142791748047,True,-2.2150797843933105,-3.3552639484405518,-2.195981740951538,-3.3158159255981445,False,True,True,False,False,True,google/gemma-2b,
49,NPIs,TS 10,ungrammatical,No babysitters that the children obeyed have shown any gratitude to the disappointed parents,The babysitters that no children obeyed have shown any gratitude to the disappointed parents,paired,-88.39641571044922,-93.89795684814453,True,-2.225010871887207,-3.388202428817749,-2.2069549560546875,-3.409756898880005,False,False,True,False,False,True,google/gemma-2b,
50,Order of Adjectives,TS 1,grammatical,I wore a beautiful long Italian silk dress,I wore a silk Italian long beautiful dress,paired,-39.32344055175781,-50.78550338745117,True,-2.219797372817993,-3.332062244415283,-2.260111093521118,-3.4170336723327637,True,False,True,False,False,True,google/gemma-2b,
51,Order of Adjectives,TS 2,grammatical,I bought a nice small German electric bike,I bought an electric German small nice bike,paired,-44.38145446777344,-61.09287643432617,True,-2.243412494659424,-3.4808218479156494,-2.2584307193756104,-3.5460867881774902,True,False,True,False,False,True,google/gemma-2b,
52,Order of Adjectives,TS 3,grammatical,I washed an ugly wide American wool sweater,I washed a wool American wide ugly sweater,paired,-58.41564178466797,-65.6307144165039,True,-2.2769947052001953,-3.389456033706665,-2.291717767715454,-3.379756450653076,True,True,True,False,False,True,google/gemma-2b,
53,Order of Adjectives,TS 4,grammatical,I painted a fine short Swedish wooden table,I painted a wooden Swedish short fine table,paired,-58.12542724609375,-62.48707580566406,True,-2.2709853649139404,-3.5435423851013184,-2.314413547515869,-3.6264688968658447,True,False,True,False,False,True,google/gemma-2b,
54,Order of Adjectives,TS 5,grammatical,I saw a graceful tall Venetian vitreous vase,I saw a vitreous Venetian tall graceful vase,paired,-69.843994140625,-66.39659881591797,False,-2.3073971271514893,-3.556572675704956,-2.2896625995635986,-3.5025084018707275,False,True,True,False,False,True,google/gemma-2b,
55,Order of Adjectives,TS 6,ungrammatical,I wore a beautiful long Italian silk dress,I wore a silk Italian long beautiful dress,paired,-39.32344055175781,-50.78550338745117,True,-2.219797372817993,-3.332062244415283,-2.260111093521118,-3.4170336723327637,True,False,True,False,False,True,google/gemma-2b,
56,Order of Adjectives,TS 7,ungrammatical,I bought a nice small German electric bike,I bought an electric German small nice bike,paired,-44.38145446777344,-61.09287643432617,True,-2.243412494659424,-3.4808218479156494,-2.2584307193756104,-3.5460867881774902,True,False,True,False,False,True,google/gemma-2b,
57,Order of Adjectives,TS 8,ungrammatical,I washed an ugly wide American wool sweater,I washed a wool American wide ugly sweater,paired,-58.41564178466797,-65.6307144165039,True,-2.2769947052001953,-3.389456033706665,-2.291717767715454,-3.379756450653076,True,True,True,False,False,True,google/gemma-2b,
58,Order of Adjectives,TS 9,ungrammatical,I painted a fine short Swedish wooden table,I painted a wooden Swedish short fine table,paired,-58.12542724609375,-62.48707580566406,True,-2.2709853649139404,-3.5435423851013184,-2.314413547515869,-3.6264688968658447,True,False,True,False,False,True,google/gemma-2b,
59,Order of Adjectives,TS 10,ungrammatical,I saw a graceful tall Venetian vitreous vase,I saw a vitreous Venetian tall graceful vase,paired,-69.843994140625,-66.39659881591797,False,-2.3073971271514893,-3.556572675704956,-2.2896625995635986,-3.5025084018707275,False,True,True,False,False,True,google/gemma-2b,
60,Order of Adverbs,TS 1,grammatical,Charlotte allegedly once was an acrobat,Charlotte once allegedly was an acrobat,paired,-47.97093963623047,-49.39032745361328,True,-2.235700845718384,-3.5443081855773926,-2.2335925102233887,-3.548095464706421,False,False,True,False,False,True,google/gemma-2b,
61,Order of Adverbs,TS 2,grammatical,Sean probably already did his homework,Sean already probably did his homework,paired,-39.68841552734375,-45.678199768066406,True,-2.218628406524658,-3.5052037239074707,-2.1915788650512695,-3.430535316467285,False,True,True,False,False,True,google/gemma-2b,
62,Order of Adverbs,TS 3,grammatical,Melissa then always cleaned the dishes,Melissa always then cleaned the dishes,paired,-47.193359375,-47.892093658447266,True,-2.252593755722046,-3.5380141735076904,-2.2055084705352783,-3.485745668411255,False,True,True,False,False,True,google/gemma-2b,
63,Order of Adverbs,TS 4,grammatical,Dre perhaps still takes dance lessons,Dre still perhaps takes dance lessons,paired,-55.32450485229492,-55.661651611328125,True,-2.185633897781372,-3.202045440673828,-2.1685075759887695,-3.2100791931152344,False,False,True,False,False,True,google/gemma-2b,
64,Order of Adverbs,TS 5,grammatical,Emily probably no longer drinks beer,Emily no longer probably drinks beer,paired,-43.43010711669922,-59.206016540527344,True,-2.157684564590454,-3.436706304550171,-2.156360149383545,-3.3816211223602295,False,True,True,False,False,True,google/gemma-2b,
65,Order of Adverbs,TS 6,ungrammatical,Marc allegedly once was a firefighter,Marc once allegedly was a firefighter,paired,-47.333213806152344,-48.78791046142578,True,-2.2721612453460693,-3.711407423019409,-2.2699055671691895,-3.737300395965576,False,False,True,False,False,True,google/gemma-2b,
66,Order of Adverbs,TS 7,ungrammatical,Sonja probably already set the table,Sonja already probably set the table,paired,-45.589874267578125,-50.8106689453125,True,-2.1214373111724854,-3.272162437438965,-2.090535879135132,-3.2055416107177734,False,True,True,False,False,True,google/gemma-2b,
67,Order of Adverbs,TS 8,ungrammatical,Jacob then always did his homework,Jacob always then did his homework,paired,-42.49055480957031,-44.33428955078125,True,-2.319247007369995,-3.5971148014068604,-2.2664480209350586,-3.5533535480499268,False,True,True,False,False,True,google/gemma-2b,
68,Order of Adverbs,TS 9,ungrammatical,Gary perhaps still drives to work,Gary still perhaps drives to work,paired,-45.10749053955078,-47.82025146484375,True,-2.2614762783050537,-3.602277994155884,-2.23879337310791,-3.558624744415283,False,True,True,False,False,True,google/gemma-2b,
69,Order of Adverbs,TS 10,ungrammatical,Jeff probably no longer eats sushi,Jeff no longer probably eats sushi,paired,-42.20932388305664,-45.61161804199219,True,-2.132755994796753,-3.480544328689575,-2.134523391723633,-3.438107967376709,True,True,True,False,False,True,google/gemma-2b,
70,Plural Attraction,TS 1,grammatical,The key to the cabinets probably was destroyed by the fire,The key to the cabinets probably were destroyed by the fire,paired,-53.881690979003906,-54.63311767578125,True,-2.2105345726013184,-3.53652286529541,-2.1839706897735596,-3.561082124710083,False,False,True,False,False,True,google/gemma-2b,
71,Plural Attraction,TS 2,grammatical,The picture on the fliers definitely was of a village church in the south of France,The picture on the fliers definitely were of a village church in the south of France,paired,-71.41399383544922,-75.3756103515625,True,-2.1438028812408447,-3.3974881172180176,-2.0901741981506348,-3.3367843627929688,False,True,True,False,False,True,google/gemma-2b,
72,Plural Attraction,TS 3,grammatical,The label on the containers probably was a warning about the hazardous chemicals inside,The label on the containers probably were a warning about the hazardous chemicals inside,paired,-64.20625305175781,-67.90999603271484,True,-2.301456928253174,-3.4902024269104004,-2.2034966945648193,-3.407212734222412,False,True,True,False,False,True,google/gemma-2b,
73,Plural Attraction,TS 4,grammatical,The crime in the suburbs doubtlessly was a reflection of the violence in today's society,The crime in the suburbs doubtlessly were a reflection of the violence in today's society,paired,-73.36219024658203,-78.34685516357422,True,-2.2527811527252197,-3.1378400325775146,-2.1563050746917725,-3.02866792678833,False,True,True,False,False,True,google/gemma-2b,
74,Plural Attraction,TS 5,grammatical,The entrance to the exhibits evidently was hard to locate on the diagram,The entrance to the exhibits evidently were hard to locate on the diagram,paired,-68.6845932006836,-70.84056091308594,True,-2.269498348236084,-3.6612818241119385,-2.180375814437866,-3.573132276535034,False,True,True,False,False,True,google/gemma-2b,
75,Plural Attraction,TS 6,ungrammatical,The slogan on the posters unsurprisingly was designed to get attention,The slogan on the posters unsurprisingly were designed to get attention,paired,-59.028160095214844,-61.18708038330078,True,-2.3218884468078613,-3.4322385787963867,-2.2836601734161377,-3.4717423915863037,False,False,True,False,False,True,google/gemma-2b,
76,Plural Attraction,TS 7,ungrammatical,The mistake in the programs certainly was disastrous for the small software company,The mistake in the programs certainly were disastrous for the small software company,paired,-73.37751770019531,-77.61727142333984,True,-2.2481865882873535,-3.4538795948028564,-2.1776232719421387,-3.4107372760772705,False,True,True,False,False,True,google/gemma-2b,
77,Plural Attraction,TS 8,ungrammatical,The problem in the stores ultimately was solved by firing the custodian,The problem in the stores ultimately were solved by firing the custodian,paired,-71.29338073730469,-76.46134948730469,True,-2.2656822204589844,-3.568080425262451,-2.1847546100616455,-3.490442991256714,False,True,True,False,False,True,google/gemma-2b,
78,Plural Attraction,TS 9,ungrammatical,The defect in the appliances likely was unknown to consumers and government regulators,The defect in the appliances likely were unknown to consumers and government regulators,paired,-69.0382080078125,-71.94538879394531,True,-2.245363235473633,-3.3812499046325684,-2.171039342880249,-3.2803750038146973,False,True,True,False,False,True,google/gemma-2b,
79,Plural Attraction,TS 10,ungrammatical,The door to the laboratories accidentally was left unlocked by the cleaning service,The door to the laboratories accidentally were left unlocked by the cleaning service,paired,-60.87786102294922,-64.39888763427734,True,-2.3946077823638916,-3.8091559410095215,-2.3075201511383057,-3.797229290008545,False,True,True,False,False,True,google/gemma-2b,
