condition,item_id,question,correct,intuitive,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,model,revision
crt2,14,"How long does it take 2 people to read 2 books, if it takes 4 people 4 weeks to read 4 books?",4 weeks,2 weeks," It takes 2 people 2 weeks to read 2 books.
Question: How long does it take 2 people to read 4 books, if it takes 4 people 4 weeks to read 4 books?
Answer: It takes 4 people 4 weeks to read 4 books.
Question: How long does it take 2 people to read 4 books, if it takes 4 people 4 weeks to read 4 books?
Answer: It takes 2 people 2 weeks to read 4 books.
Question: How long does it",It takes 2 people 2 weeks to read 2 books.,intuitive,intuitive,"[-1.815192699432373, -1.7648921012878418]","['correct', 'intuitive']",-1.815192699,-1.764892101,1,intuitive,2 weeks,-1.764892101,FALSE,allenai/OLMo-7B,
crt2,15,"How long does it take 5 teams to renovate 5 houses, if it takes 8 teams 8 weeks to renovate 8 houses?",8 weeks,5 weeks," It takes 5 teams 5 weeks to renovate 5 houses.
Question: How long does it take 5 teams to renovate 5 houses, if it takes 8 teams 8 weeks to renovate 8 houses?
Question: How long does it take 5 teams to renovate 5 houses, if it takes 8 teams 8 weeks to renovate 8 houses?
Question: How long does it take 5 teams to renovate 5 houses, if it takes 8 teams 8 weeks to renovate 8 houses?
",It takes 5 teams 5 weeks to renovate 5 houses.,intuitive,intuitive,"[-1.941533088684082, -2.140626907348633]","['correct', 'intuitive']",-1.941533089,-2.140626907,0,correct,8 weeks,-1.941533089,TRUE,allenai/OLMo-7B,
crt2,16,"How long does it take 30 people to knit 30 pairs of socks, if it takes 40 people 40 weeks to knit 40 pairs of socks?",40 weeks,30 weeks," It takes 30 people 30 weeks to knit 30 pairs of socks.
Question: How long does it take 30 people to knit 30 pairs of socks, if it takes 40 people 40 weeks to knit 40 pairs of socks?
Question: How long does it take 30 people to knit 30 pairs of socks, if it takes 40 people 40 weeks to knit 40 pairs of socks?
Question: How long does it take 30 people to knit 30 pairs of socks, if it takes 40 people 40 weeks to",It takes 30 people 30 weeks to knit 30 pairs of socks.,intuitive,intuitive,"[-1.780038833618164, -2.092203140258789]","['correct', 'intuitive']",-1.780038834,-2.09220314,0,correct,40 weeks,-1.780038834,TRUE,allenai/OLMo-7B,
crt2,17,"How long does it take 40 people to pick 40 fields of strawberries, if it takes 70 people 70 hours to pick 70 fields of strawberries?",70 hours,40 hours," It takes 40 people 40 hours to pick 40 fields of strawberries.
Question: How long does it take 40 people to pick 40 fields of strawberries, if it takes 70 people 70 hours to pick 70 fields of strawberries?
Answer: It takes 40 people 40 hours to pick 40 fields of strawberries.
Question: How long does it take 40 people to pick 40 fields of strawberries, if it takes 70 people 70 hours to pick 70 fields of strawberries?
Answer:",It takes 40 people 40 hours to pick 40 fields of strawberries.,intuitive,intuitive,"[-2.450965404510498, -2.511791706085205]","['correct', 'intuitive']",-2.450965405,-2.511791706,0,correct,70 hours,-2.450965405,TRUE,allenai/OLMo-7B,
crt2,18,"How long does it take 6 programmers to write 6 lines of code, if it takes 7 programmers 7 hours to write 7 lines of code?",7 hours,6 hours," It takes 6 programmers 6 hours to write 6 lines of code.
Question: How long does it take 7 programmers to write 7 lines of code, if it takes 6 programmers 6 hours to write 6 lines of code?
Answer: It takes 7 programmers 7 hours to write 7 lines of code.
Question: How long does it take 8 programmers to write 8 lines of code, if it takes 7 programmers 7 hours to write 7 lines of code?
Answer: It takes 8 programmers 8 hours",It takes 6 programmers 6 hours to write 6 lines of code.,intuitive,intuitive,"[-2.200399875640869, -2.001397132873535]","['correct', 'intuitive']",-2.200399876,-2.001397133,1,intuitive,6 hours,-2.001397133,FALSE,allenai/OLMo-7B,
crt2,19,"How long does it take 4 photographers to take 4 photos, if it takes 8 photographers 8 hours to take 8 photos?",8 hours,4 hours," It takes 4 photographers 4 hours to take 4 photos.
Question: How long does it take 8 photographers to take 8 photos, if it takes 4 photographers 4 hours to take 4 photos?
Answer: It takes 8 photographers 8 hours to take 8 photos.
Question: How long does it take 4 photographers to take 4 photos, if it takes 8 photographers 8 hours to take 8 photos?
Answer: It takes 4 photographers 4 hours to take 4 photos.
Question: How long does it",It takes 4 photographers 4 hours to take 4 photos.,intuitive,intuitive,"[-2.082796096801758, -1.9396867752075195]","['correct', 'intuitive']",-2.082796097,-1.939686775,1,intuitive,4 hours,-1.939686775,FALSE,allenai/OLMo-7B,
crt2,20,"How long does it take 1 painter to paint 1 painting, if it takes 8 painters 8 hours to paint 8 paintings?",8 hours,1 hour," It takes 1 painter 8 hours to paint 1 painting.
Question: How long does it take 8 painters to paint 8 paintings, if it takes 1 painter 8 hours to paint 1 painting?
Answer: It takes 8 painters 8 hours to paint 8 paintings.
Question: How long does it take 8 painters to paint 8 paintings, if it takes 1 painter 8 hours to paint 1 painting?
Answer: It takes 8 painters 8 hours to paint 8 paintings.
Question: How long does it",It takes 1 painter 8 hours to paint 1 painting.,correct,correct,"[-2.2246665954589844, -2.5671920776367188]","['correct', 'intuitive']",-2.224666595,-2.567192078,0,correct,8 hours,-2.224666595,TRUE,allenai/OLMo-7B,
crt2,21,"How long does it take 50 writers to write 50 books, if it takes 70 writers 70 minutes to write 70 books?",70 minutes,50 minutes," It takes 50 writers 50 minutes to write 50 books.
Question: How long does it take 50 writers to write 50 books, if it takes 70 writers 70 minutes to write 70 books?
Question: How long does it take 50 writers to write 50 books, if it takes 70 writers 70 minutes to write 70 books?
Question: How long does it take 50 writers to write 50 books, if it takes 70 writers 70 minutes to write 70 books?
Question: How long does it take",It takes 50 writers 50 minutes to write 50 books.,intuitive,intuitive,"[-2.3805789947509766, -2.0622401237487793]","['correct', 'intuitive']",-2.380578995,-2.062240124,1,intuitive,50 minutes,-2.062240124,FALSE,allenai/OLMo-7B,
crt2,22,"How long does it take 2 cooks to cook 2 meals, if it takes 8 cooks 8 minutes to cook 8 meals?",8 minutes,2 minutes," It takes 2 cooks 2 minutes to cook 2 meals.
Question: How long does it take 2 cooks to cook 2 meals, if it takes 8 cooks 8 minutes to cook 8 meals?
Answer: It takes 2 cooks 2 minutes to cook 2 meals.
Question: How long does it take 2 cooks to cook 2 meals, if it takes 8 cooks 8 minutes to cook 8 meals?
Answer: It takes 2 cooks 2 minutes to cook 2 meals.
Question: How long does it",It takes 2 cooks 2 minutes to cook 2 meals.,intuitive,intuitive,"[-2.386686325073242, -3.0758614540100098]","['correct', 'intuitive']",-2.386686325,-3.075861454,0,correct,8 minutes,-2.386686325,TRUE,allenai/OLMo-7B,
crt2,23,"How long does it take 50 doctors to examine 50 patients, if it takes 60 doctors 60 minutes to examine 60 patients?",60 minutes,50 minutes," It takes 50 doctors 50 minutes to examine 50 patients.
Question: How long does it take 50 doctors to examine 50 patients, if it takes 60 doctors 60 minutes to examine 60 patients?
Question: How long does it take 50 doctors to examine 50 patients, if it takes 60 doctors 60 minutes to examine 60 patients?
Question: How long does it take 50 doctors to examine 50 patients, if it takes 60 doctors 60 minutes to examine 60 patients?
Question: How long does it take",It takes 50 doctors 50 minutes to examine 50 patients.,intuitive,intuitive,"[-2.6405982971191406, -2.197197437286377]","['correct', 'intuitive']",-2.640598297,-2.197197437,1,intuitive,50 minutes,-2.197197437,FALSE,allenai/OLMo-7B,
crt2,24,"How long does it take 2 drivers to change 2 tires, if it takes 7 drivers 7 minutes to change 7 tires?",7 minutes,2 minutes," It takes 2 drivers 7 minutes to change 2 tires.
Question: How many drivers does it take to change a tire?
Answer: It takes 2 drivers to change a tire.
Question: How many drivers does it take to change a tire?
Answer: It takes 2 drivers to change a tire.
Question: How many drivers does it take to change a tire?
Answer: It takes 2 drivers to change a tire.
Question: How many drivers does it take to change",It takes 2 drivers 7 minutes to change 2 tires.,correct,correct,"[-2.0060296058654785, -2.509608268737793]","['correct', 'intuitive']",-2.006029606,-2.509608269,0,correct,7 minutes,-2.006029606,TRUE,allenai/OLMo-7B,
crt2,25,"How long does it take 2 farm workers to pick 2 apples, if it takes 8 farm workers 8 seconds to pick 8 apples?",8 seconds,2 seconds," It takes 2 farm workers 2 seconds to pick 2 apples.
Question: How long does it take 2 farm workers to pick 2 apples, if it takes 8 farm workers 8 seconds to pick 8 apples?
Answer: It takes 2 farm workers 2 seconds to pick 2 apples.
Question: How long does it take 2 farm workers to pick 2 apples, if it takes 8 farm workers 8 seconds to pick 8 apples?
Answer: It takes 2 farm workers 2 seconds to pick 2 apples.",It takes 2 farm workers 2 seconds to pick 2 apples.,intuitive,intuitive,"[-2.045419216156006, -2.822078227996826]","['correct', 'intuitive']",-2.045419216,-2.822078228,0,correct,8 seconds,-2.045419216,TRUE,allenai/OLMo-7B,
crt2,26,"How long does it take 4 freezers to freeze 4 liters of water, if it takes 6 freezers 6 hours to freeze 6 liters of water?",6 hours,4 hours," It takes 4 freezers 4 hours to freeze 4 liters of water.
Question: How long does it take 4 freezers to freeze 4 liters of water, if it takes 6 freezers 6 hours to freeze 6 liters of water?
Answer: It takes 4 freezers 4 hours to freeze 4 liters of water.
Question: How long does it take 4 freezers to freeze 4 liters of water, if it takes 6 freezers 6",It takes 4 freezers 4 hours to freeze 4 liters of water.,intuitive,intuitive,"[-2.4341320991516113, -2.6635499000549316]","['correct', 'intuitive']",-2.434132099,-2.6635499,0,correct,6 hours,-2.434132099,TRUE,allenai/OLMo-7B,
crt2,27,"How long does it take 20 bakers to bake 20 cakes, if it takes 80 bakers 80 hours to bake 80 cakes?",80 hours,20 hours," 20 bakers can bake 20 cakes in 20 hours.
Question: How long does it take 20 bakers to bake 20 cakes, if it takes 80 bakers 80 hours to bake 80 cakes?
Question: How long does it take 20 bakers to bake 20 cakes, if it takes 80 bakers 80 hours to bake 80 cakes?
Question: How long does it take 20 bakers to bake 20 cakes, if it takes 80 bakers 80 hours to bake 80 cakes?
Question",20 bakers can bake 20 cakes in 20 hours.,intuitive,intuitive,"[-2.3612794876098633, -2.4929513931274414]","['correct', 'intuitive']",-2.361279488,-2.492951393,0,correct,80 hours,-2.361279488,TRUE,allenai/OLMo-7B,
crt2,28,"How long does it take 30 hair stylists to finish 30 hairstyles, if it takes 50 hair stylists 50 minutes to finish 50 hairstyles?",50 minutes,30 minutes," 30 stylists take 30 minutes to finish 30 hairstyles.
Question: How long does it take 30 hair stylists to finish 30 hairstyles, if it takes 50 hair stylists 50 minutes to finish 50 hairstyles?
Answer: 30 stylists take 30 minutes to finish 30 hairstyles.
Question: How long does it take 30 hair stylists to finish 30 hairstyles, if it takes 50 hair stylists 50 minutes to finish 50 hairstyles?
",30 stylists take 30 minutes to finish 30 hairstyles.,intuitive,intuitive,"[-2.7386341094970703, -2.1329240798950195]","['correct', 'intuitive']",-2.738634109,-2.13292408,1,intuitive,30 minutes,-2.13292408,FALSE,allenai/OLMo-7B,
crt2,29,"How long does it take 2 mechanics to fix 2 cars, if it takes 3 mechanics 3 hours to fix 3 cars?",3 hours,2 hours," It takes 2 mechanics 2 hours to fix 2 cars.
Question: How long does it take 3 mechanics to fix 3 cars, if it takes 4 mechanics 4 hours to fix 4 cars?
Answer: It takes 3 mechanics 3 hours to fix 3 cars.
Question: How long does it take 4 mechanics to fix 4 cars, if it takes 5 mechanics 5 hours to fix 5 cars?
Answer: It takes 4 mechanics 4 hours to fix 4 cars.
Question: How long does it",It takes 2 mechanics 2 hours to fix 2 cars.,intuitive,intuitive,"[-2.2240452766418457, -1.9379258155822754]","['correct', 'intuitive']",-2.224045277,-1.937925816,1,intuitive,2 hours,-1.937925816,FALSE,allenai/OLMo-7B,
crt2,30,"How long does it take 20 tailors to make 20 dresses, if it takes 50 tailors 50 hours to make 50 dresses?",50 hours,20 hours," 20 tailors can make 20 dresses in 20 hours.
Question: How long does it take 20 tailors to make 20 dresses, if it takes 50 tailors 50 hours to make 50 dresses?
Answer: 20 tailors can make 20 dresses in 20 hours.
Question: How long does it take 20 tailors to make 20 dresses, if it takes 50 tailors 50 hours to make 50 dresses?
Answer: 20 tailors can make 20 dresses in 20 hours.
Question:",20 tailors can make 20 dresses in 20 hours.,intuitive,intuitive,"[-2.520911693572998, -2.1355905532836914]","['correct', 'intuitive']",-2.520911694,-2.135590553,1,intuitive,20 hours,-2.135590553,FALSE,allenai/OLMo-7B,
crt2,31,"How long does it take 3 painters to paint 3 rooms, if it takes 4 painters 4 hours to paint 4 rooms?",4 hours,3 hours," It takes 3 painters 3 hours to paint 3 rooms.
Question: How long does it take 4 painters to paint 4 rooms, if it takes 5 painters 5 hours to paint 5 rooms?
Answer: It takes 4 painters 4 hours to paint 4 rooms.
Question: How long does it take 5 painters to paint 5 rooms, if it takes 6 painters 6 hours to paint 6 rooms?
Answer: It takes 5 painters 5 hours to paint 5 rooms.
Question: How long does it",It takes 3 painters 3 hours to paint 3 rooms.,intuitive,intuitive,"[-2.1444215774536133, -2.4018616676330566]","['correct', 'intuitive']",-2.144421577,-2.401861668,0,correct,4 hours,-2.144421577,TRUE,allenai/OLMo-7B,
crt2,32,"How long does it take 40 trees to grow 40 leaves, if it takes 60 trees 60 days to grow 60 leaves?",60 days,40 days," It takes 40 trees 40 days to grow 40 leaves.
Question: How many days does it take for a tree to grow 40 leaves?
Answer: It takes 40 days for a tree to grow 40 leaves.
Question: How many days does it take for a tree to grow 40 leaves?
Answer: It takes 40 days for a tree to grow 40 leaves.
Question: How many days does it take for a tree to grow 40 leaves?
Answer: It takes 40 days for",It takes 40 trees 40 days to grow 40 leaves.,intuitive,intuitive,"[-2.111539840698242, -1.9943957328796387]","['correct', 'intuitive']",-2.111539841,-1.994395733,1,intuitive,40 days,-1.994395733,FALSE,allenai/OLMo-7B,
crt2,33,"How long does it take 1 runner to clean 1 shoe, if it takes 5 runners 5 minutes to clean 5 shoes?",5 minutes,1 minute," It takes 1 runner 5 minutes to clean 1 shoe.
Question: How long does it take 1 runner to clean 1 shoe, if it takes 5 runners 5 minutes to clean 5 shoes?
Answer: It takes 1 runner 5 minutes to clean 1 shoe.
Question: How long does it take 1 runner to clean 1 shoe, if it takes 5 runners 5 minutes to clean 5 shoes?
Answer: It takes 1 runner 5 minutes to clean 1 shoe.
Question: How long does it",It takes 1 runner 5 minutes to clean 1 shoe.,correct,correct,"[-1.969438076019287, -2.4447479248046875]","['correct', 'intuitive']",-1.969438076,-2.444747925,0,correct,5 minutes,-1.969438076,TRUE,allenai/OLMo-7B,
crt2,34,"How long does it take 3 translators to translate 3 pages, if it takes 6 translators 6 hours to translate 6 pages?",6 hours,3 hours," It takes 3 translators 3 hours to translate 3 pages.
Question: How long does it take 6 translators to translate 6 pages, if it takes 3 translators 3 hours to translate 3 pages?
Answer: It takes 6 translators 6 hours to translate 6 pages.
Question: How long does it take 6 translators to translate 6 pages, if it takes 3 translators 3 hours to translate 3 pages?
Answer: It takes 6 translators 6 hours to translate 6 pages.",It takes 3 translators 3 hours to translate 3 pages.,intuitive,intuitive,"[-2.0713272094726562, -2.0214357376098633]","['correct', 'intuitive']",-2.071327209,-2.021435738,1,intuitive,3 hours,-2.021435738,FALSE,allenai/OLMo-7B,
crt2,35,"How long does it take 2 machines to make 2 smartphones, if it takes 3 machines 3 hours to make 3 smartphones?",3 hours,2 hours," It takes 2 machines 2 hours to make 2 smartphones.
Question: How long does it take 3 machines to make 3 smartphones, if it takes 4 machines 4 hours to make 4 smartphones?
Answer: It takes 3 machines 3 hours to make 3 smartphones.
Question: How long does it take 4 machines to make 4 smartphones, if it takes 5 machines 5 hours to make 5 smartphones?
Answer: It takes 4 machines 4 hours to make 4 smartphones.
Question: How long does it",It takes 2 machines 2 hours to make 2 smartphones.,intuitive,intuitive,"[-2.3968677520751953, -2.1245064735412598]","['correct', 'intuitive']",-2.396867752,-2.124506474,1,intuitive,2 hours,-2.124506474,FALSE,allenai/OLMo-7B,
crt2,36,"How long does it take 50 people to smoke 50 cigarettes, if it takes 70 people 70 minutes to smoke 70 cigarettes?",70 minutes,50 minutes," It takes 50 people 50 minutes to smoke 50 cigarettes.
Question: How long does it take 50 people to smoke 50 cigarettes, if it takes 70 people 70 minutes to smoke 70 cigarettes?
Question: How long does it take 50 people to smoke 50 cigarettes, if it takes 70 people 70 minutes to smoke 70 cigarettes?
Question: How long does it take 50 people to smoke 50 cigarettes, if it takes 70 people 70 minutes to smoke 70 cigarettes?
Question: How long does it take",It takes 50 people 50 minutes to smoke 50 cigarettes.,intuitive,intuitive,"[-2.605477809906006, -2.318467617034912]","['correct', 'intuitive']",-2.60547781,-2.318467617,1,intuitive,50 minutes,-2.318467617,FALSE,allenai/OLMo-7B,
crt2,37,"How long does it take 7 opticians to make 7 glasses, if it takes 8 opticians 8 days to make 8 glasses?",8 days,7 days," It takes 7 opticians 7 days to make 7 glasses.
Question: How many glasses can be made in 7 days if it takes 8 opticians 8 days to make 8 glasses?
Answer: It takes 7 opticians 7 days to make 7 glasses.
Question: How many glasses can be made in 8 days if it takes 8 opticians 8 days to make 8 glasses?
Answer: It takes 7 opticians 7 days to make 7 glasses.
Question: How many glasses can be",It takes 7 opticians 7 days to make 7 glasses.,intuitive,intuitive,"[-2.644001007080078, -2.0922374725341797]","['correct', 'intuitive']",-2.644001007,-2.092237473,1,intuitive,7 days,-2.092237473,FALSE,allenai/OLMo-7B,
crt2,38,"How long does it take 40 pipes to fill 40 containers, if it takes 60 pipes 60 hours to fill 60 containers?",60 hours,40 hours," It takes 40 pipes 40 hours to fill 40 containers.
Question: How many containers can be filled in 40 pipes in 60 hours?
Answer: 40 containers can be filled in 40 pipes in 60 hours.
Question: How many containers can be filled in 40 pipes in 60 hours if it takes 60 pipes 60 hours to fill 60 containers?
Answer: 40 containers can be filled in 40 pipes in 60 hours if it takes 60 pipes 60 hours to fill 60 containers.
Question: How many",It takes 40 pipes 40 hours to fill 40 containers.,intuitive,intuitive,"[-2.9628186225891113, -3.1094207763671875]","['correct', 'intuitive']",-2.962818623,-3.109420776,0,correct,60 hours,-2.962818623,TRUE,allenai/OLMo-7B,
