good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
An adult wouldn't fold this sock.,An adult wouldn't disappear this sock.,syntax,argument_structure,causative,897,43,paired,-44.293357849121094,-50.93264389038086,True,-2.1140670776367188,-3.177151679992676,-2.0891590118408203,-3.1681289672851562,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Katherine is helped.,Katherine is trained.,syntax,argument_structure,passive_2,545,44,paired,-26.85708236694336,-26.094655990600586,False,-1.9749221801757812,-3.0400447845458984,-1.9468536376953125,-3.1000242233276367,False,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Claire's ex-boyfriend wasn't referenced by Brian.,Claire's ex-boyfriend wasn't disagreed by Brian.,syntax,argument_structure,passive_1,328,45,paired,-52.65098571777344,-58.432518005371094,True,-1.3718395233154297,-1.9808483123779297,-1.3255367279052734,-1.9934558868408203,False,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Mouths haven't closed.,Mouths haven't bought.,syntax,argument_structure,inchoative,89,46,paired,-30.049734115600586,-37.52206802368164,True,-1.8419914245605469,-2.69012451171875,-1.9408740997314453,-2.813028335571289,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Some waiter's tutors were impressed.,Some waiter's tutors were competed.,syntax,argument_structure,passive_2,453,47,paired,-42.55448913574219,-49.482200622558594,True,-1.920370101928711,-2.6738033294677734,-1.9297313690185547,-2.748445510864258,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Those blouses had flattened.,Those blouses had looked like.,syntax,argument_structure,intransitive,462,48,paired,-32.36530303955078,-35.52626037597656,True,-2.335407257080078,-3.3751325607299805,-2.3602123260498047,-3.314244270324707,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Erin wouldn't disgust Matt.,Erin wouldn't fall Matt.,syntax,argument_structure,transitive,185,49,paired,-42.67546081542969,-45.19737243652344,True,-2.4319534301757812,-3.4281768798828125,-2.3698482513427734,-3.3652219772338867,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
The child hadn't hidden Alice.,The child hadn't donated Alice.,syntax,argument_structure,causative,831,50,paired,-38.7396354675293,-44.1218147277832,True,-2.2623863220214844,-3.237942695617676,-2.2898311614990234,-3.219292640686035,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Dawn hates this determined patient.,Dawn hates these determined patient.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,110,51,paired,-43.676265716552734,-48.710792541503906,True,-2.4504547119140625,-3.3383255004882812,-2.4235801696777344,-3.3497819900512695,False,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Marie cares for that nice child.,Marie cares for that nice children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,119,52,paired,-33.127769470214844,-36.690956115722656,True,-1.7646465301513672,-2.5950870513916016,-1.785654067993164,-2.6389694213867188,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Some children were healing these students.,Some children were healing these student.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,688,53,paired,-41.56552505493164,-49.2486457824707,True,-2.1333770751953125,-3.117258071899414,-2.1354846954345703,-3.066282272338867,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
A box alarms these actresses.,A box alarms these actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,624,54,paired,-48.13491439819336,-50.976539611816406,True,-2.2353439331054688,-3.3673553466796875,-2.1525001525878906,-3.222261428833008,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Timothy explores this restaurant.,Timothy explores this restaurants.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,314,55,paired,-34.13025665283203,-39.41278839111328,True,-2.080869674682617,-2.8810195922851562,-2.1268367767333984,-2.9217052459716797,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
This rug worries that child.,This rug worries those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,946,56,paired,-42.93613815307617,-50.93738555908203,True,-2.446317672729492,-3.5849647521972656,-2.3931026458740234,-3.4896087646484375,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Jill discovered this content girl.,Jill discovered these content girl.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,350,57,paired,-46.216529846191406,-53.38231658935547,True,-1.9897880554199219,-2.8707447052001953,-1.9642257690429688,-2.918701171875,False,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
That adult has brought that purple octopus.,That adult has brought those purple octopus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,8,58,paired,-52.91730499267578,-56.548545837402344,True,-2.196331024169922,-3.1271982192993164,-2.1088180541992188,-3.0126256942749023,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Most senators run around those hospitals.,Most senators run around those hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,981,59,paired,-46.7923698425293,-51.41086196899414,True,-2.209077835083008,-3.1970481872558594,-2.160097122192383,-3.1071243286132812,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Claire conceals those small stimuli.,Claire conceals that small stimuli.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,192,60,paired,-48.05453872680664,-52.65802764892578,True,-2.387451171875,-3.3191146850585938,-2.382192611694336,-3.3065967559814453,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
These muffins haven't bored those standing guys.,These muffins haven't bored that standing guys.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,569,61,paired,-62.83916473388672,-66.0048828125,True,-2.2677974700927734,-2.990335464477539,-2.252103805541992,-2.988901138305664,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Many teenagers break this orange foot.,Many teenagers break this orange feet.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,891,62,paired,-50.9527473449707,-52.18115997314453,True,-1.9239540100097656,-2.786418914794922,-1.9556007385253906,-2.854532241821289,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
That broccoli scares that fast woman.,That broccoli scares that fast women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,964,63,paired,-52.119415283203125,-54.60052490234375,True,-2.1083011627197266,-2.79351806640625,-2.1180953979492188,-2.8322582244873047,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Most girls passed those smooth high schools.,Most girls passed those smooth high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,217,64,paired,-51.032249450683594,-54.22844696044922,True,-2.1467666625976562,-2.979238510131836,-2.0601062774658203,-2.874317169189453,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Candice appreciates that patient.,Candice appreciates that patients.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,980,65,paired,-33.45983123779297,-36.00224685668945,True,-2.2259292602539062,-3.315671920776367,-2.271625518798828,-3.408477783203125,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
A hill doesn't impress these people.,A hill doesn't impress these person.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,157,66,paired,-37.222412109375,-47.67957305908203,True,-2.1323928833007812,-3.154789924621582,-2.067584991455078,-3.057788848876953,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
That painting is looking like this delighted boy.,That painting is looking like this delighted boys.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,894,67,paired,-51.92186737060547,-55.37580490112305,True,-2.088787078857422,-2.833345413208008,-2.111452102661133,-2.844430923461914,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
The hospitals referenced these students.,The hospitals referenced these student.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,482,68,paired,-42.95428466796875,-50.305877685546875,True,-2.186676025390625,-3.221935272216797,-2.1168479919433594,-3.087625503540039,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Ellen wasn't observing these customers.,Ellen wasn't observing these customer.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,545,69,paired,-36.153114318847656,-44.3884162902832,True,-2.270780563354492,-3.1112613677978516,-2.2625579833984375,-3.041891098022461,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Some adults run around that black high school.,Some adults run around those black high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,889,70,paired,-50.900875091552734,-55.60152053833008,True,-1.986907958984375,-2.752643585205078,-1.8902015686035156,-2.6431446075439453,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Every lady drops by these oases.,Every lady drops by this oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,579,71,paired,-40.56452941894531,-45.872982025146484,True,-2.1166610717773438,-2.966846466064453,-2.1229934692382812,-2.9778175354003906,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Julia kisses that person.,Julia kisses those person.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,775,72,paired,-27.885425567626953,-34.617820739746094,True,-1.6373214721679688,-2.5132293701171875,-1.6069526672363281,-2.4709110260009766,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Becca won't discuss that child.,Becca won't discuss that children.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,544,73,paired,-39.9317626953125,-45.961692810058594,True,-1.9853801727294922,-2.8603382110595703,-2.041616439819336,-2.9683427810668945,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Michelle can't argue about those sick children.,Michelle can't argue about that sick children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,994,74,paired,-43.9778938293457,-47.21870422363281,True,-2.3432235717773438,-3.0107059478759766,-2.3523387908935547,-2.9958629608154297,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Sherry hasn't talked about that mall.,Sherry hasn't talked about that malls.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,229,75,paired,-45.68626022338867,-51.721649169921875,True,-2.437946319580078,-3.114400863647461,-2.5317764282226562,-3.2701492309570312,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Cindy could praise these men.,Cindy could praise this men.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,580,76,paired,-41.00679397583008,-45.92881774902344,True,-2.1091957092285156,-3.0882396697998047,-2.1253204345703125,-3.0566959381103516,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Phillip was lifting this mouse.,Phillip was lifting this mice.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,3,77,paired,-36.81724548339844,-42.35284423828125,True,-2.152301788330078,-3.1832199096679688,-2.068235397338867,-3.1062259674072266,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
A lot of students run around those college campuses.,A lot of students run around that college campuses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,728,78,paired,-40.96685028076172,-43.38048553466797,True,-2.167215347290039,-3.0549564361572266,-2.181140899658203,-3.0492897033691406,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
All boys fire this woman.,All boys fire these woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,740,79,paired,-40.47079849243164,-46.27626037597656,True,-2.1376094818115234,-3.104215621948242,-2.106985092163086,-3.084016799926758,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Marcus shouldn't mess up these blue feet.,Marcus shouldn't mess up these blue foot.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,803,80,paired,-46.44024658203125,-51.709449768066406,True,-2.524099349975586,-3.3426342010498047,-2.4861507415771484,-3.2751636505126953,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Debra has loved that clever man.,Debra has loved that clever men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,856,81,paired,-39.52384948730469,-45.76286697387695,True,-1.9717426300048828,-2.7113075256347656,-2.0059738159179688,-2.751575469970703,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Many planes were irritating these children.,Many planes were irritating this children.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,888,82,paired,-41.60491943359375,-43.52467346191406,True,-2.134195327758789,-2.915800094604492,-2.165313720703125,-2.8860435485839844,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Meredith escaped from these people.,Meredith escaped from this people.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,981,83,paired,-33.405357360839844,-36.746559143066406,True,-2.0421009063720703,-2.8325061798095703,-2.039407730102539,-2.787557601928711,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Raymond left those scared children.,Raymond left that scared children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,93,84,paired,-36.717872619628906,-37.17710494995117,True,-1.8589191436767578,-2.9355478286743164,-1.8482341766357422,-2.866983413696289,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Clyde appreciated that synopsis.,Clyde appreciated those synopsis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,689,85,paired,-38.81425857543945,-42.461700439453125,True,-2.541727066040039,-3.522153854370117,-2.5789756774902344,-3.513363838195801,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
The Lutherans upset this man.,The Lutherans upset these man.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,278,86,paired,-39.8532600402832,-45.532066345214844,True,-2.324045181274414,-3.502817153930664,-2.3472900390625,-3.5413408279418945,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Many guests approach this lucky man.,Many guests approach these lucky man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,767,87,paired,-36.60073471069336,-44.98588562011719,True,-2.117626190185547,-2.9251537322998047,-2.0994739532470703,-2.9109268188476562,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
This documentary hadn't disagreed with these good plays.,This documentary hadn't disagreed with these good play.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,220,88,paired,-62.46001434326172,-67.92617797851562,True,-2.0753250122070312,-2.7912216186523438,-2.0541648864746094,-2.737936019897461,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Wayne was thinking about this paralysis.,Wayne was thinking about this paralyses.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,478,89,paired,-36.10052490234375,-45.46488952636719,True,-2.075338363647461,-2.9475059509277344,-2.1950206756591797,-3.151118278503418,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Laura buys these axes.,Laura buys this axes.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,107,90,paired,-40.65391540527344,-44.453041076660156,True,-2.525400161743164,-3.7226648330688477,-2.498920440673828,-3.7022523880004883,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Matt hadn't impressed this exposed child.,Matt hadn't impressed these exposed child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,818,91,paired,-46.10065460205078,-55.35456085205078,True,-2.415477752685547,-3.2681503295898438,-2.4085330963134766,-3.2763710021972656,False,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Those pedestrians weren't fleeing from these concealed men.,Those pedestrians weren't fleeing from this concealed men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,855,92,paired,-51.803680419921875,-62.18781661987305,True,-2.0875072479248047,-2.8625659942626953,-2.0040645599365234,-2.722177505493164,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
