good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Melanie's grandson has hidden away.,Melanie's grandson has disliked.,syntax,argument_structure,inchoative,854,14,paired,-48.129051208496094,-52.74786376953125,True,-1.4827842712402344,-2.4905967712402344,-1.5511283874511719,-2.582378387451172,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Jennifer unfolds some blouse.,Jennifer disappeared some blouse.,syntax,argument_structure,causative,760,15,paired,-45.57087707519531,-47.72770309448242,True,-1.5925226211547852,-2.608147621154785,-1.5935287475585938,-2.6482162475585938,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,16,paired,-53.28959655761719,-52.693504333496094,False,-1.560800552368164,-2.537363052368164,-1.5930891036987305,-2.5696516036987305,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,17,paired,-47.409400939941406,-58.694419860839844,True,-1.4673805236816406,-2.6861305236816406,-1.4699954986572266,-2.7590579986572266,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,18,paired,-31.078489303588867,-37.32582473754883,True,-1.500422477722168,-2.601984977722168,-1.4870319366455078,-2.604219436645508,False,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,19,paired,-53.38664245605469,-53.77641296386719,True,-1.5918855667114258,-2.841885566711426,-1.5572395324707031,-2.744739532470703,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,20,paired,-28.842866897583008,-29.613975524902344,True,-1.5742359161376953,-2.7617359161376953,-1.5541582107543945,-2.6869707107543945,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Christina chipped glasses.,Christina vanished glasses.,syntax,argument_structure,causative,166,21,paired,-40.89051055908203,-46.938140869140625,True,-1.532449722290039,-2.594949722290039,-1.6356515884399414,-2.6044015884399414,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
The men weren't hugged.,The men weren't responded.,syntax,argument_structure,passive_2,325,22,paired,-35.85711669921875,-37.701202392578125,True,-1.515554428100586,-2.624929428100586,-1.6083707809448242,-2.623995780944824,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Rachelle isn't respected.,Rachelle isn't lied.,syntax,argument_structure,passive_2,871,23,paired,-39.672447204589844,-42.48900604248047,True,-1.567779541015625,-2.606842041015625,-1.64105224609375,-2.65667724609375,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
The friend of Karen was bothered.,The friend of Karen was waved.,syntax,argument_structure,passive_2,348,24,paired,-43.761444091796875,-46.88388442993164,True,-1.562880516052246,-2.664443016052246,-1.5963363647460938,-2.7369613647460938,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Leslie's piano teachers were hired.,Leslie's piano teachers were flirted.,syntax,argument_structure,passive_2,11,25,paired,-46.0916748046875,-57.26873779296875,True,-1.3763141632080078,-2.579439163208008,-1.4771108627319336,-2.5005483627319336,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
An eye opens.,An eye admires.,syntax,argument_structure,inchoative,974,26,paired,-24.38727378845215,-31.28030776977539,True,-1.6063241958618164,-2.9266366958618164,-1.6715288162231445,-2.8121538162231445,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Kirsten isn't described by the mother of Rodney.,Kirsten isn't argued by the mother of Rodney.,syntax,argument_structure,passive_1,493,27,paired,-62.62016296386719,-64.65413665771484,True,-1.4812469482421875,-2.6921844482421875,-1.550734519958496,-2.785109519958496,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Lissa shuts a gate.,Lissa falls a gate.,syntax,argument_structure,causative,852,28,paired,-40.92341613769531,-45.8580322265625,True,-1.4873580932617188,-2.7061080932617188,-1.565089225769043,-2.697901725769043,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Tonya washed Teresa.,Tonya negotiates Teresa.,syntax,argument_structure,causative,274,29,paired,-45.50328826904297,-47.83744430541992,True,-1.549306869506836,-2.838369369506836,-1.5205316543579102,-2.68459415435791,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Liam should shock Joseph's supervisors.,Liam should shrug Joseph's supervisors.,syntax,argument_structure,transitive,165,30,paired,-60.53834915161133,-63.44305419921875,True,-1.309854507446289,-2.552042007446289,-1.3697986602783203,-2.5104236602783203,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
These waiters' plumbers were referenced.,These waiters' plumbers were left.,syntax,argument_structure,passive_2,906,31,paired,-61.03400421142578,-57.573463439941406,False,-1.5489997863769531,-2.564624786376953,-1.5434999465942383,-2.6919374465942383,False,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
That glass wasn't dropping.,That glass wasn't looking like.,syntax,argument_structure,inchoative,619,32,paired,-38.82831573486328,-43.87898254394531,True,-1.4763154983520508,-2.679440498352051,-1.5330142974853516,-2.6580142974853516,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Some ladies were accelerating many bikes.,Some ladies were vanishing many bikes.,syntax,argument_structure,causative,771,33,paired,-56.48206329345703,-61.67189025878906,True,-1.4762392044067383,-2.5856142044067383,-1.521707534790039,-2.568582534790039,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Claire wouldn't close many doors.,Claire wouldn't fall many doors.,syntax,argument_structure,causative,692,34,paired,-44.288551330566406,-51.91835021972656,True,-1.4447574615478516,-2.4603824615478516,-1.5618219375610352,-2.397759437561035,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Nicole wasn't descending.,Nicole wasn't returning to.,syntax,argument_structure,drop_argument,315,35,paired,-40.050201416015625,-42.26051712036133,True,-1.4018335342407227,-2.3549585342407227,-1.4762439727783203,-2.3668689727783203,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Margaret was watched by Carol.,Margaret was died by Carol.,syntax,argument_structure,passive_1,745,36,paired,-39.63227081298828,-45.040077209472656,True,-1.58795166015625,-2.61920166015625,-1.6673908233642578,-2.628328323364258,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Benjamin would wrinkle every scarf.,Benjamin would fall every scarf.,syntax,argument_structure,causative,4,37,paired,-54.19367218017578,-52.86076354980469,False,-1.4778013229370117,-2.5168638229370117,-1.5409774780273438,-2.5487899780273438,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
A lot of grandsons of Tara have helped.,A lot of grandsons of Tara have resembled.,syntax,argument_structure,drop_argument,439,38,paired,-55.27277374267578,-60.76006317138672,True,-1.4784574508666992,-2.681582450866699,-1.5980138778686523,-2.6214513778686523,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Vincent hated William.,Vincent grinned William.,syntax,argument_structure,transitive,197,39,paired,-34.000545501708984,-40.762107849121094,True,-1.5549144744873047,-2.7502269744873047,-1.5769500732421875,-2.6550750732421875,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Some pants folded.,Some pants admire.,syntax,argument_structure,inchoative,632,40,paired,-35.08574676513672,-38.646331787109375,True,-1.5060644149780273,-2.6935644149780273,-1.564927101135254,-2.736802101135254,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Some dress dries.,Some dress messed up.,syntax,argument_structure,inchoative,403,41,paired,-35.82746505737305,-35.90257263183594,True,-1.576101303100586,-2.810476303100586,-1.6121530532836914,-2.7605905532836914,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Many women joke around.,Many women care for.,syntax,argument_structure,intransitive,872,42,paired,-33.582801818847656,-31.989749908447266,False,-1.5127086639404297,-2.7392711639404297,-1.5342483520507812,-2.8467483520507812,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
An adult wouldn't fold this sock.,An adult wouldn't disappear this sock.,syntax,argument_structure,causative,897,43,paired,-52.53440856933594,-58.652313232421875,True,-1.5651016235351562,-2.6744766235351562,-1.6160125732421875,-2.6003875732421875,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Katherine is helped.,Katherine is trained.,syntax,argument_structure,passive_2,545,44,paired,-32.77211380004883,-32.7811279296875,True,-1.607945442199707,-2.787632942199707,-1.5666265487670898,-2.77756404876709,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Claire's ex-boyfriend wasn't referenced by Brian.,Claire's ex-boyfriend wasn't disagreed by Brian.,syntax,argument_structure,passive_1,328,45,paired,-58.95471954345703,-67.15904998779297,True,-1.5471277236938477,-2.5783777236938477,-1.642197608947754,-2.626572608947754,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Mouths haven't closed.,Mouths haven't bought.,syntax,argument_structure,inchoative,89,46,paired,-33.625091552734375,-41.101463317871094,True,-1.5552635192871094,-2.5943260192871094,-1.6590900421142578,-2.651277542114258,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Some waiter's tutors were impressed.,Some waiter's tutors were competed.,syntax,argument_structure,passive_2,453,47,paired,-55.48699951171875,-59.734344482421875,True,-1.5323772430419922,-2.719877243041992,-1.5870676040649414,-2.7355051040649414,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Those blouses had flattened.,Those blouses had looked like.,syntax,argument_structure,intransitive,462,48,paired,-44.849761962890625,-48.14173889160156,True,-1.5336618423461914,-2.6508493423461914,-1.5015640258789062,-2.7125015258789062,False,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Erin wouldn't disgust Matt.,Erin wouldn't fall Matt.,syntax,argument_structure,transitive,185,49,paired,-48.79325866699219,-51.038063049316406,True,-1.4033241271972656,-2.5439491271972656,-1.3915214538574219,-2.500896453857422,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
The child hadn't hidden Alice.,The child hadn't donated Alice.,syntax,argument_structure,causative,831,50,paired,-46.9279670715332,-52.58135986328125,True,-1.6352653503417969,-2.760265350341797,-1.653005599975586,-2.692068099975586,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Dawn hates this determined patient.,Dawn hates these determined patient.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,110,51,paired,-49.349334716796875,-56.153236389160156,True,-1.5623598098754883,-2.5467348098754883,-1.7819099426269531,-2.297534942626953,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Marie cares for that nice child.,Marie cares for that nice children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,119,52,paired,-49.05591583251953,-51.106651306152344,True,-1.4837713241577148,-2.569708824157715,-1.5947437286376953,-2.5244312286376953,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Some children were healing these students.,Some children were healing these student.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,688,53,paired,-49.42167663574219,-55.38383865356445,True,-1.5319204330444336,-2.3756704330444336,-1.5930347442626953,-2.2570972442626953,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
A box alarms these actresses.,A box alarms these actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,624,54,paired,-50.599308013916016,-53.84587860107422,True,-1.6395244598388672,-2.475461959838867,-1.66302490234375,-2.45208740234375,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Timothy explores this restaurant.,Timothy explores this restaurants.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,314,55,paired,-42.956886291503906,-47.28153610229492,True,-1.4334888458251953,-2.2772388458251953,-1.5853757858276367,-2.1791257858276367,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
This rug worries that child.,This rug worries those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,946,56,paired,-46.43968200683594,-54.166168212890625,True,-1.5385847091674805,-2.6167097091674805,-1.6005849838256836,-2.5927724838256836,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Jill discovered this content girl.,Jill discovered these content girl.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,350,57,paired,-49.56541442871094,-58.04530334472656,True,-1.5660648345947266,-2.4488773345947266,-1.6516408920288086,-2.3157033920288086,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
That adult has brought that purple octopus.,That adult has brought those purple octopus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,8,58,paired,-59.717864990234375,-63.6749267578125,True,-1.3593292236328125,-2.5780792236328125,-1.5007543563842773,-2.4929418563842773,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Most senators run around those hospitals.,Most senators run around those hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,981,59,paired,-56.169700622558594,-58.568660736083984,True,-1.4706554412841797,-2.4315929412841797,-1.5053720474243164,-2.3334970474243164,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Claire conceals those small stimuli.,Claire conceals that small stimuli.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,192,60,paired,-55.5911979675293,-57.8384895324707,True,-1.5041847229003906,-2.5823097229003906,-1.457448959350586,-2.480886459350586,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
These muffins haven't bored those standing guys.,These muffins haven't bored that standing guys.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,569,61,paired,-77.78043365478516,-74.01859283447266,False,-1.6229629516601562,-2.7401504516601562,-1.6303215026855469,-2.583446502685547,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Many teenagers break this orange foot.,Many teenagers break this orange feet.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,891,62,paired,-56.5345458984375,-59.08843231201172,True,-1.5092735290527344,-2.6342735290527344,-1.5409221649169922,-2.572172164916992,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
That broccoli scares that fast woman.,That broccoli scares that fast women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,964,63,paired,-57.517364501953125,-59.076751708984375,True,-1.4303102493286133,-2.4849977493286133,-1.4814653396606445,-2.4892778396606445,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Most girls passed those smooth high schools.,Most girls passed those smooth high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,217,64,paired,-59.042205810546875,-59.616180419921875,True,-1.6094675064086914,-2.5469675064086914,-1.5936670303344727,-2.5077295303344727,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Candice appreciates that patient.,Candice appreciates that patients.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,980,65,paired,-42.708106994628906,-43.38557434082031,True,-1.4964065551757812,-2.4339065551757812,-1.6211013793945312,-2.3945388793945312,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
A hill doesn't impress these people.,A hill doesn't impress these person.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,157,66,paired,-44.606689453125,-54.878265380859375,True,-1.6214838027954102,-2.37929630279541,-1.7031774520874023,-2.3203649520874023,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
That painting is looking like this delighted boy.,That painting is looking like this delighted boys.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,894,67,paired,-58.770198822021484,-64.27357482910156,True,-1.5220003128051758,-2.522000312805176,-1.6199226379394531,-2.549610137939453,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
The hospitals referenced these students.,The hospitals referenced these student.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,482,68,paired,-49.00397491455078,-54.445701599121094,True,-1.5377922058105469,-2.342479705810547,-1.682530403137207,-2.159092903137207,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Ellen wasn't observing these customers.,Ellen wasn't observing these customer.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,545,69,paired,-47.36385726928711,-55.712093353271484,True,-1.5415887832641602,-2.15096378326416,-1.7272024154663086,-1.8678274154663086,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Some adults run around that black high school.,Some adults run around those black high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,889,70,paired,-57.90074157714844,-61.914730072021484,True,-1.3748407363891602,-2.46859073638916,-1.467637062072754,-2.373887062072754,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Every lady drops by these oases.,Every lady drops by this oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,579,71,paired,-52.49916076660156,-53.869598388671875,True,-1.576974868774414,-2.467599868774414,-1.5356760025024414,-2.4731760025024414,False,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Julia kisses that person.,Julia kisses those person.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,775,72,paired,-38.662841796875,-47.078941345214844,True,-1.5495595932006836,-2.4714345932006836,-1.6671380996704102,-2.40151309967041,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Becca won't discuss that child.,Becca won't discuss that children.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,544,73,paired,-46.842411041259766,-50.408447265625,True,-1.3543262481689453,-2.3855762481689453,-1.4894485473632812,-2.3488235473632812,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Michelle can't argue about those sick children.,Michelle can't argue about that sick children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,994,74,paired,-57.43410110473633,-60.191349029541016,True,-1.4196300506591797,-2.5368175506591797,-1.4319705963134766,-2.3929080963134766,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Sherry hasn't talked about that mall.,Sherry hasn't talked about that malls.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,229,75,paired,-51.098636627197266,-57.17570877075195,True,-1.3518505096435547,-2.4534130096435547,-1.4752836227416992,-2.365908622741699,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Cindy could praise these men.,Cindy could praise this men.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,580,76,paired,-46.059364318847656,-49.39808654785156,True,-1.501784324645996,-2.384596824645996,-1.4686098098754883,-2.3670473098754883,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Phillip was lifting this mouse.,Phillip was lifting this mice.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,3,77,paired,-47.9228515625,-51.78630065917969,True,-1.493107795715332,-2.493107795715332,-1.5814523696899414,-2.3861398696899414,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
A lot of students run around those college campuses.,A lot of students run around that college campuses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,728,78,paired,-45.21640396118164,-44.924407958984375,False,-1.3561391830444336,-2.6139516830444336,-1.3121070861816406,-2.6011695861816406,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
All boys fire this woman.,All boys fire these woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,740,79,paired,-47.29536437988281,-51.91201400756836,True,-1.662766456604004,-2.733078956604004,-1.680501937866211,-2.571126937866211,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Marcus shouldn't mess up these blue feet.,Marcus shouldn't mess up these blue foot.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,803,80,paired,-57.45060729980469,-64.58990478515625,True,-1.4473495483398438,-2.1348495483398438,-1.4509773254394531,-2.060352325439453,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Debra has loved that clever man.,Debra has loved that clever men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,856,81,paired,-54.997257232666016,-56.55316925048828,True,-1.4715957641601562,-2.4950332641601562,-1.6145124435424805,-2.5598249435424805,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Many planes were irritating these children.,Many planes were irritating this children.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,888,82,paired,-51.687461853027344,-53.76099395751953,True,-1.5738105773925781,-2.628498077392578,-1.542292594909668,-2.573542594909668,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Meredith escaped from these people.,Meredith escaped from this people.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,981,83,paired,-39.981117248535156,-44.34969711303711,True,-1.5666284561157227,-2.3556909561157227,-1.4859437942504883,-2.3453187942504883,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Raymond left those scared children.,Raymond left that scared children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,93,84,paired,-48.10163879394531,-50.59473419189453,True,-1.5894012451171875,-2.4409637451171875,-1.6217069625854492,-2.332644462585449,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Clyde appreciated that synopsis.,Clyde appreciated those synopsis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,689,85,paired,-42.45549774169922,-50.422096252441406,True,-1.5051803588867188,-2.3098678588867188,-1.621882438659668,-2.301569938659668,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
The Lutherans upset this man.,The Lutherans upset these man.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,278,86,paired,-47.42550277709961,-54.637168884277344,True,-1.4755144119262695,-2.6083269119262695,-1.5361127853393555,-2.5126752853393555,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Many guests approach this lucky man.,Many guests approach these lucky man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,767,87,paired,-46.661983489990234,-53.47296142578125,True,-1.5904617309570312,-2.6373367309570312,-1.7337045669555664,-2.4915170669555664,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
This documentary hadn't disagreed with these good plays.,This documentary hadn't disagreed with these good play.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,220,88,paired,-70.16084289550781,-72.363037109375,True,-1.5803422927856445,-2.3850297927856445,-1.566227912902832,-2.402165412902832,False,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Wayne was thinking about this paralysis.,Wayne was thinking about this paralyses.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,478,89,paired,-47.87018585205078,-54.656986236572266,True,-1.4119596481323242,-2.419772148132324,-1.4464426040649414,-2.3214426040649414,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Laura buys these axes.,Laura buys this axes.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,107,90,paired,-41.488365173339844,-43.551395416259766,True,-1.568772315979004,-2.428147315979004,-1.5410022735595703,-2.3535022735595703,False,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Matt hadn't impressed this exposed child.,Matt hadn't impressed these exposed child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,818,91,paired,-64.36742401123047,-66.98845672607422,True,-1.510758399963379,-2.487320899963379,-1.6663761138916016,-2.2288761138916016,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Those pedestrians weren't fleeing from these concealed men.,Those pedestrians weren't fleeing from this concealed men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,855,92,paired,-63.886566162109375,-72.486572265625,True,-1.5490484237670898,-2.52561092376709,-1.562932014465332,-2.453557014465332,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Rachelle had bought that chair.,Rachelle had bought that chairs.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,145,93,paired,-44.305213928222656,-52.40911102294922,True,-1.4849557876586914,-2.5396432876586914,-1.5778141021728516,-2.4996891021728516,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
