problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 5]
[3 2 5]",-3.365842819213867,"[6, 9, 5]",False,"[-6.6342620849609375, -10.579774856567383, -9.117673873901367, -8.985939025878906, -11.087041854858398, -1.8428936004638672, -12.874612808227539, -9.581521987915039]",5,6 9 0],-1.8428936004638672,True,EleutherAI/pythia-1b-deduped,
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 2]
[6 6 4]",-1.674764633178711,"[0, 0, 2]",False,"[-11.996097564697266, -1.6672039031982422, -5.413963317871094, -11.676657676696777, -12.674853324890137, -10.20126724243164, -8.58221435546875, -12.146832466125488]",1,0 0 1],-1.6672039031982422,True,EleutherAI/pythia-1b-deduped,
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 7 9]
[9 5 9]",-5.226907730102539,"[5, 7, 9]",False,"[-8.504730224609375, -10.819442749023438, -8.173494338989258, -6.878973007202148, -3.6038379669189453, -2.971698760986328, -7.043272018432617, -2.6973094940185547]",7,5 1 7],-2.6973094940185547,True,EleutherAI/pythia-1b-deduped,
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"5 1 0]
[5 2 9]",-7.6034698486328125,"[5, 1, 0]",False,"[-9.891359329223633, -8.176912307739258, -6.251459121704102, -4.514915466308594, -7.307168960571289, -6.611688613891602, -6.869634628295898, -6.7881011962890625]",3,8 7 0],-4.514915466308594,True,EleutherAI/pythia-1b-deduped,
three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"4 3 5]
[1 4 3]",-4.892425537109375,"[4, 3, 5]",False,"[-17.007972717285156, -2.573244094848633, -9.345783233642578, -4.271030426025391, -11.557132720947266, -9.779088973999023, -5.850975036621094, -15.288461685180664]",1,5 0 7],-2.573244094848633,True,EleutherAI/pythia-1b-deduped,
three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"0 1 6] [3 9 7]
",-5.980617523193359,"[0, 1, 6]",True,"[-7.353889465332031, -6.293802261352539, -9.835090637207031, -9.106685638427734, -2.4381275177001953, -7.4190673828125, -6.81587028503418, -8.317398071289062]",4,0 1 6],-2.4381275177001953,True,EleutherAI/pythia-1b-deduped,
three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"5 4 2]
[8 3 6]",-2.201539993286133,"[5, 4, 2]",False,"[-8.84050178527832, -7.3035430908203125, -10.098993301391602, -5.72035026550293, -6.0919036865234375, -8.357498168945312, -6.316867828369141, -6.619167327880859]",3,5 4 8],-5.72035026550293,True,EleutherAI/pythia-1b-deduped,
three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"5 4 9]
[7 3 8]",-5.817190170288086,"[5, 4, 9]",False,"[-7.418039321899414, -8.511568069458008, -6.25335693359375, -4.0119476318359375, -5.408088684082031, -7.454254150390625, -7.8365936279296875, -8.008028030395508]",3,6 5 2],-4.0119476318359375,False,EleutherAI/pythia-1b-deduped,
three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"5 5 4]
[5 4 4]",-3.0924739837646484,"[5, 5, 4]",False,"[-6.96534538269043, -11.732511520385742, -4.040748596191406, -5.841823577880859, -4.076620101928711, -2.8324108123779297, -7.200338363647461, -7.167818069458008]",5,7 5 5],-2.8324108123779297,False,EleutherAI/pythia-1b-deduped,
c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 1]
[4 9] [4",-6.930976867675781,[1 6],False,"[-3.1323585510253906, -5.675939559936523, -3.590150833129883, -4.159868240356445, -3.3088035583496094, 0.0, -3.5308170318603516, -8.775075912475586]",5,],0.0,False,EleutherAI/pythia-1b-deduped,
c1_set_union,0,c1_set_union_0,True,[4],"6] [4]
[7 6]",-6.340351104736328,[6],False,"[-4.8365478515625, -8.484067916870117, -1.4646415710449219, -1.5613021850585938, -5.079965591430664, -6.003347396850586, -5.571048736572266, -9.915666580200195]",2,1],-1.4646415710449219,False,EleutherAI/pythia-1b-deduped,
c2_set_union,0,c2_set_union_0,True,[9],"9] [9]
[6 7]",-7.331212997436523,[9],True,"[-6.3878631591796875, 0.0, -1.484710693359375, -5.8141326904296875, -3.9838199615478516, -6.195672988891602, -3.526491165161133, -4.509754180908203]",1,],0.0,False,EleutherAI/pythia-1b-deduped,
AND,0,AND_0,True,[4],"4]
[1 4] [6 4",-4.398273468017578,[4],True,"[-8.897582054138184, -4.593387603759766, -15.397871017456055, -3.7029857635498047, -6.727409362792969, -0.6643562316894531, -5.403013229370117, -8.473770141601562]",5,4],-0.6643562316894531,True,EleutherAI/pythia-1b-deduped,
XOR,0,XOR_0,True,[4 3],"6 1]
[6 1] [1",-4.462039947509766,[1 6],False,"[-19.557849884033203, -4.637401580810547, -5.969646453857422, -8.05095100402832, -3.5016937255859375, -1.4349346160888672, -5.715755462646484, -12.23757266998291]",5,6 1],-1.4349346160888672,False,EleutherAI/pythia-1b-deduped,
c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"3 5]
[3 5] [2",-6.66387939453125,[3 5],False,"[0.0, -10.145109176635742, -3.030000686645508, -2.945384979248047, -4.080465316772461, -6.052417755126953, -11.660905838012695, -8.867347717285156]",0,],0.0,False,EleutherAI/pythia-1b-deduped,
c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],"1] [1]
[1] [",-6.627748489379883,[1],False,"[-3.1866493225097656, -2.278879165649414, -3.3668346405029297, -10.71940803527832, -5.667392730712891, -3.5737075805664062, -6.0863189697265625, -8.132808685302734]",1,6],-2.278879165649414,False,EleutherAI/pythia-1b-deduped,
c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],"9] [9]
[9 9]",-7.145658493041992,[9],False,"[-3.552339553833008, -1.6589813232421875, -3.8714523315429688, -2.617124557495117, -5.757913589477539, -1.8030071258544922, -8.53045654296875, 0.0]",7,],0.0,False,EleutherAI/pythia-1b-deduped,
XOR_permuted,0,XOR_permuted_0,True,[4 0],"8 6]
[0 6] [6",-4.628049850463867,[6 8],False,"[-19.623184204101562, -3.2668800354003906, -7.140874862670898, -13.123991966247559, -3.704397201538086, -3.0711212158203125, 0.0, -14.702777862548828]",6,],0.0,False,EleutherAI/pythia-1b-deduped,
AND_permuted,0,AND_permuted_0,True,[],"3] [3]
[2] [",-4.961181640625,[3],False,"[-7.6791276931762695, -6.818658828735352, -17.4964599609375, -16.650014877319336, 0.0, -11.353010177612305, -0.9948673248291016, -6.561229705810547]",4,],0.0,True,EleutherAI/pythia-1b-deduped,
row_constant,1,row_constant_1,False,[4],"4] [4]
[0] [",-2.6230430603027344,[4],True,"[-3.658163070678711, -4.826480865478516, -5.6493377685546875, -5.062078475952148, -6.157463073730469, -0.10530662536621094, -4.180952072143555, -3.6939220428466797]",5,4],-0.10530662536621094,True,EleutherAI/pythia-1b-deduped,
col_constant,1,col_constant_1,False,[9],"9]
[6] [0] [",-0.2725677490234375,[9],True,"[-0.11007499694824219, -5.536532402038574, -3.959575653076172, -4.907282829284668, -3.749879837036133, -5.744721412658691, -5.337405204772949, -5.400233268737793]",0,9],-0.11007499694824219,True,EleutherAI/pythia-1b-deduped,
dist3_diag1,1,dist3_diag1_1,False,[4],"4]
[4] [2] [",-2.8779983520507812,[4],True,"[-3.147296905517578, -1.8129253387451172, -3.256368637084961, -4.77781867980957, -0.6705150604248047, -3.234996795654297, -3.9952754974365234, -3.625629425048828]",4,4],-0.6705150604248047,True,EleutherAI/pythia-1b-deduped,
dist3_diag2,1,dist3_diag2_1,False,[5],"5]
[6] [5] [",-2.4840011596679688,[5],True,"[-0.285400390625, -5.505431175231934, -3.61376953125, -3.603679656982422, -3.3784732818603516, -2.5483760833740234, -3.797260284423828, -3.438028335571289]",0,5],-0.285400390625,True,EleutherAI/pythia-1b-deduped,
prog_size1,1,prog_size1_1,False,[5],"5]
[4] [5] [",-0.888153076171875,[5],True,"[-5.000006675720215, -5.88245964050293, -5.07767391204834, -4.008432388305664, -4.10933780670166, -5.025912284851074, -0.11225318908691406, -3.498790740966797]",6,5],-0.11225318908691406,True,EleutherAI/pythia-1b-deduped,
prog_size2,1,prog_size2_1,False,[9],"9]
[7] [9] [",-1.2962017059326172,[9],True,"[-6.164645195007324, -4.162923812866211, -0.42595481872558594, -4.403255462646484, -3.0995521545410156, -3.3682403564453125, -5.259505271911621, -4.147254943847656]",2,9],-0.42595481872558594,True,EleutherAI/pythia-1b-deduped,
two_rule_comb0,1,two_rule_comb0_1,False,[7 0],"7 0]
[8 9] [8",-0.8389682769775391,"[7, 0]",True,"[-0.018079757690429688, -13.361202239990234, -8.397459030151367, -13.256851196289062, -8.971285820007324, -14.45274543762207, -13.370922088623047, -8.86849594116211]",0,7 0],-0.018079757690429688,True,EleutherAI/pythia-1b-deduped,
two_rule_comb1,1,two_rule_comb1_1,False,[8 9],"8 9]
[7 2] [8",-4.169105529785156,"[8, 9]",True,"[-3.6368408203125, -3.4210643768310547, -2.8173789978027344, -3.2859230041503906, -3.7061901092529297, -5.667091369628906, -1.407461166381836, -6.2479248046875]",6,8 9],-1.407461166381836,True,EleutherAI/pythia-1b-deduped,
two_rule_comb2,1,two_rule_comb2_1,False,[0 7],"7 7]
[7 7] [7",-6.633108139038086,"[7, 7]",False,"[-5.839473724365234, -5.232959747314453, -4.193351745605469, -4.244352340698242, -7.0011749267578125, -3.800739288330078, -4.170183181762695, -4.702295303344727]",5,7 4],-3.800739288330078,False,EleutherAI/pythia-1b-deduped,
two_rule_comb3,1,two_rule_comb3_1,False,[9 0],"9 0]
[9 0] [4",-1.714120864868164,"[9, 0]",True,"[-7.924869537353516, -6.191957473754883, -6.610012054443359, -7.103769302368164, -0.5106658935546875, -5.929443359375, -6.456615447998047, -4.522167205810547]",4,9 0],-0.5106658935546875,True,EleutherAI/pythia-1b-deduped,
two_rule_comb4,1,two_rule_comb4_1,False,[5 7],"5 5]
[4 4] [5",-2.489227294921875,"[5, 5]",False,"[-6.090206146240234, -6.073310852050781, -6.2806549072265625, -7.923582077026367, -2.495546340942383, -5.350635528564453, -6.492136001586914, -5.528009414672852]",4,5 7],-2.495546340942383,True,EleutherAI/pythia-1b-deduped,
two_rule_comb5,1,two_rule_comb5_1,False,[4 4],"4 4]
[3 5] [4",-1.3548355102539062,"[4, 4]",True,"[-0.6741981506347656, -8.402055740356445, -7.113543510437012, -5.109304428100586, -8.411596298217773, -6.599254608154297, -10.15056037902832, -10.125414848327637]",0,4 4],-0.6741981506347656,True,EleutherAI/pythia-1b-deduped,
three_rule_comb0,1,three_rule_comb0_1,False,[3 0 0],"3 0 0]
[3 0 1]",-5.110233306884766,"[3, 0, 0]",True,"[-0.6411705017089844, -9.675411224365234, -8.652729034423828, -10.40618896484375, -7.4156951904296875, -11.972328186035156, -10.266469955444336, -4.148035049438477]",0,3 0 0],-0.6411705017089844,True,EleutherAI/pythia-1b-deduped,
three_rule_comb1,1,three_rule_comb1_1,False,[8 9 9],"1 6 9]
[1 3 9]",-7.716552734375,"[1, 6, 9]",False,"[-5.840967178344727, -6.89756965637207, -8.229930877685547, -6.519094467163086, -6.358818054199219, -8.507183074951172, -6.306089401245117, -7.95067024230957]",0,2 6 4],-5.840967178344727,False,EleutherAI/pythia-1b-deduped,
three_rule_comb2,1,three_rule_comb2_1,False,[1 1 9],"1 5 9]
[5 7 7]",-4.134805679321289,"[1, 5, 9]",False,"[-3.0189952850341797, -16.205106735229492, -9.945459365844727, -5.16356086730957, -13.24674129486084, -9.879714965820312, -4.961936950683594, -17.477134704589844]",0,1 1 9],-3.0189952850341797,True,EleutherAI/pythia-1b-deduped,
three_rule_comb3,1,three_rule_comb3_1,False,[2 1 2],"2 2 1]
[2 6 0]",-6.964418411254883,"[2, 2, 1]",False,"[-4.012424468994141, -12.378381729125977, -6.611028671264648, -6.830936431884766, -7.644073486328125, -3.7008285522460938, -4.314901351928711, -5.656183242797852]",5,2 2 1],-3.7008285522460938,False,EleutherAI/pythia-1b-deduped,
three_rule_comb4,1,three_rule_comb4_1,False,[7 9 4],"7 6 4]
[8 7 5]",-4.824613571166992,"[7, 6, 4]",False,"[-7.197883605957031, -5.172161102294922, -7.082042694091797, -5.814388275146484, -2.8398895263671875, -5.888608932495117, -7.461891174316406, -5.529914855957031]",4,7 9 4],-2.8398895263671875,True,EleutherAI/pythia-1b-deduped,
three_rule_comb5,1,three_rule_comb5_1,False,[3 3 1],"3 4 3]
[5 5 5]",-4.604951858520508,"[3, 4, 3]",False,"[-7.366401672363281, -11.076677322387695, -8.382490158081055, -10.263900756835938, -11.161840438842773, -7.095233917236328, -3.9310665130615234, -10.654382705688477]",6,7 6 7],-3.9310665130615234,False,EleutherAI/pythia-1b-deduped,
three_rule_comb6,1,three_rule_comb6_1,False,[7 1 9],"7 1 9]
[7 1 9]",-1.8318557739257812,"[7, 1, 9]",True,"[-9.120687484741211, -8.860113143920898, -0.22376251220703125, -9.255086898803711, -10.90925407409668, -8.653696060180664, -7.766082763671875, -3.606231689453125]",2,7 1 9],-0.22376251220703125,True,EleutherAI/pythia-1b-deduped,
three_rule_comb7,1,three_rule_comb7_1,False,[3 1 8],"1 9 8]
[1 9 7]",-4.388708114624023,"[1, 9, 8]",False,"[-8.328023910522461, -7.688726425170898, -3.8629074096679688, -7.558383941650391, -3.7069644927978516, -1.8983478546142578, -11.950035095214844, -8.862342834472656]",5,3 1 8],-1.8983478546142578,True,EleutherAI/pythia-1b-deduped,
three_rule_comb8,1,three_rule_comb8_1,False,[5 5 5],"5 6 2]
[4 6 1]",-4.63568115234375,"[5, 6, 2]",False,"[-8.292869567871094, -6.945089340209961, -6.589784622192383, -7.902254104614258, -9.569358825683594, -4.853288650512695, -7.797508239746094, -10.456661224365234]",5,3 7 9],-4.853288650512695,False,EleutherAI/pythia-1b-deduped,
three_rule_comb9,1,three_rule_comb9_1,False,[8 9 0],"8 9 0]
[7 8 1]",-1.3060779571533203,"[8, 9, 0]",True,"[-9.106849670410156, -0.5197029113769531, -9.06938362121582, -13.100177764892578, -11.846681594848633, -8.308116912841797, -4.340686798095703, -9.759241104125977]",1,8 9 0],-0.5197029113769531,True,EleutherAI/pythia-1b-deduped,
c3_set_union,1,c3_set_union_1,True,[5 7 4 1],5 4] [7] [1] [,-4.340797424316406,[4 5],False,"[-5.765996932983398, -3.2589645385742188, -10.439872741699219, 0.0, -2.2671451568603516, -4.204212188720703, -5.729267120361328, -3.895151138305664]",3,],0.0,False,EleutherAI/pythia-1b-deduped,
c1_set_union,1,c1_set_union_1,True,[4],"7] [4]
[7] [",-7.138053894042969,[7],False,"[-6.4948883056640625, -4.358589172363281, -1.6176910400390625, -4.6018829345703125, 0.0, -7.18017578125, -1.6650066375732422, -9.781839370727539]",4,],0.0,False,EleutherAI/pythia-1b-deduped,
c2_set_union,1,c2_set_union_1,True,[8],"8] [8]
[2] [",-5.420896530151367,[8],True,"[-3.9292125701904297, 0.0, -5.755456924438477, -3.7300586700439453, -5.085117340087891, -6.194484710693359, -1.1080360412597656, -3.6246395111083984]",1,],0.0,False,EleutherAI/pythia-1b-deduped,
AND,1,AND_1,True,[1],"1]
[4 1] [7 1",-2.8658275604248047,[1],True,"[-11.865304946899414, -10.900566101074219, -7.793292999267578, -9.499826431274414, -0.23003005981445312, 0.0, -17.396930694580078, -21.699569702148438]",5,],0.0,False,EleutherAI/pythia-1b-deduped,
XOR,1,XOR_1,True,[9 8],"7 2]
[7 2] [7",-4.684404373168945,[2 7],False,"[-7.057493209838867, -6.685266494750977, -4.497831344604492, -6.166154861450195, -14.651171684265137, -19.471145629882812, -3.0816707611083984, -1.6507110595703125]",7,7 2],-1.6507110595703125,False,EleutherAI/pythia-1b-deduped,
c3_set_union_permuted,1,c3_set_union_permuted_1,True,[1 6 7 5],"6 7]
[1 7] [6",-5.420967102050781,[6 7],False,"[-15.960199356079102, -4.853979110717773, -10.470882415771484, -6.070215225219727, -3.8464584350585938, -3.5410938262939453, -2.325925827026367, -4.102628707885742]",6,7],-2.325925827026367,False,EleutherAI/pythia-1b-deduped,
c2_set_union_permuted,1,c2_set_union_permuted_1,True,[5],"6] [5]
[5] [",-4.94439697265625,[6],False,"[-11.864587783813477, -2.9381980895996094, -2.2284622192382812, -5.756813049316406, -6.429435729980469, -3.7777175903320312, -1.7191619873046875, -4.715442657470703]",6,6],-1.7191619873046875,False,EleutherAI/pythia-1b-deduped,
c1_set_union_permuted,1,c1_set_union_permuted_1,True,[4],"4]
[1 2] [2]",-4.946466445922852,[4],True,"[-9.594947814941406, -6.67431640625, -3.903127670288086, -2.6519813537597656, -8.42978286743164, -1.786977767944336, -1.1494731903076172, -3.9905738830566406]",6,4],-1.1494731903076172,True,EleutherAI/pythia-1b-deduped,
XOR_permuted,1,XOR_permuted_1,True,[8 4],"8 5]
[2 5] [4",-3.8123607635498047,[5 8],False,"[-3.787874221801758, -3.0016098022460938, -2.764392852783203, -6.689228057861328, -1.7088241577148438, -5.693851470947266, -7.356388092041016, -3.305866241455078]",4,2 5],-1.7088241577148438,False,EleutherAI/pythia-1b-deduped,
AND_permuted,1,AND_permuted_1,True,[],"2] [2]
[9] [",-5.569795608520508,[2],False,"[-11.655049324035645, 0.0, -2.816823959350586, -4.483331680297852, -11.49445915222168, -4.056365966796875, -11.156110763549805, -5.808382034301758]",1,],0.0,True,EleutherAI/pythia-1b-deduped,
row_constant,2,row_constant_2,False,[7],"7] [7]
[3] [",-3.3088436126708984,[7],True,"[-0.08843040466308594, -3.535320281982422, -6.334551811218262, -5.765872955322266, -4.555425643920898, -4.619935989379883, -5.382028579711914, -5.664304733276367]",0,7],-0.08843040466308594,True,EleutherAI/pythia-1b-deduped,
col_constant,2,col_constant_2,False,[9],"9]
[4] [2] [",-0.3763008117675781,[9],True,"[-5.187429428100586, -4.984311103820801, -5.315316200256348, -4.958961486816406, -3.93389892578125, -5.147477149963379, -0.12454605102539062, -4.626901626586914]",6,9],-0.12454605102539062,True,EleutherAI/pythia-1b-deduped,
dist3_diag1,2,dist3_diag1_2,False,[7],"4]
[5] [4] [",-2.161836624145508,[4],False,"[-3.735126495361328, -2.5591278076171875, -1.5594482421875, -5.089639663696289, -0.8059940338134766, -4.562557220458984, -2.0528602600097656, -2.6424732208251953]",4,4],-0.8059940338134766,False,EleutherAI/pythia-1b-deduped,
dist3_diag2,2,dist3_diag2_2,False,[5],"5]
[6] [5] [",-2.520740509033203,[5],True,"[-2.888071060180664, -2.996601104736328, -5.20161247253418, -3.8869495391845703, -0.39208412170410156, -4.960771560668945, -5.703697204589844, -3.295511245727539]",4,5],-0.39208412170410156,True,EleutherAI/pythia-1b-deduped,
prog_size1,2,prog_size1_2,False,[6],"6]
[5] [6] [",-0.7531833648681641,[6],True,"[-3.9140310287475586, -0.14119720458984375, -3.750826835632324, -6.017345428466797, -4.331480026245117, -3.9794273376464844, -4.3880462646484375, -4.585188865661621]",1,6],-0.14119720458984375,True,EleutherAI/pythia-1b-deduped,
prog_size2,2,prog_size2_2,False,[0],"2] [2]
[2] [",-3.601137161254883,[2],False,"[-2.249826431274414, -2.414997100830078, -1.7491931915283203, -1.2555255889892578, -2.8901596069335938, -2.2272167205810547, -2.69134521484375, -3.104228973388672]",3,2],-1.2555255889892578,False,EleutherAI/pythia-1b-deduped,
two_rule_comb0,2,two_rule_comb0_2,False,[2 4],"2 4]
[3 7] [9",-0.20660781860351562,"[2, 4]",True,"[-7.643121719360352, -10.026962280273438, -10.880589485168457, -9.292924880981445, -10.332977294921875, -0.022375106811523438, -8.233116149902344, -9.697965621948242]",5,2 4],-0.022375106811523438,True,EleutherAI/pythia-1b-deduped,
two_rule_comb1,2,two_rule_comb1_2,False,[2 6],"2 6]
[2 5] [8",-5.406154632568359,"[2, 6]",True,"[-4.632047653198242, -1.3486785888671875, -6.664226531982422, -6.147987365722656, -5.1579437255859375, -4.806192398071289, -8.517929077148438, -3.8057632446289062]",1,2 6],-1.3486785888671875,True,EleutherAI/pythia-1b-deduped,
two_rule_comb2,2,two_rule_comb2_2,False,[6 5],"6 5]
[9 4] [5",-0.2408599853515625,"[6, 5]",True,"[-8.589876174926758, -5.515224456787109, -11.051198959350586, -11.012472152709961, -8.664913177490234, -7.51292610168457, -7.161664962768555, -0.09393882751464844]",7,6 5],-0.09393882751464844,True,EleutherAI/pythia-1b-deduped,
two_rule_comb3,2,two_rule_comb3_2,False,[4 8],"4 8]
[1 0] [4",-2.717592239379883,"[4, 8]",True,"[-6.147111892700195, -5.489465713500977, -0.4743938446044922, -4.771175384521484, -1.9728050231933594, -7.658308029174805, -5.854389190673828, -9.167570114135742]",2,4 8],-0.4743938446044922,True,EleutherAI/pythia-1b-deduped,
two_rule_comb4,2,two_rule_comb4_2,False,[4 3],"4 0]
[4 0] [5",-3.466218948364258,"[4, 0]",False,"[-10.559282302856445, -12.06159496307373, -1.383188247680664, -4.847755432128906, -5.177522659301758, -3.088357925415039, -7.531641006469727, -7.046087265014648]",2,4 3],-1.383188247680664,True,EleutherAI/pythia-1b-deduped,
two_rule_comb5,2,two_rule_comb5_2,False,[9 9],"8 9]
[7 8] [8",-2.690999984741211,"[8, 9]",False,"[-5.56480598449707, -11.483453750610352, -6.22096061706543, -5.476947784423828, -7.311347961425781, -9.247700691223145, -2.1702709197998047, -3.4533138275146484]",6,3 6],-2.1702709197998047,False,EleutherAI/pythia-1b-deduped,
three_rule_comb0,2,three_rule_comb0_2,False,[2 9 0],"2 9 0]
[3 9 1]",-2.721891403198242,"[2, 9, 0]",True,"[-8.60205078125, -6.532194137573242, -7.001249313354492, -14.206321716308594, -0.17324447631835938, -5.414512634277344, -12.348304748535156, -12.495555877685547]",4,2 9 0],-0.17324447631835938,True,EleutherAI/pythia-1b-deduped,
three_rule_comb1,2,three_rule_comb1_2,False,[3 3 2],"5 3 2]
[5 6 5]",-3.0117645263671875,"[5, 3, 2]",False,"[-6.390958786010742, -8.580827713012695, -7.791202545166016, -7.467010498046875, -2.554697036743164, -3.5144424438476562, -8.031347274780273, -9.20305061340332]",4,4 3 2],-2.554697036743164,False,EleutherAI/pythia-1b-deduped,
three_rule_comb2,2,three_rule_comb2_2,False,[8 5 6],"8 6 6]
[9 4 8]",-1.1832866668701172,"[8, 6, 6]",False,"[-13.938737869262695, -7.325839996337891, -12.598119735717773, -6.931299209594727, -1.2705535888671875, -9.378911972045898, -11.240289688110352, -11.67599868774414]",4,8 5 6],-1.2705535888671875,True,EleutherAI/pythia-1b-deduped,
three_rule_comb3,2,three_rule_comb3_2,False,[6 3 7],"6 3 7]
[2 3 5]",-7.044767379760742,"[6, 3, 7]",True,"[-2.692811965942383, -8.22311782836914, -4.168745040893555, -7.236845016479492, -5.872495651245117, -4.766366958618164, -4.874753952026367, -7.719659805297852]",0,6 3 7],-2.692811965942383,True,EleutherAI/pythia-1b-deduped,
