problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct
two_rule_comb0,1,two_rule_comb0_1,False,[7 0],"7 0]
[7 8] [7",-2.939971923828125,"[7, 0]",True,"[-0.049869537353515625, -10.589399337768555, -7.087497711181641, -10.854145050048828, -6.527677536010742, -10.047098159790039, -9.1982421875, -7.49803352355957]",0,7 0],-0.049869537353515625,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb1,1,two_rule_comb1_1,False,[8 9],"8 9]
[7 2] [8",-5.165073394775391,"[8, 9]",True,"[-3.9645118713378906, -4.019464492797852, -3.5481033325195312, -2.397571563720703, -3.4293479919433594, -4.729543685913086, -2.2595272064208984, -4.7402191162109375]",6,8 9],-2.2595272064208984,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb2,1,two_rule_comb2_1,False,[0 7],"2 6] [2 5]
[2",-7.188604354858398,"[2, 6]",False,"[-4.369001388549805, -4.810117721557617, -3.703716278076172, -3.7743396759033203, -5.776756286621094, -4.409048080444336, -2.0873489379882812, -5.043825149536133]",6,0 7],-2.0873489379882812,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb3,1,two_rule_comb3_1,False,[9 0],"9 0]
[5 9] [9",-1.7285652160644531,"[9, 0]",True,"[-8.958438873291016, -7.527349472045898, -6.178012847900391, -5.337913513183594, -0.6121482849121094, -6.419069290161133, -6.814311981201172, -6.773292541503906]",4,9 0],-0.6121482849121094,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb4,1,two_rule_comb4_1,False,[5 7],"5 5]
[4 4] [5",-3.1735477447509766,"[5, 5]",False,"[-6.88670539855957, -3.935375213623047, -4.782623291015625, -5.422733306884766, -3.583711624145508, -6.272453308105469, -6.114095687866211, -5.079534530639648]",4,5 7],-3.583711624145508,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb5,1,two_rule_comb5_1,False,[4 4],"4 4]
[3 5] [4",-0.6587753295898438,"[4, 4]",True,"[-0.37558937072753906, -6.831657409667969, -6.462566375732422, -4.0709381103515625, -7.270973205566406, -4.791284561157227, -9.833982467651367, -9.594655990600586]",0,4 4],-0.37558937072753906,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb0,1,three_rule_comb0_1,False,[3 0 0],"3 0 0]
[4 0 1]",-4.10699462890625,"[3, 0, 0]",True,"[-0.3002910614013672, -13.185903549194336, -10.051794052124023, -14.663862228393555, -10.064085006713867, -15.845767974853516, -12.320060729980469, -4.686517715454102]",0,3 0 0],-0.3002910614013672,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb1,1,three_rule_comb1_1,False,[8 9 9],"1 9 3]
[3 9 2]",-7.748477935791016,"[1, 9, 3]",False,"[-9.595312118530273, -7.481861114501953, -7.999111175537109, -6.405778884887695, -8.394817352294922, -7.882043838500977, -7.938566207885742, -7.348297119140625]",3,8 9 9],-6.405778884887695,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb2,1,three_rule_comb2_1,False,[1 1 9],"1 5 9]
[5 5 8]",-5.611782073974609,"[1, 5, 9]",False,"[-1.8506946563720703, -12.389619827270508, -7.165544509887695, -5.233491897583008, -11.854776382446289, -10.540632247924805, -4.436697006225586, -12.3416748046875]",0,1 1 9],-1.8506946563720703,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb3,1,three_rule_comb3_1,False,[2 1 2],"2 1 2]
[2 6 0]",-5.223461151123047,"[2, 1, 2]",True,"[-2.4347972869873047, -14.55816650390625, -6.8775177001953125, -7.830051422119141, -7.693754196166992, -3.3649978637695312, -6.100374221801758, -7.40424919128418]",0,2 1 2],-2.4347972869873047,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb4,1,three_rule_comb4_1,False,[7 9 4],"7 7 6]
[8 7 6]",-5.922357559204102,"[7, 7, 6]",False,"[-7.499658584594727, -3.454914093017578, -6.93528938293457, -6.648881912231445, -4.380283355712891, -6.027172088623047, -6.852203369140625, -6.290895462036133]",1,7 7 9],-3.454914093017578,False,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb5,1,three_rule_comb5_1,False,[3 3 1],"3 3 3]
[5 4 3]",-3.3371143341064453,"[3, 3, 3]",False,"[-5.739566802978516, -13.402558326721191, -12.03896427154541, -15.233457565307617, -10.929906845092773, -3.6970138549804688, -10.669963836669922, -12.404247283935547]",5,3 3 1],-3.6970138549804688,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb6,1,three_rule_comb6_1,False,[7 1 9],"7 1 9] [1 3 4]
",-0.8033714294433594,"[7, 1, 9]",True,"[-10.653623580932617, -6.5100860595703125, -0.2348346710205078, -8.057334899902344, -7.690700531005859, -9.166894912719727, -7.731300354003906, -3.856161117553711]",2,7 1 9],-0.2348346710205078,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb7,1,three_rule_comb7_1,False,[3 1 8],"3 1 5]
[1 9 6]",-3.995128631591797,"[3, 1, 5]",False,"[-9.845600128173828, -8.239477157592773, -1.6444206237792969, -8.138259887695312, -4.273593902587891, -2.8829784393310547, -10.662813186645508, -9.260917663574219]",2,3 1 5],-1.6444206237792969,False,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb8,1,three_rule_comb8_1,False,[5 5 5],"5 8 1]
[4 6 1]",-3.1468677520751953,"[5, 8, 1]",False,"[-5.94847297668457, -8.381221771240234, -4.126138687133789, -10.43874740600586, -11.04177474975586, -4.9473114013671875, -9.252517700195312, -11.861082077026367]",2,1 9 1],-4.126138687133789,False,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb9,1,three_rule_comb9_1,False,[8 9 0],"8 9 0]
[7 8 1]",-0.7472991943359375,"[8, 9, 0]",True,"[-9.581653594970703, -0.3918609619140625, -9.36105728149414, -10.298765182495117, -12.453758239746094, -11.119455337524414, -6.86555290222168, -11.449600219726562]",1,8 9 0],-0.3918609619140625,True,allenai/OLMo-7B,step211000-tokens933B,False
c3_set_union,1,c3_set_union_1,True,[5 7 4 1],"5 4]
[7 5] [4",-7.170721054077148,[4 5],False,"[-2.5446548461914062, -2.2362060546875, -7.620246887207031, 0.0, -5.385225296020508, -5.041692733764648, -4.187044143676758, -5.385593414306641]",3,],0.0,False,allenai/OLMo-7B,step211000-tokens933B,False
c1_set_union,1,c1_set_union_1,True,[4],"4]
[1 4] [1]",-4.833749771118164,[4],True,"[-7.350980758666992, -6.05369758605957, -0.4517040252685547, -5.984825134277344, 0.0, -8.416057586669922, -4.009511947631836, -7.718658447265625]",4,],0.0,False,allenai/OLMo-7B,step211000-tokens933B,False
c2_set_union,1,c2_set_union_1,True,[8],"8]
[2] [2 3]",-6.327360153198242,[8],True,"[-4.793758392333984, 0.0, -5.179376602172852, -4.3286285400390625, -5.334318161010742, -4.806699752807617, -1.1354637145996094, -3.108083724975586]",1,],0.0,False,allenai/OLMo-7B,step211000-tokens933B,False
AND,1,AND_1,True,[1],"1]
[4 1] [7 1",-3.2011051177978516,[1],True,"[-7.011480331420898, -11.044944763183594, -7.072956085205078, -11.926345825195312, -0.10991477966308594, 0.0, -14.0701265335083, -16.091144561767578]",5,],0.0,False,allenai/OLMo-7B,step211000-tokens933B,False
XOR,1,XOR_1,True,[9 8],"8 2]
[2 8] [8",-4.261085510253906,[2 8],False,"[-9.054423332214355, -9.754325866699219, -4.591222763061523, -10.26280403137207, -11.273649215698242, -16.272642135620117, -4.467906951904297, -2.7014942169189453]",7,7 2],-2.7014942169189453,False,allenai/OLMo-7B,step211000-tokens933B,False
c3_set_union_permuted,1,c3_set_union_permuted_1,True,[1 6 7 5],"6 1]
[1 6] [5",-6.511163711547852,[1 6],False,"[-12.295934677124023, -4.090370178222656, -5.444032669067383, -3.8131256103515625, -6.552629470825195, -3.0658016204833984, -7.02033805847168, -5.613105773925781]",5,5 1],-3.0658016204833984,False,allenai/OLMo-7B,step211000-tokens933B,False
c2_set_union_permuted,1,c2_set_union_permuted_1,True,[5],"6] [5]
[6] [",-6.912921905517578,[6],False,"[-9.466035842895508, -3.3956947326660156, -2.6496009826660156, -4.786029815673828, -7.162883758544922, -4.115806579589844, -2.2975006103515625, -5.7759246826171875]",6,6],-2.2975006103515625,False,allenai/OLMo-7B,step211000-tokens933B,False
c1_set_union_permuted,1,c1_set_union_permuted_1,True,[4],"4]
[1 2] [1]",-4.43505859375,[4],True,"[-10.342761993408203, -7.7622222900390625, -4.896263122558594, -2.7461986541748047, -6.582927703857422, -1.6146106719970703, -0.8779983520507812, -3.958333969116211]",6,4],-0.8779983520507812,True,allenai/OLMo-7B,step211000-tokens933B,False
XOR_permuted,1,XOR_permuted_1,True,[8 4],"8 2]
[2 5] [4",-4.332996368408203,[2 8],False,"[-5.120550155639648, -2.647500991821289, -2.162221908569336, -5.684730529785156, -3.730276107788086, -9.813508987426758, -12.460881233215332, -4.19111442565918]",2,8 4],-2.162221908569336,True,allenai/OLMo-7B,step211000-tokens933B,False
AND_permuted,1,AND_permuted_1,True,[],"2] [2]
[9] [",-5.942134857177734,[2],False,"[-9.28073501586914, 0.0, -3.1297950744628906, -4.321788787841797, -10.690393447875977, -3.7470874786376953, -11.763078689575195, -4.147979736328125]",1,],0.0,True,allenai/OLMo-7B,step211000-tokens933B,False
row_constant,2,row_constant_2,False,[7],"7]
[8] [8] [",-2.357067108154297,[7],True,"[-0.10239982604980469, -4.733242034912109, -5.190511703491211, -5.5758819580078125, -4.524747848510742, -4.4369659423828125, -4.157587051391602, -4.885309219360352]",0,7],-0.10239982604980469,True,allenai/OLMo-7B,step211000-tokens933B,False
col_constant,2,col_constant_2,False,[9],"9]
[4] [2] [",-0.3368797302246094,[9],True,"[-4.280635833740234, -4.195789337158203, -4.356454849243164, -4.405202865600586, -3.5593223571777344, -4.383857727050781, -0.1900177001953125, -4.057004928588867]",6,9],-0.1900177001953125,True,allenai/OLMo-7B,step211000-tokens933B,False
dist3_diag1,2,dist3_diag1_2,False,[7],"7]
[6] [5] [",-2.4707813262939453,[7],True,"[-3.885984420776367, -3.4892845153808594, -0.6736011505126953, -5.10545539855957, -2.2171707153320312, -3.681732177734375, -1.8364677429199219, -2.1889591217041016]",2,7],-0.6736011505126953,True,allenai/OLMo-7B,step211000-tokens933B,False
dist3_diag2,2,dist3_diag2_2,False,[5],"5]
[2] [5] [",-2.721494674682617,[5],True,"[-2.9637279510498047, -3.057493209838867, -4.648159027099609, -3.0929641723632812, -0.3578529357910156, -4.676185607910156, -5.577154159545898, -3.455883026123047]",4,5],-0.3578529357910156,True,allenai/OLMo-7B,step211000-tokens933B,False
prog_size1,2,prog_size1_2,False,[6],"6]
[5] [6] [",-0.7748870849609375,[6],True,"[-3.4080371856689453, -0.215240478515625, -2.9901561737060547, -6.065227508544922, -3.48309326171875, -3.9300899505615234, -3.5115413665771484, -5.261726379394531]",1,6],-0.215240478515625,True,allenai/OLMo-7B,step211000-tokens933B,False
prog_size2,2,prog_size2_2,False,[0],"2]
[2] [2] [",-2.3216552734375,[2],False,"[-2.0777034759521484, -3.1784591674804688, -2.4232330322265625, -0.9310169219970703, -3.2541332244873047, -1.9111156463623047, -2.0917396545410156, -4.26527214050293]",3,2],-0.9310169219970703,False,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb0,2,two_rule_comb0_2,False,[2 4],"2 4]
[3 7] [9",-0.194976806640625,"[2, 4]",True,"[-6.019414901733398, -6.656728744506836, -9.414819717407227, -7.202083587646484, -7.431159973144531, -0.114410400390625, -6.800209045410156, -6.903093338012695]",5,2 4],-0.114410400390625,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb1,2,two_rule_comb1_2,False,[2 6],"2 6]
[3 6] [2",-4.55589485168457,"[2, 6]",True,"[-7.922569274902344, -0.5222549438476562, -7.560182571411133, -8.395963668823242, -4.907052993774414, -5.301273345947266, -8.577632904052734, -5.171773910522461]",1,2 6],-0.5222549438476562,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb2,2,two_rule_comb2_2,False,[6 5],"6 5]
[9 4] [5",-0.24463844299316406,"[6, 5]",True,"[-10.991846084594727, -5.984073638916016, -10.911130905151367, -9.715082168579102, -8.308547973632812, -8.851228713989258, -5.391048431396484, -0.04115104675292969]",7,6 5],-0.04115104675292969,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb3,2,two_rule_comb3_2,False,[4 8],"4 8]
[1 0] [4",-1.7079658508300781,"[4, 8]",True,"[-7.021293640136719, -5.668643951416016, -0.2196197509765625, -6.263250350952148, -4.674919128417969, -7.75456428527832, -6.543966293334961, -8.966970443725586]",2,4 8],-0.2196197509765625,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb4,2,two_rule_comb4_2,False,[4 3],"0 1]
[3 0] [0",-4.4813690185546875,"[0, 1]",False,"[-8.200660705566406, -10.085823059082031, -4.351390838623047, -5.27947998046875, -5.14788818359375, -3.6611804962158203, -5.070610046386719, -5.199071884155273]",5,0 3],-3.6611804962158203,False,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb5,2,two_rule_comb5_2,False,[9 9],"8 9]
[7 8] [8",-1.437398910522461,"[8, 9]",False,"[-7.975198745727539, -9.979263305664062, -5.603202819824219, -4.138910293579102, -6.092250823974609, -5.974430084228516, -5.053028106689453, -7.1064300537109375]",3,7 8],-4.138910293579102,False,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb0,2,three_rule_comb0_2,False,[2 9 0],"2 9 0]
[3 9 1]",-4.055723190307617,"[2, 9, 0]",True,"[-8.371976852416992, -9.200551986694336, -10.253423690795898, -13.586435317993164, -0.01715087890625, -8.688644409179688, -14.401802062988281, -12.563453674316406]",4,2 9 0],-0.01715087890625,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb1,2,three_rule_comb1_2,False,[3 3 2],"3 4 2]
[3 6 5]",-4.407846450805664,"[3, 4, 2]",False,"[-6.217018127441406, -11.691566467285156, -8.281360626220703, -8.949714660644531, -4.252199172973633, -3.169435501098633, -6.961372375488281, -6.787202835083008]",5,3 3 2],-3.169435501098633,True,allenai/OLMo-7B,step211000-tokens933B,False
