problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"7 3]
[3 3] [7",-5.299020767211914,"[7, 3]",False,"[-3.5139083862304688, -5.752643585205078, -3.7615013122558594, -6.451539993286133, -3.9143543243408203, -5.713123321533203, -4.307216644287109, -6.0239105224609375]",0,6 9],-3.5139083862304688,False,EleutherAI/pythia-1.4b-deduped,
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[3 1] [2",-0.9408683776855469,"[2, 0]",True,"[-0.1406078338623047, -8.82990837097168, -9.615822792053223, -6.216562271118164, -9.338846206665039, -9.115222930908203, -12.173100471496582, -4.586971282958984]",0,2 0],-0.1406078338623047,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 4 9]",-1.7260322570800781,"[1, 8, 8]",True,"[-10.683662414550781, -3.0740585327148438, -12.40753173828125, -7.513088226318359, -12.534061431884766, -0.5421161651611328, -13.810699462890625, -13.892173767089844]",5,1 8 8],-0.5421161651611328,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 0]
[3 2 0]",-2.753244400024414,"[6, 9, 0]",True,"[-9.181533813476562, -12.442045211791992, -10.864402770996094, -9.206661224365234, -13.21844482421875, -0.7633266448974609, -14.284048080444336, -12.787483215332031]",5,6 9 0],-0.7633266448974609,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 1]
[6 6 3]",-2.0695228576660156,"[0, 0, 1]",True,"[-11.7501220703125, -1.1134319305419922, -3.759777069091797, -11.956417083740234, -13.267712593078613, -10.445743560791016, -7.80055046081543, -11.757692337036133]",1,0 0 1],-1.1134319305419922,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 7 1]
[9 7 1]",-4.5673675537109375,"[5, 7, 1]",False,"[-9.132965087890625, -9.953948974609375, -8.701576232910156, -8.92520523071289, -6.035709381103516, -4.930685043334961, -7.691476821899414, -3.6989059448242188]",7,5 1 7],-3.6989059448242188,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 8 1]
[7 2 9]",-4.310451507568359,"[8, 8, 1]",False,"[-10.16861343383789, -9.501684188842773, -8.48992919921875, -3.447011947631836, -9.025859832763672, -8.365009307861328, -8.949932098388672, -8.898689270019531]",3,8 7 0],-3.447011947631836,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 0 7]
[1 3 4]",-3.9173622131347656,"[5, 0, 7]",True,"[-14.02603816986084, -1.3425159454345703, -6.69727897644043, -3.475658416748047, -9.89985466003418, -7.971494674682617, -6.745426177978516, -14.125236511230469]",1,5 0 7],-1.3425159454345703,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"0 1 6]
[0 1 6]",-4.101655960083008,"[0, 1, 6]",True,"[-9.814347267150879, -7.303150177001953, -12.957595825195312, -10.011037826538086, -1.9378242492675781, -8.360832214355469, -11.105792999267578, -8.973884582519531]",4,0 1 6],-1.9378242492675781,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"5 4 2]
[5 4 2]",-2.103046417236328,"[5, 4, 2]",False,"[-9.667747497558594, -8.690540313720703, -9.194358825683594, -4.850982666015625, -5.413225173950195, -7.347799301147461, -9.174564361572266, -7.908327102661133]",3,5 4 8],-4.850982666015625,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"8 4 6]
[8 4 5]",-5.105062484741211,"[8, 4, 6]",False,"[-6.074834823608398, -9.785625457763672, -6.954109191894531, -3.5351123809814453, -5.55845832824707, -5.464128494262695, -5.3892364501953125, -9.480661392211914]",3,6 5 2],-3.5351123809814453,False,EleutherAI/pythia-1.4b-deduped,
three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"5 6 5]
[6 6 4]",-3.651803970336914,"[5, 6, 5]",False,"[-4.7642974853515625, -9.204599380493164, -3.844686508178711, -5.922605514526367, -3.0881500244140625, -2.9610767364501953, -8.284597396850586, -6.288818359375]",5,7 5 5],-2.9610767364501953,False,EleutherAI/pythia-1.4b-deduped,
c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 4]
[4] [9]",-6.459646224975586,[4 6],False,"[-3.384248733520508, -5.127834320068359, -2.696908950805664, -6.75639533996582, -3.617704391479492, 0.0, -2.9670886993408203, -7.615360260009766]",5,],0.0,False,EleutherAI/pythia-1.4b-deduped,
c1_set_union,0,c1_set_union_0,True,[4],"4]
[4 1] [4]",-3.8919010162353516,[4],True,"[-10.134279251098633, -8.861879348754883, -2.704967498779297, -0.23035430908203125, -6.246837615966797, -7.905048370361328, -10.689668655395508, -11.990213394165039]",3,4],-0.23035430908203125,True,EleutherAI/pythia-1.4b-deduped,
c2_set_union,0,c2_set_union_0,True,[9],"6] [6]
[7] [",-6.160087585449219,[6],False,"[-3.6030616760253906, 0.0, -1.843740463256836, -5.9113006591796875, -5.316108703613281, -4.422384262084961, -3.1295948028564453, -4.152433395385742]",1,],0.0,False,EleutherAI/pythia-1.4b-deduped,
AND,0,AND_0,True,[4],"4]
[1 4] [6 4",-3.078298568725586,[4],True,"[-9.397254943847656, -9.824249267578125, -17.124530792236328, -3.258058547973633, -8.331172943115234, -0.15264892578125, -3.6783180236816406, -9.316179275512695]",5,4],-0.15264892578125,True,EleutherAI/pythia-1.4b-deduped,
XOR,0,XOR_0,True,[4 3],"1 3]
[1 3] [1",-5.230594635009766,[1 3],False,"[-16.686508178710938, -7.858824729919434, -6.0075225830078125, -6.937694549560547, -2.854135513305664, -2.668170928955078, -4.763101577758789, -14.58329963684082]",5,6 1],-2.668170928955078,False,EleutherAI/pythia-1.4b-deduped,
c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"2]
[2] [2] [",-7.0771484375,[2],False,"[0.0, -10.699853897094727, -3.323484420776367, -3.0781593322753906, -3.772136688232422, -7.668851852416992, -10.571603775024414, -7.9339447021484375]",0,],0.0,False,EleutherAI/pythia-1.4b-deduped,
c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],"5 6] [6]
[1]",-5.065773010253906,[5 6],False,"[-2.449756622314453, -2.200166702270508, -4.375040054321289, -10.947736740112305, -5.9509124755859375, -4.700052261352539, -6.6021270751953125, -9.579916000366211]",1,6],-2.200166702270508,False,EleutherAI/pythia-1.4b-deduped,
c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],"0]
[0 3] [3]",-4.972356796264648,[0],True,"[-5.144500732421875, -2.289011001586914, -3.6768455505371094, -1.3200359344482422, -7.232621192932129, -2.4750499725341797, -9.694581985473633, 0.0]",7,],0.0,False,EleutherAI/pythia-1.4b-deduped,
XOR_permuted,0,XOR_permuted_0,True,[4 0],"4 6]
[4 6] [6",-3.0365867614746094,[4 6],False,"[-19.853492736816406, -4.009302139282227, -13.575322151184082, -18.957256317138672, -1.214883804321289, -3.9403743743896484, 0.0, -16.6551456451416]",6,],0.0,False,EleutherAI/pythia-1.4b-deduped,
AND_permuted,0,AND_permuted_0,True,[],"3] [3]
[2] [",-3.042736053466797,[3],False,"[-7.279850006103516, -5.855142593383789, -16.226421356201172, -15.216791152954102, 0.0, -12.004079818725586, -0.5273876190185547, -6.704067230224609]",4,],0.0,True,EleutherAI/pythia-1.4b-deduped,
row_constant,1,row_constant_1,False,[4],"4]
[0] [0] [",-2.165639877319336,[4],True,"[-3.4159584045410156, -4.056529998779297, -4.984399795532227, -4.8695220947265625, -5.847169876098633, -0.15908432006835938, -4.782629013061523, -2.988676071166992]",5,4],-0.15908432006835938,True,EleutherAI/pythia-1.4b-deduped,
col_constant,1,col_constant_1,False,[9],"9]
[6] [0] [",-0.5327110290527344,[9],True,"[-0.11061477661132812, -5.577962875366211, -4.626819610595703, -5.264505386352539, -4.78227424621582, -5.717432022094727, -4.907983779907227, -5.579322814941406]",0,9],-0.11061477661132812,True,EleutherAI/pythia-1.4b-deduped,
dist3_diag1,1,dist3_diag1_1,False,[4],"4]
[2] [4] [",-2.957571029663086,[4],True,"[-3.478260040283203, -1.529632568359375, -2.8486862182617188, -5.372270584106445, -0.7163543701171875, -4.185497283935547, -4.821355819702148, -4.4836883544921875]",4,4],-0.7163543701171875,True,EleutherAI/pythia-1.4b-deduped,
dist3_diag2,1,dist3_diag2_1,False,[5],"5]
[6] [5] [",-2.1600189208984375,[5],True,"[-0.3867168426513672, -5.500917434692383, -3.415567398071289, -3.0633983612060547, -2.993602752685547, -2.3928070068359375, -3.5634708404541016, -2.9935226440429688]",0,5],-0.3867168426513672,True,EleutherAI/pythia-1.4b-deduped,
prog_size1,1,prog_size1_1,False,[5],"5]
[4] [5] [",-1.2519302368164062,[5],True,"[-5.841541290283203, -7.234687805175781, -4.681797027587891, -3.2517471313476562, -3.522787094116211, -4.124643325805664, -0.40801429748535156, -1.481271743774414]",6,5],-0.40801429748535156,True,EleutherAI/pythia-1.4b-deduped,
prog_size2,1,prog_size2_1,False,[9],"9]
[7] [9] [",-1.592081069946289,[9],True,"[-5.328141212463379, -3.542236328125, -0.5953407287597656, -3.2964515686035156, -2.2774009704589844, -3.6494274139404297, -4.230165481567383, -3.1869239807128906]",2,9],-0.5953407287597656,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb0,1,two_rule_comb0_1,False,[7 0],"7 0]
[8 9] [8",-1.651815414428711,"[7, 0]",True,"[-0.030569076538085938, -11.455934524536133, -8.960257530212402, -11.109142303466797, -9.28650188446045, -11.404641151428223, -10.731647491455078, -8.09564208984375]",0,7 0],-0.030569076538085938,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb1,1,two_rule_comb1_1,False,[8 9],"8 9]
[8 2] [7",-4.21174430847168,"[8, 9]",True,"[-4.249185562133789, -4.703603744506836, -2.3221817016601562, -4.117530822753906, -2.9648303985595703, -5.573638916015625, -2.08636474609375, -4.727630615234375]",6,8 9],-2.08636474609375,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb2,1,two_rule_comb2_1,False,[0 7],"4 7]
[2 6] [4",-5.289131164550781,"[4, 7]",False,"[-5.139549255371094, -4.431283950805664, -4.316205978393555, -4.453163146972656, -6.360406875610352, -3.981565475463867, -3.3443965911865234, -4.173564910888672]",6,0 7],-3.3443965911865234,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb3,1,two_rule_comb3_1,False,[9 0],"9 0]
[5 9] [9",-2.0745582580566406,"[9, 0]",True,"[-7.801237106323242, -7.070066452026367, -7.904979705810547, -7.573480606079102, -0.2880573272705078, -6.1890716552734375, -6.66302490234375, -4.0181732177734375]",4,9 0],-0.2880573272705078,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb4,1,two_rule_comb4_1,False,[5 7],"5 5]
[4 4] [5",-2.7815933227539062,"[5, 5]",False,"[-6.848859786987305, -6.304849624633789, -4.448978424072266, -5.7982177734375, -3.427824020385742, -5.678487777709961, -8.284351348876953, -4.54557991027832]",4,5 7],-3.427824020385742,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb5,1,two_rule_comb5_1,False,[4 4],"4 4]
[3 5] [4",-0.7115211486816406,"[4, 4]",True,"[-0.2181873321533203, -8.70322036743164, -6.276582717895508, -5.24702262878418, -10.43960189819336, -6.025199890136719, -11.53046989440918, -11.565229415893555]",0,4 4],-0.2181873321533203,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb0,1,three_rule_comb0_1,False,[3 0 0],"3 0 0]
[5 0 1]",-3.755033493041992,"[3, 0, 0]",True,"[-0.08499526977539062, -15.9881591796875, -12.98906135559082, -14.927066802978516, -9.082071304321289, -14.877187728881836, -14.635038375854492, -8.635444641113281]",0,3 0 0],-0.08499526977539062,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb1,1,three_rule_comb1_1,False,[8 9 9],"1 4 9]
[2 3 6]",-7.452888488769531,"[1, 4, 9]",False,"[-8.912599563598633, -8.893182754516602, -8.339027404785156, -7.121889114379883, -8.309968948364258, -8.266889572143555, -7.9118804931640625, -10.420190811157227]",3,8 9 9],-7.121889114379883,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb2,1,three_rule_comb2_1,False,[1 1 9],"1 1 9]
[5 7 10]",-4.326240539550781,"[1, 1, 9]",True,"[-1.2059593200683594, -13.612571716308594, -10.21044921875, -6.54876708984375, -12.797409057617188, -12.885924339294434, -9.603658676147461, -15.304633140563965]",0,1 1 9],-1.2059593200683594,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb3,1,three_rule_comb3_1,False,[2 1 2],"2 2 0]
[2 2 0]",-7.894748687744141,"[2, 2, 0]",False,"[-3.955242156982422, -11.905290603637695, -6.882778167724609, -6.80518913269043, -6.470151901245117, -4.733085632324219, -5.734344482421875, -5.498788833618164]",0,2 1 2],-3.955242156982422,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb4,1,three_rule_comb4_1,False,[7 9 4],"7 9 4]
[9 8 4]",-5.270624160766602,"[7, 9, 4]",True,"[-9.923547744750977, -4.435981750488281, -8.969062805175781, -5.384120941162109, -1.6203594207763672, -10.083019256591797, -8.383304595947266, -7.445011138916016]",4,7 9 4],-1.6203594207763672,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb5,1,three_rule_comb5_1,False,[3 3 1],"3 4 4]
[5 5 5]",-3.191965103149414,"[3, 4, 4]",False,"[-8.485149383544922, -12.34372329711914, -10.879404067993164, -10.805925369262695, -12.673650741577148, -4.558757781982422, -5.766551971435547, -14.727333068847656]",5,3 3 1],-4.558757781982422,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb6,1,three_rule_comb6_1,False,[7 1 9],"7 1 9]
[2 4 8]",-1.8871402740478516,"[7, 1, 9]",True,"[-10.402976989746094, -8.475103378295898, -0.18542098999023438, -9.619998931884766, -8.52016830444336, -10.063965797424316, -9.44172477722168, -3.1768722534179688]",2,7 1 9],-0.18542098999023438,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb7,1,three_rule_comb7_1,False,[3 1 8],"3 1 7]
[3 1 7]",-2.893390655517578,"[3, 1, 7]",False,"[-7.062311172485352, -8.005014419555664, -3.642223358154297, -5.935686111450195, -3.9229373931884766, -1.6483345031738281, -12.774067878723145, -8.506803512573242]",5,3 1 8],-1.6483345031738281,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb8,1,three_rule_comb8_1,False,[5 5 5],"5 7 2]
[4 6 1]",-4.253551483154297,"[5, 7, 2]",False,"[-6.157360076904297, -8.78311538696289, -3.3685436248779297, -10.428482055664062, -10.988485336303711, -6.164655685424805, -9.14809799194336, -12.437496185302734]",2,1 9 1],-3.3685436248779297,False,EleutherAI/pythia-1.4b-deduped,
three_rule_comb9,1,three_rule_comb9_1,False,[8 9 0],"8 9 0]
[7 8 1]",-1.0212154388427734,"[8, 9, 0]",True,"[-9.953224182128906, -0.3661460876464844, -8.707788467407227, -11.824312210083008, -11.110366821289062, -8.64146614074707, -3.9930267333984375, -12.330818176269531]",1,8 9 0],-0.3661460876464844,True,EleutherAI/pythia-1.4b-deduped,
c3_set_union,1,c3_set_union_1,True,[5 7 4 1],"5 4]
[7] [1]",-5.517805099487305,[4 5],False,"[-4.65858268737793, -2.1659679412841797, -7.205101013183594, 0.0, -3.125326156616211, -4.326650619506836, -5.420600891113281, -3.888895034790039]",3,],0.0,False,EleutherAI/pythia-1.4b-deduped,
c1_set_union,1,c1_set_union_1,True,[4],"4]
[4] [4] [",-2.3683509826660156,[4],True,"[-10.11345100402832, -7.110836029052734, -0.12563705444335938, -7.65053653717041, 0.0, -12.61575698852539, -4.782159805297852, -15.48801326751709]",4,],0.0,False,EleutherAI/pythia-1.4b-deduped,
c2_set_union,1,c2_set_union_1,True,[8],"8] [8]
[2] [",-3.992673873901367,[8],True,"[-5.304801940917969, 0.0, -5.787511825561523, -2.657093048095703, -3.0985240936279297, -6.069366455078125, -0.6021137237548828, -3.5129241943359375]",1,],0.0,False,EleutherAI/pythia-1.4b-deduped,
AND,1,AND_1,True,[1],"1]
[4 1] [7 1",-2.7486419677734375,[1],True,"[-10.899932861328125, -12.056818008422852, -11.357925415039062, -12.103675842285156, -0.04640007019042969, 0.0, -17.563732147216797, -20.400775909423828]",5,],0.0,False,EleutherAI/pythia-1.4b-deduped,
XOR,1,XOR_1,True,[9 8],"7 2]
[7 2] [8",-5.572938919067383,[2 7],False,"[-6.638338088989258, -7.90411376953125, -5.285942077636719, -6.993068695068359, -14.705512046813965, -19.68901824951172, -3.043485641479492, -2.379199981689453]",7,7 2],-2.379199981689453,False,EleutherAI/pythia-1.4b-deduped,
c3_set_union_permuted,1,c3_set_union_permuted_1,True,[1 6 7 5],"5 7]
[1] [5]",-6.252939224243164,[5 7],False,"[-12.979053497314453, -5.352571487426758, -9.217935562133789, -4.716604232788086, -2.8338565826416016, -3.4141502380371094, -3.048513412475586, -3.04931640625]",4,5],-2.8338565826416016,False,EleutherAI/pythia-1.4b-deduped,
c2_set_union_permuted,1,c2_set_union_permuted_1,True,[5],"3]
[6] [6 5]",-7.136009216308594,[3],False,"[-10.989019393920898, -2.2065658569335938, -2.621744155883789, -5.201810836791992, -8.550498962402344, -3.019580841064453, -1.519775390625, -6.147174835205078]",6,6],-1.519775390625,False,EleutherAI/pythia-1.4b-deduped,
c1_set_union_permuted,1,c1_set_union_permuted_1,True,[4],"4]
[2 4] [2]",-3.6023998260498047,[4],True,"[-10.888463973999023, -9.931249618530273, -4.976236343383789, -3.1767024993896484, -11.472261428833008, -1.3011188507080078, -1.141672134399414, -3.429595947265625]",6,4],-1.141672134399414,True,EleutherAI/pythia-1.4b-deduped,
XOR_permuted,1,XOR_permuted_1,True,[8 4],"8 2]
[2 4] [4",-5.004238128662109,[2 8],False,"[-5.3370361328125, -4.542322158813477, -4.17249870300293, -5.398418426513672, -2.420785903930664, -9.185260772705078, -9.140802383422852, -3.3317604064941406]",4,2 5],-2.420785903930664,False,EleutherAI/pythia-1.4b-deduped,
AND_permuted,1,AND_permuted_1,True,[],"3] [3]
[9] [",-5.217561721801758,[3],False,"[-11.043111801147461, 0.0, -3.7378501892089844, -5.587718963623047, -11.147878646850586, -4.632381439208984, -10.511104583740234, -5.7784576416015625]",1,],0.0,True,EleutherAI/pythia-1.4b-deduped,
row_constant,2,row_constant_2,False,[7],"7]
[4] [4] [",-2.2540283203125,[7],True,"[-0.25240135192871094, -2.9004344940185547, -5.546892166137695, -5.587188720703125, -3.447488784790039, -4.1262359619140625, -3.6098575592041016, -3.825510025024414]",0,7],-0.25240135192871094,True,EleutherAI/pythia-1.4b-deduped,
col_constant,2,col_constant_2,False,[9],"9]
[4] [2] [",-0.5583877563476562,[9],True,"[-4.83056640625, -4.792253494262695, -5.066595077514648, -4.716878890991211, -4.394643783569336, -4.731996536254883, -0.17151832580566406, -4.863193511962891]",6,9],-0.17151832580566406,True,EleutherAI/pythia-1.4b-deduped,
dist3_diag1,2,dist3_diag1_2,False,[7],"4]
[5] [4] [",-2.288633346557617,[4],False,"[-3.7271480560302734, -3.136079788208008, -1.409505844116211, -4.736751556396484, -1.076995849609375, -3.0674819946289062, -1.976715087890625, -2.0814170837402344]",4,4],-1.076995849609375,False,EleutherAI/pythia-1.4b-deduped,
dist3_diag2,2,dist3_diag2_2,False,[5],"5]
[6] [5] [",-1.978281021118164,[5],True,"[-3.233489990234375, -3.0201282501220703, -5.443447113037109, -3.9148521423339844, -0.332977294921875, -4.933845520019531, -6.060697555541992, -3.011445999145508]",4,5],-0.332977294921875,True,EleutherAI/pythia-1.4b-deduped,
prog_size1,2,prog_size1_2,False,[6],"6]
[5] [6] [",-0.9427890777587891,[6],True,"[-3.2213783264160156, -0.2864875793457031, -2.4981765747070312, -6.91765022277832, -5.094783782958984, -3.401355743408203, -3.4185962677001953, -3.396871566772461]",1,6],-0.2864875793457031,True,EleutherAI/pythia-1.4b-deduped,
prog_size2,2,prog_size2_2,False,[0],"1]
[2] [1] [",-2.394582748413086,[1],False,"[-2.3451175689697266, -3.5651416778564453, -1.1200065612792969, -1.1222915649414062, -3.7324390411376953, -3.037416458129883, -2.1636600494384766, -4.733354568481445]",2,1],-1.1200065612792969,False,EleutherAI/pythia-1.4b-deduped,
two_rule_comb0,2,two_rule_comb0_2,False,[2 4],"2 4]
[3 7] [9",-0.6071929931640625,"[2, 4]",True,"[-6.369001388549805, -7.022956848144531, -9.271844863891602, -8.647525787353516, -8.377498626708984, -0.11063766479492188, -7.924509048461914, -7.322246551513672]",5,2 4],-0.11063766479492188,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb1,2,two_rule_comb1_2,False,[2 6],"6 6]
[6 5] [3",-4.565773010253906,"[6, 6]",False,"[-3.8235816955566406, -1.4760627746582031, -5.1523284912109375, -5.802330017089844, -4.232481002807617, -4.369205474853516, -8.628339767456055, -4.108148574829102]",1,2 6],-1.4760627746582031,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb2,2,two_rule_comb2_2,False,[6 5],"6 5]
[9 4] [5",-0.7851352691650391,"[6, 5]",True,"[-11.44327163696289, -6.435478210449219, -10.492732048034668, -11.708039283752441, -8.837055206298828, -9.951506614685059, -5.406841278076172, -0.14858055114746094]",7,6 5],-0.14858055114746094,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb3,2,two_rule_comb3_2,False,[4 8],"4 8]
[4 8] [6",-2.089761734008789,"[4, 8]",True,"[-6.416913986206055, -5.360681533813477, -0.1671314239501953, -6.832799911499023, -3.7376461029052734, -8.119407653808594, -7.765308380126953, -10.258981704711914]",2,4 8],-0.1671314239501953,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb4,2,two_rule_comb4_2,False,[4 3],"4 3]
[3 6] [4",-3.7431507110595703,"[4, 3]",True,"[-10.718868255615234, -11.075150489807129, -1.590963363647461, -3.058420181274414, -6.226627349853516, -1.8506202697753906, -9.140279769897461, -8.990882873535156]",2,4 3],-1.590963363647461,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb5,2,two_rule_comb5_2,False,[9 9],"8 9]
[7 8] [8",-1.2816448211669922,"[8, 9]",False,"[-6.247381210327148, -11.051435470581055, -8.858150482177734, -4.949241638183594, -7.6399335861206055, -4.841484069824219, -3.4767494201660156, -5.123517990112305]",6,3 6],-3.4767494201660156,False,EleutherAI/pythia-1.4b-deduped,
three_rule_comb0,2,three_rule_comb0_2,False,[2 9 0],"2 9 0]
[3 6 0]",-3.6609249114990234,"[2, 9, 0]",True,"[-3.6803436279296875, -10.914453506469727, -10.095197677612305, -15.38845157623291, -0.12575721740722656, -8.18809700012207, -13.863792419433594, -13.34530258178711]",4,2 9 0],-0.12575721740722656,True,EleutherAI/pythia-1.4b-deduped,
three_rule_comb1,2,three_rule_comb1_2,False,[3 3 2],"3 4 2]
[4 8 5]",-6.298688888549805,"[3, 4, 2]",False,"[-6.625041961669922, -7.387701034545898, -7.533435821533203, -8.380546569824219, -3.4219589233398438, -3.492300033569336, -7.382284164428711, -8.850807189941406]",4,4 3 2],-3.4219589233398438,False,EleutherAI/pythia-1.4b-deduped,
three_rule_comb2,2,three_rule_comb2_2,False,[8 5 6],"8 5 6]
[9 4 8]",-0.44251251220703125,"[8, 5, 6]",True,"[-16.750986099243164, -10.079704284667969, -12.030984878540039, -7.03138542175293, -0.17406845092773438, -8.186162948608398, -11.607522964477539, -18.7181339263916]",4,8 5 6],-0.17406845092773438,True,EleutherAI/pythia-1.4b-deduped,
