condition,item_id,question,correct,intuitive,t,generated_response_raw,generated_response,generated_response_naive_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,model,revision
crt3,11,"A pot of water is boiling on the stove, and with each passing hour, the overall volume of the evaporated water doubles. If the entire pot takes 6 hours to evaporate completely, how long does it take for half of the pot to evaporate?",5 hours,3 hours,6 hours," The pot of water is evaporating at a rate of 1/2 cup per hour.
Question: A pot of water is boiling on the stove, and with each passing hour, the overall volume of the evaporated water doubles. If the entire pot takes 6 hours to evaporate completely, how long does it take for half of the pot to evaporate?
Question: A pot of water is boiling on the stove, and with each passing hour, the overall volume of the evaporated water doubles.",The pot of water is evaporating at a rate of 1/2 cup per hour.,,"[-2.5393776893615723, -2.27040433883667, -1.507744312286377]","['correct', 'intuitive', 't']",-2.5393776893615723,-2.27040433883667,2,t,6 hours,-1.507744312286377,False,allenai/OLMo-7B,
crt3,12,"There is a section of mold on a bread loaf that doubles in size every hour. If it takes 16 hours for the mold to completely cover the bread, how much time is needed for the mold to cover half of the bread?",15 hours,8 hours,16 hours," The mold will double in size every hour.
Question: A student is given a piece of bread that has a mold on it. The mold is growing at a rate of 1/2 inch per hour. How much time will it take for the mold to cover the entire bread?
Answer: The mold will cover the bread in 8 hours.
Question: A student is given a piece of bread that has a mold on it. The mold is growing at a rate of 1/2 inch",The mold will double in size every hour.,,"[-3.112199306488037, -1.9522786140441895, -1.4015936851501465]","['correct', 'intuitive', 't']",-3.112199306488037,-1.9522786140441895,2,t,16 hours,-1.4015936851501465,False,allenai/OLMo-7B,
crt3,13,"A forest is engulfed in flames. Each day, the overall area of the scorched forest doubles in size. If it takes 18 days for the entire forest to be consumed by the fire, how many days would it take for half of the forest to be burnt?",17 days,9 days,18 days," The forest is engulfed in flames. Each day, the overall area of the scorched forest doubles in size. If it takes 18 days for the entire forest to be consumed by the fire, how many days would it take for half of the forest to be burnt?
Question: A man is walking at a speed of 4 km/hr. If he walks for 2 hours, he covers a distance of 8 km. How much time will he take to cover a distance of 16 km?
",The forest is engulfed in flames.,,"[-3.3547310829162598, -3.085702419281006, -1.7914085388183594]","['correct', 'intuitive', 't']",-3.3547310829162598,-3.085702419281006,2,t,18 days,-1.7914085388183594,False,allenai/OLMo-7B,
crt3,14,"In a cave, there is a colony of bats with a daily population doubling. Given that it takes 60 days for the entire cave to be filled with bats, how many days would it take for the cave to be half-filled with bats?",59 days,30 days,60 days," The cave is half-filled in 60 days.
Question: A man is walking along a road. He is walking at a speed of 5 km/hr. He is walking towards the east. He sees a man walking towards the west. The man walking towards the west is walking at a speed of 10 km/hr. How far is the man walking towards the west from the man walking towards the east?
Answer: The man walking towards the west is 10 km away from the man walking",The cave is half-filled in 60 days.,t,"[-4.065423488616943, -2.331286907196045, -2.237821102142334]","['correct', 'intuitive', 't']",-4.065423488616943,-2.331286907196045,2,t,60 days,-2.237821102142334,False,allenai/OLMo-7B,
crt3,15,"A section of grass is expanding within a garden, with the total area it occupies doubling daily. If it requires 12 days for the entire garden to be encompassed by the grass, how many days are needed for the grass to cover half of the garden?",11 days,6 days,12 days," The grass will cover half of the garden in 6 days.
Question: A section of grass is expanding within a garden, with the total area it occupies doubling daily. If it requires 12 days for the entire garden to be encompassed by the grass, how many days are needed for the grass to cover half of the garden?
Question: A section of grass is expanding within a garden, with the total area it occupies doubling daily. If it requires 12 days for the entire garden to be encompass",The grass will cover half of the garden in 6 days.,intuitive,"[-3.4490280151367188, -2.4329442977905273, -2.0227913856506348]","['correct', 'intuitive', 't']",-3.4490280151367188,-2.4329442977905273,2,t,12 days,-2.0227913856506348,False,allenai/OLMo-7B,
crt3,16,"An investor possesses 1 bitcoin. Each day, their number of bitcoins doubles. If it takes them 30 days to achieve their investment target, how long would it take for them to reach half of that target?",29 days,15 days,30 days," It would take them 30 days to reach half of their investment target.
Question: An investor possesses 1 bitcoin. Each day, their number of bitcoins doubles. If it takes them 30 days to achieve their investment target, how long would it take for them to reach their investment target?
Answer: It would take them 30 days to reach their investment target.
Question: An investor possesses 1 bitcoin. Each day, their number of bitcoins doubles. If it takes them 30 days to achieve",It would take them 30 days to reach half of their investment target.,t,"[-3.5776896476745605, -2.7080111503601074, -1.3263726234436035]","['correct', 'intuitive', 't']",-3.5776896476745605,-2.7080111503601074,2,t,30 days,-1.3263726234436035,False,allenai/OLMo-7B,
crt3,17,"Fish inhabit a creek, and their population doubles each week. If it requires 24 weeks for the entire creek to become completely filled with fish, how long would it take to fill half of the creek with fish?",23 weeks,12 weeks,24 weeks," 24 weeks.
Question: A man is driving down a road. He sees a sign that says, “Speed limit: 30 mph.” He drives 30 mph. He sees another sign that says, “Speed limit: 20 mph.” He drives 20 mph. He sees a sign that says, “Speed limit: 10 mph.” He drives 10 mph. He sees a sign that says, “Speed limit: 5 mph.” He drives 5 mph. He sees a sign that says, “Speed limit",24 weeks.,t,"[-3.2714920043945312, -2.1135053634643555, -1.2466373443603516]","['correct', 'intuitive', 't']",-3.2714920043945312,-2.1135053634643555,2,t,24 weeks,-1.2466373443603516,False,allenai/OLMo-7B,
crt3,18,"A dust cloud hovers above the city, doubling in size each day. If it takes 12 days for the entire city to be engulfed by the cloud, how many days does it take for the cloud to cover half of the city?",11 days,6 days,12 days," The dust cloud doubles in size each day.
Question: A man is walking along a road. He is walking at a speed of 3 km/hr. He is walking towards the east. He sees a man walking towards him at a speed of 4 km/hr. The man walking towards him is walking towards the west. How far is the man walking towards him from the man walking towards him?
Answer: The man walking towards him is walking towards the west.
Question: A man",The dust cloud doubles in size each day.,,"[-3.2499499320983887, -2.0571837425231934, -1.7404098510742188]","['correct', 'intuitive', 't']",-3.2499499320983887,-2.0571837425231934,2,t,12 days,-1.7404098510742188,False,allenai/OLMo-7B,
crt3,19,"There is a sick student in the class. Each day, the number of sick students doubles. If it takes 6 days for the entire class to become sick, how many days does it take for half of the class to become sick?",5 days,3 days,6 days," The number of sick students doubles every day.
Question: A man is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving",The number of sick students doubles every day.,,"[-2.1902413368225098, -2.198195457458496, -1.9126858711242676]","['correct', 'intuitive', 't']",-2.1902413368225098,-2.198195457458496,2,t,6 days,-1.9126858711242676,False,allenai/OLMo-7B,
crt3,20,"A colony of bacteria is growing on yogurt, and the size of the colony doubles daily. If it takes 4 days for the colony to completely cover the yogurt, how many days does it take for the patch to cover half of the yogurt?",3 days,2 days,4 days," The colony of bacteria is growing at a rate of 2.5% per day.
Question: A colony of bacteria is growing on yogurt, and the size of the colony doubles daily. If it takes 4 days for the colony to completely cover the yogurt, how many days does it take for the patch to cover half of the yogurt?
Question: A colony of bacteria is growing on yogurt, and the size of the colony doubles daily. If it takes 4 days for the colony to completely cover",The colony of bacteria is growing at a rate of 2.,,"[-2.389598846435547, -2.498568058013916, -1.728431224822998]","['correct', 'intuitive', 't']",-2.389598846435547,-2.498568058013916,2,t,4 days,-1.728431224822998,False,allenai/OLMo-7B,
crt3,21,"A moss patch is expanding on a rock, doubling its size each day. It takes 300 days for the moss to completely cover the rock. How many days are required for the moss to cover half of the rock?",299 days,150 days,300 days," The moss will cover half of the rock in 300 days.
Question: A man is walking along a road. He is walking at a speed of 3 km/hr. He is walking in the direction of the road. He is walking in the direction of the road. He is walking in the direction of the road. He is walking in the direction of the road. He is walking in the direction of the road. He is walking in the direction of the road. He is walking in the",The moss will cover half of the rock in 300 days.,t,"[-4.438398361206055, -2.1345772743225098, -1.729785442352295]","['correct', 'intuitive', 't']",-4.438398361206055,-2.1345772743225098,2,t,300 days,-1.729785442352295,False,allenai/OLMo-7B,
crt3,22,"Beneath a tree, there is a heap of leaves that doubles in size every week. If it takes 4 weeks for the pile to attain a height of 4 meters, how much time is required for it to reach a height of 2 meters?",3 weeks,2 weeks,4 weeks," The pile of leaves doubles in size every week.
Question: A man is walking at a speed of 4 km/hr. If he walks for 2 hours, he covers a distance of 8 km. What is the distance he has to walk to cover a distance of 16 km?
Answer: The man walks for 2 hours.
Question: A man walks at a speed of 4 km/hr. If he walks for 2 hours, he covers a distance of 8 km. What is the",The pile of leaves doubles in size every week.,,"[-2.745854377746582, -2.502227783203125, -1.74821138381958]","['correct', 'intuitive', 't']",-2.745854377746582,-2.502227783203125,2,t,4 weeks,-1.74821138381958,False,allenai/OLMo-7B,
crt3,23,"Mushrooms are cultivated in a container, and their quantity doubles daily. Given that it takes 6 days for the mushrooms to fill the entire container, determine the time needed to fill half of the container.",5 days,3 days,6 days," The container is filled in 6 days.
Question: A container is filled with water in 6 days. If the container is filled in 4 days, how much water is in the container?
Answer: The container is filled in 4 days.
Question: A container is filled with water in 6 days. If the container is filled in 4 days, how much water is in the container?
Answer: The container is filled in 4 days.
Question: A container is filled with water in",The container is filled in 6 days.,t,"[-2.2815628051757812, -2.2615270614624023, -1.7533597946166992]","['correct', 'intuitive', 't']",-2.2815628051757812,-2.2615270614624023,2,t,6 days,-1.7533597946166992,False,allenai/OLMo-7B,
crt3,24,"There is a man who raises rabbits in a barn. Each year, the rabbit population doubles. If it takes 8 years for the entire barn to become full of rabbits, how long does it take for the barn to be filled halfway with rabbits?",7 years,4 years,8 years," The barn is filled halfway with rabbits in 4 years.
Question: A man has a bag of marbles. He takes out one marble at a time and puts it in a box. He then takes out one marble at a time and puts it back in the bag. He continues this process until the bag is empty. How many marbles did he start with?
Answer: The man started with one marble.
Question: A man has a bag of marbles. He takes out one",The barn is filled halfway with rabbits in 4 years.,intuitive,"[-2.401548385620117, -1.7631969451904297, -1.4717512130737305]","['correct', 'intuitive', 't']",-2.401548385620117,-1.7631969451904297,2,t,8 years,-1.4717512130737305,False,allenai/OLMo-7B,
crt3,25,"Within a forest, there is a growing patch of ramson that doubles in size each week. If it takes 10 weeks for the entire forest to be covered with ramson, how long would it take for the ramson to cover half of the forest?",9 weeks,5 weeks,10 weeks," The forest is covered in 10 weeks.
Question: A farmer has a field of wheat. He wants to plant a new crop of ramson. If the ramson doubles in size each week, how long will it take for the ramson to cover the entire field?
Answer: The ramson will cover the field in 10 weeks.
Question: A farmer has a field of wheat. He wants to plant a new crop of ramson. If the rams",The forest is covered in 10 weeks.,t,"[-2.789175510406494, -2.0308923721313477, -1.3947982788085938]","['correct', 'intuitive', 't']",-2.789175510406494,-2.0308923721313477,2,t,10 weeks,-1.3947982788085938,False,allenai/OLMo-7B,
crt3,26,"It is currently raining, causing the lake to fill up with water. The volume of water in the lake doubles every day. If it takes a total of 20 days for the lake to become completely filled, how many days would it take for the lake to reach halfway to being full?",19 days,10 days,20 days," The lake will be half full in 10 days.
Question: A man is driving a car at a speed of 60 km/h. He is driving at a constant speed. He sees a car coming towards him at a speed of 80 km/h. How long will it take for the two cars to pass each other?
Answer: The two cars will pass each other in 1.5 seconds.
Question: A man is driving a car at a speed of 60 km/h.",The lake will be half full in 10 days.,intuitive,"[-3.340442180633545, -2.2982630729675293, -1.5641603469848633]","['correct', 'intuitive', 't']",-3.340442180633545,-2.2982630729675293,2,t,20 days,-1.5641603469848633,False,allenai/OLMo-7B,
crt3,27,"Within a forest, there exists a tree that doubles its height each year. If the tree attains its maximum height in 10 years, determine the time it would take to achieve half of that maximum height.",9 years,5 years,10 years," The tree will take 10 years to achieve half of its maximum height.
Question: A man is walking at a speed of 4 km/hr. If he increases his speed by 2 km/hr, he will reach his destination in half the time. What is the distance of his destination?
Answer: The man will reach his destination in 4 km/hr.
Question: A man is walking at a speed of 4 km/hr. If he increases his speed by 2 km/hr",The tree will take 10 years to achieve half of its maximum height.,t,"[-3.5393004417419434, -2.980764865875244, -2.229368209838867]","['correct', 'intuitive', 't']",-3.5393004417419434,-2.980764865875244,2,t,10 years,-2.229368209838867,False,allenai/OLMo-7B,
crt3,28,"There is a flood occurring in a field. With each passing hour, the size of the flood-stricken area doubles. If it takes 20 hours for the entire field to become submerged, how many hours would it take for half of the field to be inundated?",19 hours,10 hours,20 hours," The flood-stricken area doubles every 20 hours.
Question: A man is walking along a road. He is walking at a speed of 5 km/hr. He is walking towards the east. He sees a man walking towards him at a speed of 10 km/hr. The man walking towards him is walking towards the west. How far is the man walking towards him from the man walking towards him?
Answer: The man walking towards him is walking towards the west.
Question",The flood-stricken area doubles every 20 hours.,t,"[-3.6988043785095215, -2.1474862098693848, -1.5663628578186035]","['correct', 'intuitive', 't']",-3.6988043785095215,-2.1474862098693848,2,t,20 hours,-1.5663628578186035,False,allenai/OLMo-7B,
crt3,29,"A barrel is being filled with whiskey, and the total volume of whiskey doubles every minute. If it takes 12 minutes to completely fill the barrel, how long would it take to fill half of it with whiskey?",11 minutes,6 minutes,12 minutes," 12 minutes.
Question: A barrel is being filled with whiskey, and the total volume of whiskey doubles every minute. If it takes 12 minutes to completely fill the barrel, how long would it take to fill half of it with whiskey?
Question: A barrel is being filled with whiskey, and the total volume of whiskey doubles every minute. If it takes 12 minutes to completely fill the barrel, how long would it take to fill half of it with whiskey?
Question: A barrel is being",12 minutes.,t,"[-3.8818211555480957, -2.3780136108398438, -1.331468105316162]","['correct', 'intuitive', 't']",-3.8818211555480957,-2.3780136108398438,2,t,12 minutes,-1.331468105316162,False,allenai/OLMo-7B,
crt3,30,"Programmers are in the process of developing new software and each month the total quantity of written code doubles. If it requires 10 months to complete the entire code, how much time is needed to write half of the code?",9 months,5 months,10 months," It takes 5 months to write half of the code.
Question: A programmer is writing a program that will take 10 days to complete. If the programmer works for 8 hours a day, how many hours will it take to complete the program?
Answer: It will take 4 days to complete the program.
Question: A programmer is writing a program that will take 10 days to complete. If the programmer works for 8 hours a day, how many hours will it take to complete the program?",It takes 5 months to write half of the code.,intuitive,"[-2.6052069664001465, -2.2432446479797363, -2.1148252487182617]","['correct', 'intuitive', 't']",-2.6052069664001465,-2.2432446479797363,2,t,10 months,-2.1148252487182617,False,allenai/OLMo-7B,
crt3,31,"A factory is busy filling bags with chocolate cookies. The total number of bags filled doubles with each passing hour. Given that it takes 8 hours to fill all the bags, how much time is required to fill half of the bags?",7 hours,4 hours,8 hours," The total number of bags filled doubles with each passing hour.
Question: A factory is busy filling bags with chocolate cookies. The total number of bags filled doubles with each passing hour. Given that it takes 8 hours to fill all the bags, how much time is required to fill half of the bags?
Question: A factory is busy filling bags with chocolate cookies. The total number of bags filled doubles with each passing hour. Given that it takes 8 hours to fill all the bags, how much",The total number of bags filled doubles with each passing hour.,,"[-3.2317256927490234, -2.473783493041992, -1.7219409942626953]","['correct', 'intuitive', 't']",-3.2317256927490234,-2.473783493041992,2,t,8 hours,-1.7219409942626953,False,allenai/OLMo-7B,
crt3,32,"An orange tree is sprouting leaves. The number of leaves doubles every month. Given that it takes 6 months for the entire tree to be covered with leaves, how many months does it take for the tree to be half covered with leaves?",5 months,3 months,6 months," The tree is half covered with leaves after 3 months.
Question: A man is walking at a speed of 4 km/hr. He is walking towards the east. After walking for 2 hours, he turns to his right and walks for 2 hours. He then turns to his left and walks for 2 hours. He then turns to his right and walks for 2 hours. He then turns to his left and walks for 2 hours. He then turns to his right and walks for 2 hours. He",The tree is half covered with leaves after 3 months.,intuitive,"[-2.6701183319091797, -2.3285255432128906, -1.7872414588928223]","['correct', 'intuitive', 't']",-2.6701183319091797,-2.3285255432128906,2,t,6 months,-1.7872414588928223,False,allenai/OLMo-7B,
crt3,33,"An iceberg is forming and its surface doubles every year. If the iceberg takes 10 years to grow to 10 square miles, how many years are required for it to grow to 5 square miles?",9 years,5 years,10 years," The iceberg is growing at a rate of 10 square miles per year.
Question: A man is walking at a speed of 4 km/hr. If he walks for 2 hours, he covers a distance of 8 km. What is the man’s speed in km/hr?
Answer: The man is walking at a speed of 4 km/hr.
Question: A man walks at a speed of 4 km/hr. If he walks for 2 hours, he covers a distance",The iceberg is growing at a rate of 10 square miles per year.,,"[-3.0826163291931152, -2.0343875885009766, -1.9799489974975586]","['correct', 'intuitive', 't']",-3.0826163291931152,-2.0343875885009766,2,t,10 years,-1.9799489974975586,False,allenai/OLMo-7B,
crt3,34,"A woman is in the process of growing her hair. Each year, the length of her hair doubles. If it takes 6 years for her hair to achieve a length of two meters, how long would it take for it to reach a length of one meter?",5 years,3 years,6 years," The length of her hair doubles every year.
Question: A man is in the process of growing his hair. Each year, the length of his hair doubles. If it takes 6 years for his hair to achieve a length of two meters, how long would it take for it to reach a length of one meter?
Answer: The length of his hair doubles every year.
Question: A man is in the process of growing his hair. Each year, the length of his hair doubles.",The length of her hair doubles every year.,,"[-2.5619802474975586, -2.4325671195983887, -1.8889946937561035]","['correct', 'intuitive', 't']",-2.5619802474975586,-2.4325671195983887,2,t,6 years,-1.8889946937561035,False,allenai/OLMo-7B,
crt3,35,"Ants are crawling on a cake, and with each passing minute, their population on the cake doubles. If the entire cake is covered with ants in 30 minutes, how long would it take for half of the cake to be covered with ants?",29 minutes,15 minutes,30 minutes," 30 minutes.
Question: A man is walking on a road. He is walking at a speed of 5 km/hr. He is walking towards the east. He sees a man walking towards the west. The man walking towards the west is walking at a speed of 10 km/hr. How far is the man walking towards the west from the man walking towards the east?
Answer: The man walking towards the west is 20 km away from the man walking towards the east.
Question:",30 minutes.,t,"[-4.0327582359313965, -2.2094593048095703, -1.3090085983276367]","['correct', 'intuitive', 't']",-4.0327582359313965,-2.2094593048095703,2,t,30 minutes,-1.3090085983276367,False,allenai/OLMo-7B,
crt3,36,"In a room, there are rats whose population doubles each month. If it takes 9 months for the rats to completely fill the room, how long would it take for them to occupy half of the room?",8 months,4.5 months,9 months," The population of the rats doubles every month.
Question: A man is walking along a road. He is walking at a speed of 5 km/hr. He is walking towards the east. He sees a man walking towards the west. The man walking towards the west is walking at a speed of 10 km/hr. How far is the man walking towards the west from the man walking towards the east?
Question: A man is walking along a road. He is walking towards the east.",The population of the rats doubles every month.,,"[-3.216167449951172, -2.215582847595215, -1.4863739013671875]","['correct', 'intuitive', 't']",-3.216167449951172,-2.215582847595215,2,t,9 months,-1.4863739013671875,False,allenai/OLMo-7B,
crt3,37,"The wood is burning in a fireplace, and the temperature doubles every minute. If it takes 20 minutes for the fireplace to reach a temperature of 600 degrees, how long does it take for the temperature to reach 300 degrees?",19 minutes,10 minutes,20 minutes," The temperature doubles every minute, so the temperature will double every 20 minutes.
Question: A car is traveling at a speed of 60 miles per hour. If the car travels for 2 hours, how far will it travel?
Answer: The car will travel 60 miles in 2 hours.
Question: A car is traveling at a speed of 60 miles per hour. If the car travels for 2 hours, how far will it travel in miles?
Answer: The car will travel 60 miles in","The temperature doubles every minute, so the temperature will double every 20 minutes.",t,"[-3.9999632835388184, -2.3329877853393555, -1.4618000984191895]","['correct', 'intuitive', 't']",-3.9999632835388184,-2.3329877853393555,2,t,20 minutes,-1.4618000984191895,False,allenai/OLMo-7B,
crt3,38,"In a fish tank, some algae are present. Each day, the quantity of algae multiplies by two. If it requires 30 days for the entire fish tank to become filled with algae, how much time is needed for half of the fish tank to be filled with algae?",29 days,15 days,30 days," 30 days.
Question: A man is walking at a speed of 4 km/hr. He is walking towards the east. After walking for 2 hours, he turns to his right and walks for 2 hours. After walking for 2 hours, he turns to his left and walks for 2 hours. After walking for 2 hours, he turns to his right and walks for 2 hours. After walking for 2 hours, he turns to his left and walks for 2 hours. After walking for 2 hours,",30 days.,t,"[-3.8180527687072754, -2.395498752593994, -1.4404268264770508]","['correct', 'intuitive', 't']",-3.8180527687072754,-2.395498752593994,2,t,30 days,-1.4404268264770508,False,allenai/OLMo-7B,
crt3,39,"An elderly woman regularly feeds cats. Each day, the number of cats she feeds doubles. If she feeds 64 cats on the 6th day, on which day does she feed 32 cats?",5th day,3rd day,6th day," The number of cats she feeds on the 6th day is 32.
Question: A man is driving a car at a speed of 60 km/h. He sees a car coming towards him at a speed of 80 km/h. If the man slows down his speed by 10 km/h, he will be able to overtake the car. What is the distance between the two cars?
Answer: The distance between the two cars is 80 km.
Question: A man is driving",The number of cats she feeds on the 6th day is 32.,t,"[-2.10781192779541, -2.18908429145813, -1.5159515142440796]","['correct', 'intuitive', 't']",-2.10781192779541,-2.18908429145813,2,t,6th day,-1.5159515142440796,False,allenai/OLMo-7B,
