model,revision,model_family,training_step,model_n_params,problem_type,problem_ind,problem_id,perm_invariant,correct_answer,response,response_sum_logprob,response_correct,eval_method,pretty_eval_method
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"2 9]
[3 9] [2",-6.936872482299805,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb4,0,two_rule_comb4_0,False,[1 6],1 6],-3.874822616577149,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 2]
[3 1] [2",-2.4448776245117188,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb5,0,two_rule_comb5_0,False,[2 0],2 0],-2.7765941619873047,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 4 9]",-0.8298511505126953,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],1 8 8],-0.3952598571777344,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 3]
[3 2 6]",-4.164791107177734,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],6 9 0],-3.1807804107666016,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 2]
[6 6 4]",-2.269655227661133,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],0 0 1],-2.069896697998047,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 7 8]
[9 7 8]",-6.741443634033203,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],5 1 7],-5.026676177978516,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 8 1]
[7 2 9]",-5.924510955810547,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],8 7 0],-4.77876091003418,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 2 6]
[1 3 6]",-4.379583358764648,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],5 2 5],-3.0127086639404297,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"0 1 4] [3 9 8]
",-3.962835311889648,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],0 1 6],-5.053827285766602,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"5 4 2]
[5 4 2]",-2.4663162231445312,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],5 2 4],-6.060661315917969,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"8 4 2]
[7 3 8]",-5.54676628112793,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],8 1 2],-4.442985534667969,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"5 7 3]
[6 6 4]",-2.7437210083007812,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],5 7 3],-1.8747234344482424,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 1]
[4 9] [1",-7.298219680786133,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c3_set_union,0,c3_set_union_0,True,[6 4 1 9],],0.0,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c1_set_union,0,c1_set_union_0,True,[4],"1]
[6 1] [6]",-6.191333770751953,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c1_set_union,0,c1_set_union_0,True,[4],1],-1.7053508758544922,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c2_set_union,0,c2_set_union_0,True,[9],"6 9 4] [4 9]
[",-4.151578903198242,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c2_set_union,0,c2_set_union_0,True,[9],],0.0,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,AND,0,AND_0,True,[4],"4 4] [4 4]
[1",-4.055154800415039,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,AND,0,AND_0,True,[4],4 5],-1.834857940673828,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,XOR,0,XOR_0,True,[4 3],"2 2]
[2 1] [1",-6.142642974853516,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,XOR,0,XOR_0,True,[4 3],6 1],-3.4077930450439453,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"2 5]
[6 2] [2",-6.987649917602539,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],],0.0,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],"5 6]
[2] [5 6",-7.094860076904297,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],5 7],-4.831302642822266,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],"3]
[0 3] [9]",-8.841991424560547,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],],0.0,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,XOR_permuted,0,XOR_permuted_0,True,[4 0],"8 4]
[8 4] [8",-5.685268402099609,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,XOR_permuted,0,XOR_permuted_0,True,[4 0],],0.0,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,AND_permuted,0,AND_permuted_0,True,[],"3] [3]
[2] [",-5.232189178466797,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,AND_permuted,0,AND_permuted_0,True,[],],0.0,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,row_constant,1,row_constant_1,False,[4],"4]
[0] [0] [",-2.024110794067383,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,row_constant,1,row_constant_1,False,[4],4],-0.1325855255126953,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,col_constant,1,col_constant_1,False,[9],"9]
[6] [0] [",-0.4472732543945312,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,col_constant,1,col_constant_1,False,[9],9],-0.2983665466308594,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag1,1,dist3_diag1_1,False,[4],"4] [2]
[4] [",-3.81977653503418,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag1,1,dist3_diag1_1,False,[4],4],-1.1155357360839844,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag2,1,dist3_diag2_1,False,[5],"5]
[6] [3] [",-3.599336624145508,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag2,1,dist3_diag2_1,False,[5],5],-0.8415431976318359,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size1,1,prog_size1_1,False,[5],"5]
[4] [5] [",-1.158670425415039,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size1,1,prog_size1_1,False,[5],5],-0.1540184020996093,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size2,1,prog_size2_1,False,[9],"9]
[7] [9] [",-2.333812713623047,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size2,1,prog_size2_1,False,[9],9],-1.295732498168945,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb0,1,two_rule_comb0_1,False,[7 0],"7 0]
[8 9] [8",-2.1388587951660156,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb0,1,two_rule_comb0_1,False,[7 0],7 0],-0.7319412231445312,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb1,1,two_rule_comb1_1,False,[8 9],"7 9]
[7 2] [8",-4.586973190307617,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb1,1,two_rule_comb1_1,False,[8 9],7 9],-2.7847347259521484,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb2,1,two_rule_comb2_1,False,[0 7],"7 7]
[4 5] [2",-7.019002914428711,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb2,1,two_rule_comb2_1,False,[0 7],7 4],-3.7503528594970703,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb3,1,two_rule_comb3_1,False,[9 0],"9 0]
[9 0] [4",-2.8475189208984375,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb3,1,two_rule_comb3_1,False,[9 0],9 0],-1.400800704956055,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb4,1,two_rule_comb4_1,False,[5 7],"5 4]
[4 4] [5",-3.0237483978271484,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb4,1,two_rule_comb4_1,False,[5 7],5 7],-2.535673141479492,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb5,1,two_rule_comb5_1,False,[4 4],"4 4]
[3 5] [4",-1.37030029296875,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb5,1,two_rule_comb5_1,False,[4 4],4 4],-0.8526153564453125,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb0,1,three_rule_comb0_1,False,[3 0 0],"3 0 0]
[1 1 1]",-4.832529067993164,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb0,1,three_rule_comb0_1,False,[3 0 0],3 0 0],-0.8114032745361328,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb1,1,three_rule_comb1_1,False,[8 9 9],"1 4 9]
[8 6 2]",-7.788242340087891,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb1,1,three_rule_comb1_1,False,[8 9 9],2 9 1],-6.306425094604492,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb2,1,three_rule_comb2_1,False,[1 1 9],"1 2 8]
[5 4 10]",-6.678916931152344,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb2,1,three_rule_comb2_1,False,[1 1 9],1 1 9],-2.8961925506591797,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb3,1,three_rule_comb3_1,False,[2 1 2],"1 2 3]
[1 2 4]",-7.101217269897461,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb3,1,three_rule_comb3_1,False,[2 1 2],4 2 4],-4.816614151000977,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb4,1,three_rule_comb4_1,False,[7 9 4],"7 9 4]
[9 7 4]",-5.235908508300781,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb4,1,three_rule_comb4_1,False,[7 9 4],7 9 4],-1.5841331481933594,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb5,1,three_rule_comb5_1,False,[3 3 1],"3 3 2]
[5 4 3]",-5.238502502441406,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb5,1,three_rule_comb5_1,False,[3 3 1],7 6 7],-5.345834732055664,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb6,1,three_rule_comb6_1,False,[7 1 9],"7 1 9]
[2 4 8]",-1.9024791717529297,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb6,1,three_rule_comb6_1,False,[7 1 9],7 1 9],-0.217020034790039,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb7,1,three_rule_comb7_1,False,[3 1 8],"2 1 8]
[1 9 8]",-5.88349723815918,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb7,1,three_rule_comb7_1,False,[3 1 8],3 1 8],-3.94881820678711,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb8,1,three_rule_comb8_1,False,[5 5 5],"5 5 2]
[4 6 1]",-2.9482593536376953,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb8,1,three_rule_comb8_1,False,[5 5 5],5 5 5],-4.508489608764648,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb9,1,three_rule_comb9_1,False,[8 9 0],"8 9 0]
[7 8 1]",-2.653654098510742,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb9,1,three_rule_comb9_1,False,[8 9 0],8 9 0],-2.1837921142578125,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c3_set_union,1,c3_set_union_1,True,[5 7 4 1],"5 4]
[7 1] [4",-6.192325592041016,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c3_set_union,1,c3_set_union_1,True,[5 7 4 1],],0.0,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c1_set_union,1,c1_set_union_1,True,[4],"2]
[2 2] [2]",-7.840969085693359,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c1_set_union,1,c1_set_union_1,True,[4],],0.0,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c2_set_union,1,c2_set_union_1,True,[8],"2 8 9] [9 9]
[",-4.584503173828125,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c2_set_union,1,c2_set_union_1,True,[8],],0.0,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,AND,1,AND_1,True,[1],"1]
[4 1] [7 1",-4.032621383666992,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,AND,1,AND_1,True,[1],],0.0,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,XOR,1,XOR_1,True,[9 8],"3 8]
[2 8] [4",-6.847644805908203,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,XOR,1,XOR_1,True,[9 8],7 2],-3.631977081298828,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c3_set_union_permuted,1,c3_set_union_permuted_1,True,[1 6 7 5],"6 7]
[1] [5]",-5.980253219604492,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c3_set_union_permuted,1,c3_set_union_permuted_1,True,[1 6 7 5],5 1],-3.618965148925781,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c2_set_union_permuted,1,c2_set_union_permuted_1,True,[5],"3 5 6 6] [3 5]
",-7.16807746887207,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c2_set_union_permuted,1,c2_set_union_permuted_1,True,[5],6],-2.542970657348633,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c1_set_union_permuted,1,c1_set_union_permuted_1,True,[4],"2]
[2 4] [2]",-5.283420562744141,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,c1_set_union_permuted,1,c1_set_union_permuted_1,True,[4],2],-1.4488849639892578,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,XOR_permuted,1,XOR_permuted_1,True,[8 4],"2 2]
[2 2] [4",-6.897802352905273,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,XOR_permuted,1,XOR_permuted_1,True,[8 4],2 5],-3.3667640686035156,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,AND_permuted,1,AND_permuted_1,True,[],"2] [2]
[9] [",-5.79802131652832,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,AND_permuted,1,AND_permuted_1,True,[],],0.0,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,row_constant,2,row_constant_2,False,[7],"7]
[2] [2] [",-3.028717041015625,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,row_constant,2,row_constant_2,False,[7],7],-0.0832805633544921,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,col_constant,2,col_constant_2,False,[9],"9]
[4] [2] [",-0.8534278869628906,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,col_constant,2,col_constant_2,False,[9],9],-0.5432758331298828,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag1,2,dist3_diag1_2,False,[7],"7]
[7] [6] [",-2.8489246368408203,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag1,2,dist3_diag1_2,False,[7],7],-1.256784439086914,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag2,2,dist3_diag2_2,False,[5],"5] [2]
[2] [",-3.1985416412353516,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag2,2,dist3_diag2_2,False,[5],5],-0.8588924407958984,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size1,2,prog_size1_2,False,[6],"6]
[5] [6] [",-1.1762542724609375,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size1,2,prog_size1_2,False,[6],6],-0.1632919311523437,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size2,2,prog_size2_2,False,[0],"1]
[2] [1] [",-2.946765899658203,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size2,2,prog_size2_2,False,[0],1],-1.3410282135009766,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb0,2,two_rule_comb0_2,False,[2 4],"2 4]
[3 7] [9",-0.3561115264892578,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb0,2,two_rule_comb0_2,False,[2 4],2 4],-0.1747589111328125,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb1,2,two_rule_comb1_2,False,[2 6],"2 6]
[2 5] [1",-5.281404495239258,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb1,2,two_rule_comb1_2,False,[2 6],2 6],-1.1538448333740234,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb2,2,two_rule_comb2_2,False,[6 5],"6 5]
[9 4] [5",-0.519744873046875,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb2,2,two_rule_comb2_2,False,[6 5],6 5],-0.1708354949951172,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb3,2,two_rule_comb3_2,False,[4 8],"4 8] [6 9]
[1",-2.1808109283447266,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb3,2,two_rule_comb3_2,False,[4 8],4 8],-1.052532196044922,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb4,2,two_rule_comb4_2,False,[4 3],"4 6]
[3 6] [4",-3.422952651977539,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb4,2,two_rule_comb4_2,False,[4 3],4 3],-2.4225311279296875,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb5,2,two_rule_comb5_2,False,[9 9],"9 9]
[7 8] [9",-1.9889392852783203,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb5,2,two_rule_comb5_2,False,[9 9],9 9],-0.9655265808105468,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb0,2,three_rule_comb0_2,False,[2 9 0],"2 9 0]
[3 3 4]",-4.286382675170898,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb0,2,three_rule_comb0_2,False,[2 9 0],2 9 0],-1.3147964477539062,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb1,2,three_rule_comb1_2,False,[3 3 2],"2 3 2]
[5 6 5]",-4.125404357910156,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb1,2,three_rule_comb1_2,False,[3 3 2],4 3 2],-3.5414085388183594,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb2,2,three_rule_comb2_2,False,[8 5 6],"8 5 0]
[9 4 7]",-3.576822280883789,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb2,2,three_rule_comb2_2,False,[8 5 6],8 5 6],-2.476816177368164,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb3,2,three_rule_comb3_2,False,[6 3 7],"6 6 7]
[6 6 7]",-6.8081207275390625,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb3,2,three_rule_comb3_2,False,[6 3 7],6 7 7],-3.6298675537109375,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb4,2,three_rule_comb4_2,False,[9 3 1],"9 3 1]
[7 2 9]",-6.018218994140625,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb4,2,three_rule_comb4_2,False,[9 3 1],9 3 1],-2.0793018341064453,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb5,2,three_rule_comb5_2,False,[5 3 1],"5 3 1]
[4 4 2]",-4.218040466308594,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb5,2,three_rule_comb5_2,False,[5 3 1],5 3 1],-2.4986839294433594,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb6,2,three_rule_comb6_2,False,[1 0 2],"7 0 1]
[6 6 3]",-5.766176223754883,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb6,2,three_rule_comb6_2,False,[1 0 2],1 0 2],-5.065807342529297,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,three_rule_comb7,2,three_rule_comb7_2,False,[4 7 9],"7 7 9] [6 6 6]
",-3.8382320404052734,False,generated,Production
