problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct,model_family,model_n_params,training_step
three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"8 4 2]
[7 3 8]",-5.54676628112793,"[8, 4, 2]",False,"[-4.442985534667969, -8.562658309936523, -8.362075805664062, -5.149930953979492, -7.495269775390625, -7.75377082824707, -6.319358825683594, -8.806886672973633]",0,8 1 2],-4.442985534667969,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"5 7 3]
[6 6 4]",-2.7437210083007812,"[5, 7, 3]",True,"[-5.303184509277344, -7.648899078369141, -3.5753021240234375, -5.470100402832031, -1.8747234344482422, -3.637643814086914, -6.645689010620117, -4.648639678955078]",4,5 7 3],-1.8747234344482424,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 1]
[4 9] [1",-7.298219680786133,[1 6],False,"[-4.701730728149414, -6.0866546630859375, -3.563526153564453, -5.233255386352539, -3.011199951171875, 0.0, -3.5408897399902344, -8.704900741577148]",5,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c1_set_union,0,c1_set_union_0,True,[4],"1]
[6 1] [6]",-6.191333770751953,[1],False,"[-6.687065124511719, -7.280893325805664, -1.7053508758544922, -2.522327423095703, -5.9806976318359375, -5.928672790527344, -6.090600967407227, -11.309967041015625]",2,1],-1.7053508758544922,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c2_set_union,0,c2_set_union_0,True,[9],"6 9 4] [4 9]
[",-4.151578903198242,[4 6 9],False,"[-4.145862579345703, 0.0, -4.095354080200195, -5.418254852294922, -6.30000114440918, -4.11768913269043, -3.589517593383789, -3.2365856170654297]",1,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
AND,0,AND_0,True,[4],"4 4] [4 4]
[1",-4.055154800415039,[4 4],False,"[-7.713432312011719, -7.014726638793945, -17.080778121948242, -1.8348579406738281, -6.240518569946289, -2.0984325408935547, -2.0614662170410156, -6.983057022094727]",3,4 5],-1.834857940673828,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
XOR,0,XOR_0,True,[4 3],"2 2]
[2 1] [1",-6.142642974853516,[2 2],False,"[-16.53196907043457, -6.292316436767578, -6.27082633972168, -6.456733703613281, -3.8374290466308594, -3.4077930450439453, -4.403621673583984, -10.172832489013672]",5,6 1],-3.4077930450439453,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"2 5]
[6 2] [2",-6.987649917602539,[2 5],False,"[0.0, -9.795465469360352, -3.2061309814453125, -5.530815124511719, -4.185405731201172, -7.505613327026367, -13.220980644226074, -9.336254119873047]",0,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],"5 6]
[2] [5 6",-7.094860076904297,[5 6],False,"[-5.35755729675293, -5.230546951293945, -4.957071304321289, -9.70022964477539, -6.2430877685546875, -5.435260772705078, -4.831302642822266, -9.004257202148438]",6,5 7],-4.831302642822266,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],"3]
[0 3] [9]",-8.841991424560547,[3],False,"[-5.226337432861328, -2.2160701751708984, -3.446622848510742, -3.1563453674316406, -5.289157867431641, -2.6289634704589844, -9.473075866699219, 0.0]",7,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
XOR_permuted,0,XOR_permuted_0,True,[4 0],"8 4]
[8 4] [8",-5.685268402099609,[4 8],False,"[-18.369930267333984, -2.8756351470947266, -5.458372116088867, -11.260536193847656, -3.726503372192383, -3.4886817932128906, 0.0, -11.701929092407227]",6,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
AND_permuted,0,AND_permuted_0,True,[],"3] [3]
[2] [",-5.232189178466797,[3],False,"[-6.589214324951172, -5.419155120849609, -14.590442657470703, -13.977519989013672, 0.0, -10.172319412231445, -1.6105766296386719, -6.974939346313477]",4,],0.0,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
row_constant,1,row_constant_1,False,[4],"4]
[0] [0] [",-2.024110794067383,[4],True,"[-3.895902633666992, -4.348112106323242, -5.5694122314453125, -4.747465133666992, -5.61871337890625, -0.1325855255126953, -4.316947937011719, -3.0907974243164062]",5,4],-0.1325855255126953,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
col_constant,1,col_constant_1,False,[9],"9]
[6] [0] [",-0.4472732543945312,[9],True,"[-0.2983665466308594, -5.376459121704102, -3.964254379272461, -4.216510772705078, -2.3294906616210938, -5.162040710449219, -4.479957580566406, -4.307924270629883]",0,9],-0.2983665466308594,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag1,1,dist3_diag1_1,False,[4],"4] [2]
[4] [",-3.81977653503418,[4],True,"[-2.5001659393310547, -1.4777965545654297, -3.486602783203125, -5.148387908935547, -1.1155357360839844, -3.827028274536133, -4.70945930480957, -3.4416275024414062]",4,4],-1.1155357360839844,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag2,1,dist3_diag2_1,False,[5],"5]
[6] [3] [",-3.599336624145508,[5],True,"[-0.8415431976318359, -5.482282638549805, -2.237649917602539, -2.277751922607422, -2.1445980072021484, -2.960561752319336, -2.8780155181884766, -2.306062698364258]",0,5],-0.8415431976318359,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
prog_size1,1,prog_size1_1,False,[5],"5]
[4] [5] [",-1.158670425415039,[5],True,"[-5.12347412109375, -6.154279708862305, -5.526490211486816, -3.3369998931884766, -4.359445571899414, -4.027109146118164, -0.15401840209960938, -3.0735950469970703]",6,5],-0.1540184020996093,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
prog_size2,1,prog_size2_1,False,[9],"9]
[7] [9] [",-2.333812713623047,[9],True,"[-3.869312286376953, -2.6956729888916016, -1.2957324981689453, -3.228527069091797, -2.735128402709961, -1.6336421966552734, -4.899740219116211, -4.378299713134766]",2,9],-1.295732498168945,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb0,1,two_rule_comb0_1,False,[7 0],"7 0]
[8 9] [8",-2.1388587951660156,"[7, 0]",True,"[-0.7319412231445312, -7.554588317871094, -5.38831901550293, -10.819890975952148, -7.999305725097656, -8.953248977661133, -7.883537292480469, -5.828275680541992]",0,7 0],-0.7319412231445312,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb1,1,two_rule_comb1_1,False,[8 9],"7 9]
[7 2] [8",-4.586973190307617,"[7, 9]",False,"[-5.152179718017578, -4.361112594604492, -2.7847347259521484, -4.214027404785156, -3.0117244720458984, -5.448293685913086, -3.6325454711914062, -4.14879035949707]",2,7 9],-2.7847347259521484,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb2,1,two_rule_comb2_1,False,[0 7],"7 7]
[4 5] [2",-7.019002914428711,"[7, 7]",False,"[-5.408138275146484, -5.378419876098633, -3.969114303588867, -5.346813201904297, -6.877286911010742, -3.7503528594970703, -3.831035614013672, -5.451465606689453]",5,7 4],-3.7503528594970703,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb3,1,two_rule_comb3_1,False,[9 0],"9 0]
[9 0] [4",-2.8475189208984375,"[9, 0]",True,"[-4.997907638549805, -4.958244323730469, -6.454309463500977, -4.564430236816406, -1.4008007049560547, -5.100427627563477, -4.7026824951171875, -4.135496139526367]",4,9 0],-1.400800704956055,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb4,1,two_rule_comb4_1,False,[5 7],"5 4]
[4 4] [5",-3.0237483978271484,"[5, 4]",False,"[-6.730926513671875, -7.3267974853515625, -5.207113265991211, -5.501642227172852, -2.535673141479492, -6.509773254394531, -8.00179672241211, -4.062700271606445]",4,5 7],-2.535673141479492,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb5,1,two_rule_comb5_1,False,[4 4],"4 4]
[3 5] [4",-1.37030029296875,"[4, 4]",True,"[-0.8526153564453125, -4.398136138916016, -6.577859878540039, -2.851604461669922, -7.454565048217773, -5.6716156005859375, -10.007209777832031, -9.541126251220703]",0,4 4],-0.8526153564453125,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb0,1,three_rule_comb0_1,False,[3 0 0],"3 0 0]
[1 1 1]",-4.832529067993164,"[3, 0, 0]",True,"[-0.8114032745361328, -11.499137878417969, -9.126726150512695, -11.422332763671875, -8.716415405273438, -11.566352844238281, -12.539299011230469, -4.78038215637207]",0,3 0 0],-0.8114032745361328,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb1,1,three_rule_comb1_1,False,[8 9 9],"1 4 9]
[8 6 2]",-7.788242340087891,"[1, 4, 9]",False,"[-7.313909530639648, -7.7740478515625, -7.8453521728515625, -8.013633728027344, -6.306425094604492, -6.988727569580078, -8.545936584472656, -9.544097900390625]",4,2 9 1],-6.306425094604492,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb2,1,three_rule_comb2_1,False,[1 1 9],"1 2 8]
[5 4 10]",-6.678916931152344,"[1, 2, 8]",False,"[-2.8961925506591797, -13.510969161987305, -6.321666717529297, -6.496126174926758, -12.023918151855469, -7.389129638671875, -4.068727493286133, -13.158103942871094]",0,1 1 9],-2.8961925506591797,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb3,1,three_rule_comb3_1,False,[2 1 2],"1 2 3]
[1 2 4]",-7.101217269897461,"[1, 2, 3]",False,"[-4.9124755859375, -12.993331909179688, -6.701274871826172, -6.957921981811523, -6.654523849487305, -5.3531341552734375, -4.816614151000977, -6.060197830200195]",6,4 2 4],-4.816614151000977,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb4,1,three_rule_comb4_1,False,[7 9 4],"7 9 4]
[9 7 4]",-5.235908508300781,"[7, 9, 4]",True,"[-9.897542953491211, -2.765483856201172, -11.594217300415039, -6.560333251953125, -1.5841331481933594, -9.79592514038086, -9.271774291992188, -10.309938430786133]",4,7 9 4],-1.5841331481933594,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb5,1,three_rule_comb5_1,False,[3 3 1],"3 3 2]
[5 4 3]",-5.238502502441406,"[3, 3, 2]",False,"[-8.335948944091797, -9.589397430419922, -8.535005569458008, -10.576240539550781, -11.586030960083008, -5.5766754150390625, -5.345834732055664, -9.85930061340332]",6,7 6 7],-5.345834732055664,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb6,1,three_rule_comb6_1,False,[7 1 9],"7 1 9]
[2 4 8]",-1.9024791717529297,"[7, 1, 9]",True,"[-7.941751480102539, -9.911008834838867, -0.21702003479003906, -7.974103927612305, -9.054559707641602, -6.102313995361328, -7.970403671264648, -5.902681350708008]",2,7 1 9],-0.217020034790039,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb7,1,three_rule_comb7_1,False,[3 1 8],"2 1 8]
[1 9 8]",-5.88349723815918,"[2, 1, 8]",False,"[-9.886287689208984, -7.422832489013672, -5.548488616943359, -7.186805725097656, -8.48403549194336, -3.9488182067871094, -13.307371139526367, -8.591571807861328]",5,3 1 8],-3.94881820678711,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb8,1,three_rule_comb8_1,False,[5 5 5],"5 5 2]
[4 6 1]",-2.9482593536376953,"[5, 5, 2]",False,"[-4.508489608764648, -8.768899917602539, -7.535888671875, -10.342378616333008, -11.326948165893555, -6.203886032104492, -8.543281555175781, -12.098794937133789]",0,5 5 5],-4.508489608764648,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb9,1,three_rule_comb9_1,False,[8 9 0],"8 9 0]
[7 8 1]",-2.653654098510742,"[8, 9, 0]",True,"[-8.432233810424805, -2.1837921142578125, -7.11317253112793, -9.778079986572266, -9.709158897399902, -9.525028228759766, -6.243213653564453, -8.07455062866211]",1,8 9 0],-2.1837921142578125,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c3_set_union,1,c3_set_union_1,True,[5 7 4 1],"5 4]
[7 1] [4",-6.192325592041016,[4 5],False,"[-4.997524261474609, -4.379323959350586, -11.112878799438477, 0.0, -4.726490020751953, -3.583829879760742, -6.526218414306641, -4.929128646850586]",3,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c1_set_union,1,c1_set_union_1,True,[4],"2]
[2 2] [2]",-7.840969085693359,[2],False,"[-7.693819046020508, -5.403829574584961, -2.670682907104492, -4.83544921875, 0.0, -9.138463973999023, -3.4331741333007812, -9.511739730834961]",4,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c2_set_union,1,c2_set_union_1,True,[8],"2 8 9] [9 9]
[",-4.584503173828125,[2 8 9],False,"[-6.294952392578125, 0.0, -5.305562973022461, -3.143413543701172, -3.993143081665039, -5.45600700378418, -3.9337329864501953, -4.067859649658203]",1,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
AND,1,AND_1,True,[1],"1]
[4 1] [7 1",-4.032621383666992,[1],True,"[-8.44529914855957, -7.751802444458008, -7.890296936035156, -8.768451690673828, -1.594705581665039, 0.0, -12.947320938110352, -16.608444213867188]",5,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
XOR,1,XOR_1,True,[9 8],"3 8]
[2 8] [4",-6.847644805908203,[3 8],False,"[-6.839971542358398, -6.36485481262207, -4.576257705688477, -6.585718154907227, -13.048105239868164, -17.669645309448242, -4.5402984619140625, -3.631977081298828]",7,7 2],-3.631977081298828,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c3_set_union_permuted,1,c3_set_union_permuted_1,True,[1 6 7 5],"6 7]
[1] [5]",-5.980253219604492,[6 7],False,"[-12.856159210205078, -5.272436141967773, -8.588386535644531, -6.969379425048828, -5.48858642578125, -3.6189651489257812, -5.049407958984375, -4.210380554199219]",5,5 1],-3.618965148925781,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c2_set_union_permuted,1,c2_set_union_permuted_1,True,[5],"3 5 6 6] [3 5]
",-7.16807746887207,[3 5 6 6],False,"[-10.368719100952148, -3.410432815551758, -5.69337272644043, -5.962701797485352, -7.506635665893555, -3.8712196350097656, -2.542970657348633, -7.830839157104492]",6,6],-2.542970657348633,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c1_set_union_permuted,1,c1_set_union_permuted_1,True,[4],"2]
[2 4] [2]",-5.283420562744141,[2],False,"[-10.514028549194336, -8.496562957763672, -4.344261169433594, -2.8769493103027344, -8.779666900634766, -1.4488849639892578, -3.097423553466797, -3.6819019317626953]",5,2],-1.4488849639892578,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
XOR_permuted,1,XOR_permuted_1,True,[8 4],"2 2]
[2 2] [4",-6.897802352905273,[2 2],False,"[-5.221220016479492, -3.5518531799316406, -3.8303070068359375, -4.717401504516602, -3.3667640686035156, -6.399736404418945, -8.396554946899414, -6.059480667114258]",4,2 5],-3.3667640686035156,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
AND_permuted,1,AND_permuted_1,True,[],"2] [2]
[9] [",-5.79802131652832,[2],False,"[-10.808061599731445, 0.0, -4.527767181396484, -6.4730987548828125, -11.291379928588867, -3.7728710174560547, -10.564596176147461, -5.6035003662109375]",1,],0.0,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
row_constant,2,row_constant_2,False,[7],"7]
[2] [2] [",-3.028717041015625,[7],True,"[-0.08328056335449219, -4.45465087890625, -5.88177490234375, -6.734479904174805, -3.736003875732422, -5.22471809387207, -5.039216995239258, -5.529285430908203]",0,7],-0.0832805633544921,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
col_constant,2,col_constant_2,False,[9],"9]
[4] [2] [",-0.8534278869628906,[9],True,"[-4.174379348754883, -3.3154525756835938, -4.09904670715332, -4.220085144042969, -3.7067642211914062, -3.5812606811523438, -0.5432758331298828, -3.685436248779297]",6,9],-0.5432758331298828,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag1,2,dist3_diag1_2,False,[7],"7]
[7] [6] [",-2.8489246368408203,[7],True,"[-3.5352115631103516, -3.3849124908447266, -1.256784439086914, -5.495473861694336, -1.735696792602539, -3.9975547790527344, -1.6019153594970703, -1.5696334838867188]",2,7],-1.256784439086914,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag2,2,dist3_diag2_2,False,[5],"5] [2]
[2] [",-3.1985416412353516,[5],True,"[-3.062376022338867, -2.2708568572998047, -5.091724395751953, -3.130828857421875, -0.8588924407958984, -4.1878662109375, -5.674121856689453, -2.439472198486328]",4,5],-0.8588924407958984,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
prog_size1,2,prog_size1_2,False,[6],"6]
[5] [6] [",-1.1762542724609375,[6],True,"[-3.7779064178466797, -0.16329193115234375, -3.2840423583984375, -6.183435440063477, -4.033958435058594, -4.056709289550781, -3.7757701873779297, -5.064491271972656]",1,6],-0.1632919311523437,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
prog_size2,2,prog_size2_2,False,[0],"1]
[2] [1] [",-2.946765899658203,[1],False,"[-2.460235595703125, -2.2298011779785156, -1.3410282135009766, -1.6753005981445312, -3.192411422729492, -2.376443862915039, -2.5613574981689453, -2.7666873931884766]",2,1],-1.3410282135009766,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb0,2,two_rule_comb0_2,False,[2 4],"2 4]
[3 7] [9",-0.3561115264892578,"[2, 4]",True,"[-5.212007522583008, -7.926128387451172, -10.302324295043945, -6.418596267700195, -7.411954879760742, -0.1747589111328125, -7.708074569702148, -7.011369705200195]",5,2 4],-0.1747589111328125,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb1,2,two_rule_comb1_2,False,[2 6],"2 6]
[2 5] [1",-5.281404495239258,"[2, 6]",True,"[-6.063671112060547, -1.1538448333740234, -6.284721374511719, -4.185760498046875, -6.839269638061523, -6.423585891723633, -8.742116928100586, -4.844366073608398]",1,2 6],-1.1538448333740234,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb2,2,two_rule_comb2_2,False,[6 5],"6 5]
[9 4] [5",-0.519744873046875,"[6, 5]",True,"[-9.722085952758789, -4.184085845947266, -9.729998588562012, -10.118551254272461, -8.345660209655762, -8.573431015014648, -4.082954406738281, -0.1708354949951172]",7,6 5],-0.1708354949951172,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb3,2,two_rule_comb3_2,False,[4 8],"4 8] [6 9]
[1",-2.1808109283447266,"[4, 8]",True,"[-4.162731170654297, -4.987157821655273, -1.0525321960449219, -5.515913009643555, -2.09722900390625, -5.456905364990234, -6.639699935913086, -8.794136047363281]",2,4 8],-1.052532196044922,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb4,2,two_rule_comb4_2,False,[4 3],"4 6]
[3 6] [4",-3.422952651977539,"[4, 6]",False,"[-8.937037467956543, -11.125329971313477, -2.4225311279296875, -3.6675758361816406, -5.095462799072266, -4.077201843261719, -4.917600631713867, -7.433893203735352]",2,4 3],-2.4225311279296875,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
