condition,model,model_family,model_n_params,item_id,question,response,response_label,response_correct,eval_method,pretty_eval_method
crt1,Llama-2 7B,Llama-2,7.0,43,A scarf and a ring together cost $1.20. The scarf costs $1 more than the ring. How much does the ring cost?,$0.20,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,44,A pair of leggings and a scarf together cost $52. The pair of leggings costs $50 more than the scarf. How much does the scarf cost?,$24.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,44,A pair of leggings and a scarf together cost $52. The pair of leggings costs $50 more than the scarf. How much does the scarf cost?,$1,correct_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,45,A wall clock and a light bulb together cost $1.30. The wall clock costs $1 more than the light bulb. How much does the light bulb cost?,$0.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,45,A wall clock and a light bulb together cost $1.30. The wall clock costs $1 more than the light bulb. How much does the light bulb cost?,$0.30,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,46,A blanket and a flashlight together cost $52. The blanket costs $50 more than the flashlight. How much does the flashlight cost?,$2.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,46,A blanket and a flashlight together cost $52. The blanket costs $50 more than the flashlight. How much does the flashlight cost?,$2,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,47,A keyboard and a pair of socks together cost $54. The keyboard costs $50 more than the pair of socks. How much does the pair of socks cost?,$4.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,47,A keyboard and a pair of socks together cost $54. The keyboard costs $50 more than the pair of socks. How much does the pair of socks cost?,$4,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,48,A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50 more than the pizza. How much does the pizza cost?,The pizza costs $13.,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,48,A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50 more than the pizza. How much does the pizza cost?,$3.00,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,49,A pear and a bottle of ouzo together cost $54. The pear costs $50 more than the bottle of ouzo. How much does the bottle of ouzo cost?,The bottle of ouzo costs $3.,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,49,A pear and a bottle of ouzo together cost $54. The pear costs $50 more than the bottle of ouzo. How much does the bottle of ouzo cost?,$4,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,50,A pizza and a toy together cost $13. The pizza costs $10 more than the toy. How much does the toy cost?,$3.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,50,A pizza and a toy together cost $13. The pizza costs $10 more than the toy. How much does the toy cost?,$3,intuitive_alt,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$140.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$140,total_cost_alt,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$1.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$1,more_alt,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$110.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$110,total_cost_alt,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$12.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$12,total_cost_alt,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$13.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$13,total_cost_alt,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$10.00,,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$4.00,intuitive,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$52.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$52,total_cost_alt,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$51.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$51,total_cost_alt,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,The helmet costs $1.,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$1.20,total_cost,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$5.00,,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$3,intuitive_alt,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,11,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,$10.00,,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,11,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,$54.00,total_cost,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,12,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,$100.00,,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,12,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,$500.00,more,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,13,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,$1.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,13,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,$1.20,total_cost,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,14,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,$110.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,14,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,$110,total_cost_alt,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,15,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,The set of crayons costs $100 more than the bottle of bath salts.,,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,15,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,$520.00,total_cost,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,16,A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,$12.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,16,A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,$12,total_cost_alt,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,17,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,$52.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,17,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,$52,total_cost_alt,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,18,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,$1.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,18,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,$1.20,total_cost,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,19,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,$12.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,19,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,$12,total_cost_alt,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,20,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,The flower box costs $50 more than the trampoline.,more,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,20,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,$54,total_cost_alt,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,21,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,$50.00,,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,21,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,$130,total_cost_alt,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,22,A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,$5.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,22,A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,$5.40,total_cost,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,23,A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,$5.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,23,A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,$5.40,total_cost,False,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,24,A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,$540.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,24,A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,$540,total_cost_alt,True,mc,Forced choice
crt1,Pythia 6.9B,Pythia,6.9,25,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,$1.00,total_cost,False,generated,Production
crt1,Pythia 6.9B,Pythia,6.9,25,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,$1,more_alt,False,mc,Forced choice
