item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical
44,NPIs,TS 5,grammatical,No students that the teachers punished could expect any friendliness from the strict principal,The students that no teachers punished could expect any friendliness from the strict principal
45,NPIs,TS 6,ungrammatical,No soldiers that the diplomats supported have shown any bravery in the controversial war,The soldiers that no diplomats supported have shown any bravery in the controversial war
46,NPIs,TS 7,ungrammatical,No professors that the students respected have ever wanted negativity in a class debate,The professors that no students respected have ever wanted negativity in a class debate
47,NPIs,TS 8,ungrammatical,No comments that the politicians ignored have caused any bitterness toward the liberal newspapers,The comments that no politicians ignored have caused any bitterness toward the liberal newspapers
48,NPIs,TS 9,ungrammatical,No lawyers that the businessmen respected have ever received criticism for a bad trial,The lawyers that no businessmen respected have ever received criticism for a bad trial
49,NPIs,TS 10,ungrammatical,No babysitters that the children obeyed have shown any gratitude to the disappointed parents,The babysitters that no children obeyed have shown any gratitude to the disappointed parents
50,Order of Adjectives,TS 1,grammatical,I wore a beautiful long Italian silk dress,I wore a silk Italian long beautiful dress
51,Order of Adjectives,TS 2,grammatical,I bought a nice small German electric bike,I bought an electric German small nice bike
52,Order of Adjectives,TS 3,grammatical,I washed an ugly wide American wool sweater,I washed a wool American wide ugly sweater
53,Order of Adjectives,TS 4,grammatical,I painted a fine short Swedish wooden table,I painted a wooden Swedish short fine table
54,Order of Adjectives,TS 5,grammatical,I saw a graceful tall Venetian vitreous vase,I saw a vitreous Venetian tall graceful vase
55,Order of Adjectives,TS 6,ungrammatical,I wore a beautiful long Italian silk dress,I wore a silk Italian long beautiful dress
56,Order of Adjectives,TS 7,ungrammatical,I bought a nice small German electric bike,I bought an electric German small nice bike
57,Order of Adjectives,TS 8,ungrammatical,I washed an ugly wide American wool sweater,I washed a wool American wide ugly sweater
58,Order of Adjectives,TS 9,ungrammatical,I painted a fine short Swedish wooden table,I painted a wooden Swedish short fine table
59,Order of Adjectives,TS 10,ungrammatical,I saw a graceful tall Venetian vitreous vase,I saw a vitreous Venetian tall graceful vase
60,Order of Adverbs,TS 1,grammatical,Charlotte allegedly once was an acrobat,Charlotte once allegedly was an acrobat
61,Order of Adverbs,TS 2,grammatical,Sean probably already did his homework,Sean already probably did his homework
62,Order of Adverbs,TS 3,grammatical,Melissa then always cleaned the dishes,Melissa always then cleaned the dishes
63,Order of Adverbs,TS 4,grammatical,Dre perhaps still takes dance lessons,Dre still perhaps takes dance lessons
64,Order of Adverbs,TS 5,grammatical,Emily probably no longer drinks beer,Emily no longer probably drinks beer
65,Order of Adverbs,TS 6,ungrammatical,Marc allegedly once was a firefighter,Marc once allegedly was a firefighter
66,Order of Adverbs,TS 7,ungrammatical,Sonja probably already set the table,Sonja already probably set the table
67,Order of Adverbs,TS 8,ungrammatical,Jacob then always did his homework,Jacob always then did his homework
68,Order of Adverbs,TS 9,ungrammatical,Gary perhaps still drives to work,Gary still perhaps drives to work
69,Order of Adverbs,TS 10,ungrammatical,Jeff probably no longer eats sushi,Jeff no longer probably eats sushi
70,Plural Attraction,TS 1,grammatical,The key to the cabinets probably was destroyed by the fire,The key to the cabinets probably were destroyed by the fire
71,Plural Attraction,TS 2,grammatical,The picture on the fliers definitely was of a village church in the south of France,The picture on the fliers definitely were of a village church in the south of France
72,Plural Attraction,TS 3,grammatical,The label on the containers probably was a warning about the hazardous chemicals inside,The label on the containers probably were a warning about the hazardous chemicals inside
73,Plural Attraction,TS 4,grammatical,The crime in the suburbs doubtlessly was a reflection of the violence in today's society,The crime in the suburbs doubtlessly were a reflection of the violence in today's society
74,Plural Attraction,TS 5,grammatical,The entrance to the exhibits evidently was hard to locate on the diagram,The entrance to the exhibits evidently were hard to locate on the diagram
75,Plural Attraction,TS 6,ungrammatical,The slogan on the posters unsurprisingly was designed to get attention,The slogan on the posters unsurprisingly were designed to get attention
76,Plural Attraction,TS 7,ungrammatical,The mistake in the programs certainly was disastrous for the small software company,The mistake in the programs certainly were disastrous for the small software company
77,Plural Attraction,TS 8,ungrammatical,The problem in the stores ultimately was solved by firing the custodian,The problem in the stores ultimately were solved by firing the custodian
78,Plural Attraction,TS 9,ungrammatical,The defect in the appliances likely was unknown to consumers and government regulators,The defect in the appliances likely were unknown to consumers and government regulators
79,Plural Attraction,TS 10,ungrammatical,The door to the laboratories accidentally was left unlocked by the cleaning service,The door to the laboratories accidentally were left unlocked by the cleaning service
