condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,11,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50," $54

Question: A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?
Answer: $54

Question: A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?
Answer:",$54.00,total_cost,total_cost,"[-2.240891218185425, -2.1786060333251953, -1.9676573276519775, -2.435981273651123, -2.6635236740112305, -2.4503331184387207, -1.7056841850280762, -2.464437484741211]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.240891218,-2.178606033,6,total_cost_alt,$54,-1.705684185,FALSE,-2.663523674,-2.450333118,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,12,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,$10.00,$20.00,$520.00,$500.00,$10,$20,$520,$500," The box of batteries costs $520.

Question: A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?
Answer: The box of batteries costs $520.

Question: A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?
Answer:",The box of batteries costs $520.,total_cost_alt,total_cost,"[-2.5683038234710693, -2.691577434539795, -2.168827533721924, -2.440685987472534, -2.9653477668762207, -3.051840305328369, -1.7283987998962402, -2.2183642387390137]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.568303823,-2.691577435,6,total_cost_alt,$520,-1.7283988,FALSE,-2.965347767,-3.051840305,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,13,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1," The can of baby food costs $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?

Question: A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?
Answer: The can of baby food costs $1.20. The mouse costs $1 more than the can of",The can of baby food costs $1.,more_alt,total_cost,"[-1.5350217819213867, -1.2370660305023193, -0.7663180828094482, -1.4119222164154053, -1.5350217819213867, -1.2370660305023193, -0.7663180828094482, -1.0375370979309082]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.535021782,-1.237066031,2,total_cost,$1.20,-0.7663180828,FALSE,-1.535021782,-1.237066031,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,14,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100," $110

Question: A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?
Answer: $110

Question: A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?
Answer: $110

Question: A bottle of shampoo",$110.00,total_cost,total_cost,"[-2.277824878692627, -2.3036892414093018, -2.02787446975708, -2.248976707458496, -2.8203744888305664, -2.2118592262268066, -1.4473576545715332, -1.9233436584472656]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.277824879,-2.303689241,6,total_cost_alt,$110,-1.447357655,FALSE,-2.820374489,-2.211859226,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,15,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,$10.00,$20.00,$520.00,$500.00,$10,$20,$520,$500," The set of crayons costs $520.

Question: A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?
Answer: The set of crayons costs $520.

Question: A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $",The set of crayons costs $520.,total_cost_alt,total_cost,"[-2.632587432861328, -2.764021396636963, -2.241248607635498, -2.512389898300171, -2.852569580078125, -3.076082229614258, -1.724186897277832, -2.223388195037842]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.632587433,-2.764021397,6,total_cost_alt,$520,-1.724186897,FALSE,-2.85256958,-3.07608223,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,16,A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10," $10

Question: A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?
Answer: $10

Question: A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?
Answer: $10

Question: A set of wine glasses and a pencil together cost",$10.00,more,more,"[-2.101388692855835, -2.136094808578491, -1.988347053527832, -1.8188538551330566, -2.337094783782959, -2.1092605590820312, -1.6065731048583984, -1.544168472290039]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.101388693,-2.136094809,7,more_alt,$10,-1.544168472,FALSE,-2.337094784,-2.109260559,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,17,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50," The camera costs $52. The wallet costs $50 more than the camera.

Question: A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?
Answer: The camera costs $52. The wallet costs $50 more than the camera.

Question: A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?
Answer:",The camera costs $52.,total_cost_alt,total_cost,"[-2.2509405612945557, -2.459689140319824, -1.990532398223877, -2.4675939083099365, -2.6389379501342773, -2.9504685401916504, -1.7111263275146484, -2.2662301063537598]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.250940561,-2.45968914,6,total_cost_alt,$52,-1.711126328,FALSE,-2.63893795,-2.95046854,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,18,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1," $1.20

Question: A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?
Answer: $1.20

Question: A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?
Answer: $1",$1.00,more,total_cost,"[-1.6257412433624268, -1.2896811962127686, -0.7711946964263916, -1.4354722499847412, -1.6257412433624268, -1.2896811962127686, -0.7711946964263916, -0.9213576316833496]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.625741243,-1.289681196,2,total_cost,$1.20,-0.7711946964,FALSE,-1.625741243,-1.289681196,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,19,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10," $10

Question: A man buys a new car for $20,000. He sells the car for $15,000. How much did he earn?
Answer: $15,000

Question: A man buys a new car for $20,000. He sells the car for $15,000. How much did he earn?
Answer: $15,000

Question: A man buys a new car for $20,000. He sells the car",$10.00,more,more,"[-1.950315237045288, -1.969489574432373, -2.0087602138519287, -1.868154525756836, -2.0122861862182617, -1.7872319221496582, -1.5958948135375977, -1.5568695068359375]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.950315237,-1.969489574,7,more_alt,$10,-1.556869507,FALSE,-2.012286186,-1.787231922,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,20,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50," The flower box costs $54. The trampoline costs $54 more than the flower box.

Question: A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?
Answer: The flower box costs $54. The trampoline costs $54 more than the flower box.

Question: A trampoline and a flower box together cost $54. The trampoline costs $50 more",The flower box costs $54.,total_cost_alt,total_cost,"[-2.566089153289795, -2.431736469268799, -2.0309131145477295, -2.454357147216797, -2.9415407180786133, -2.6839218139648438, -1.6628661155700684, -2.327515125274658]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.566089153,-2.431736469,6,total_cost_alt,$54,-1.662866116,FALSE,-2.941540718,-2.683921814,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,21,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,$15.00,$30.00,$130.00,$100.00,$15,$30,$130,$100," The lawnmower costs $130. The silicone case costs $100 more than the lawnmower.

Question: A lawnmower costs $100. The lawnmower is worth $100 more than a lawnmower. How much does the lawnmower cost?
Answer: The lawnmower costs $100. The lawnmower is worth $100 more than a lawnmower.

Question: A lawnmower costs $100. The lawnmower is",The lawnmower costs $130.,total_cost_alt,total_cost,"[-2.990122079849243, -2.838157892227173, -2.1858463287353516, -2.4645512104034424, -3.557121753692627, -2.864732265472412, -1.6069178581237793, -2.253230571746826]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.99012208,-2.838157892,6,total_cost_alt,$130,-1.606917858,FALSE,-3.557121754,-2.864732265,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,22,A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,$0.20,$0.40,$5.40,$5.00,$0.20,$0.40,$5.40,$5," The microwave oven costs $5.40.

Question: A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?
Answer: The microwave oven costs $5.40.

Question: A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?
Answer: The microwave oven costs",The microwave oven costs $5.,more_alt,total_cost,"[-1.7414517402648926, -1.4936084747314453, -0.8209021091461182, -1.4172801971435547, -1.7414517402648926, -1.4936084747314453, -0.8209021091461182, -1.234875202178955]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.74145174,-1.493608475,2,total_cost,$5.40,-0.8209021091,FALSE,-1.74145174,-1.493608475,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,23,A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,$0.20,$0.40,$5.40,$5.00,$0.20,$0.40,$5.40,$5," The mixing bowl costs $5.40.

Question: A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?
Answer: The mixing bowl costs $5.40.

Question: A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?
Answer: The mixing bowl costs",The mixing bowl costs $5.,more_alt,total_cost,"[-1.8296396732330322, -1.6177361011505127, -0.882399320602417, -1.5534486770629883, -1.8296396732330322, -1.6177361011505127, -0.882399320602417, -1.359266757965088]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.829639673,-1.617736101,2,total_cost,$5.40,-0.8823993206,FALSE,-1.829639673,-1.617736101,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,24,A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,$20.00,$40.00,$540.00,$500.00,$20,$40,$540,$500," $540

Question: A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?
Answer: $540

Question: A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?
Answer: $540

Question: A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much",$540.00,total_cost,total_cost,"[-2.865126609802246, -2.844863176345825, -2.4063727855682373, -2.579777717590332, -2.9857888221740723, -2.9317240715026855, -1.7424607276916504, -2.3537497520446777]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.86512661,-2.844863176,6,total_cost_alt,$540,-1.742460728,FALSE,-2.985788822,-2.931724072,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,25,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1," The box of cigarettes costs $1.40.

Question: A box of cigarettes costs $1.40. The box of cigarettes costs $1 more than the purse. How much does the purse cost?
Answer: The purse costs $1.40.

Question: A box of cigarettes costs $1.40. The box of cigarettes costs $1 more than the purse. How much does the purse cost?
Answer: The purse costs $1.40.

",The box of cigarettes costs $1.,more_alt,total_cost,"[-1.4818408489227295, -1.3123888969421387, -0.69854736328125, -1.3950023651123047, -1.4818408489227295, -1.3123888969421387, -0.69854736328125, -0.900843620300293]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.481840849,-1.312388897,2,total_cost,$1.40,-0.6985473633,FALSE,-1.481840849,-1.312388897,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,26,A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,$2.00,$4.00,$14.00,$10.00,$2,$4,$14,$10," The microwave oven costs $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?

Question: A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?
Answer: The microwave oven costs $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost",The microwave oven costs $14.,total_cost_alt,total_cost,"[-2.2366154193878174, -2.169069528579712, -2.22358775138855, -2.017997980117798, -2.399674415588379, -2.090602397918701, -1.7423686981201172, -1.8668293952941895]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.236615419,-2.169069529,6,total_cost_alt,$14,-1.742368698,FALSE,-2.399674416,-2.090602398,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,27,A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50," The food processor costs $50.

Question: A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?
Answer: The food processor costs $50.

Question: A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?
Answer: The food processor costs $50.

Question: A",The food processor costs $50.,more_alt,more,"[-2.4335098266601562, -2.372993230819702, -2.1246652603149414, -2.452862501144409, -2.9637551307678223, -2.791337490081787, -2.047110080718994, -2.5196051597595215]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.433509827,-2.372993231,6,total_cost_alt,$54,-2.047110081,FALSE,-2.963755131,-2.79133749,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,28,A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,$5.00,$10.00,$510.00,$500.00,$5,$10,$510,$500," The pot costs $500.

Question: A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?
Answer: The pot costs $500.

Question: A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?
Answer: The pot costs $500.

Question: A coat and a pot together cost $510.",The pot costs $500.,more_alt,more,"[-2.4720520973205566, -2.5972704887390137, -2.253737211227417, -2.3182625770568848, -2.696697235107422, -2.52534818649292, -1.9733519554138184, -1.9675569534301758]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.472052097,-2.597270489,7,more_alt,$500,-1.967556953,FALSE,-2.696697235,-2.525348186,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,29,A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,$0.05,$0.10,$5.10,$5.00,$0.05,$0.10,$5.10,$5," The set of wine glasses costs $5.10.

Question: A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?
Answer: The set of wine glasses costs $5.10.

Question: A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How",The set of wine glasses costs $5.,more_alt,total_cost,"[-2.2069411277770996, -1.6448884010314941, -0.9936413764953613, -1.5527701377868652, -2.2069411277770996, -1.6448884010314941, -0.9936413764953613, -1.355010986328125]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.206941128,-1.644888401,2,total_cost,$5.10,-0.9936413765,FALSE,-2.206941128,-1.644888401,FALSE,EleutherAI/pythia-2.8b-deduped,
