condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,11,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50,"$4.
Question: A man walks into a bar and orders a beer. The bartender pulls out a gun and points it at him. The man says “Thank you” and walks out. Why?
Answer: The man had hiccups and the bartender scared him and cured them.
Question: A man rode into town on Tuesday and stayed in a hotel. Two nights later he rode home on Tuesday",$4.00,intuitive,intuitive,"[-1.2208335399627686, -0.9169521331787109, -1.6306787729263306, -1.7166643142700195, -1.5625171661376953, -0.8359546661376953, -2.0190799236297607, -2.045121431350708]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.22083354,-0.9169521332,5,intuitive_alt,$4,-0.8359546661,FALSE,-1.562517166,-0.8359546661,FALSE,meta-llama/Llama-2-70b-hf,
crt1,12,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,$10.00,$20.00,$520.00,$500.00,$10,$20,$520,$500,"The box of batteries costs $20.
Question: A farmer has 17 sheep and all but nine die. How many are left?
Answer: Nine.
Question: A man builds a house with four sides of rectangular construction, each side having a southern exposure. A big bear walks by, what color is the bear? Why?
Answer: White. The house is at the North Pole, and the bear is a polar bear.
",The box of batteries costs $20.,intuitive_alt,intuitive,"[-0.8264573216438293, -0.8089650273323059, -1.479358434677124, -1.424358606338501, -0.7696335911750793, -0.6070505976676941, -1.4493141174316406, -1.3373360633850098]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.8264573216,-0.8089650273,5,intuitive_alt,$20,-0.6070505977,FALSE,-0.7696335912,-0.6070505977,FALSE,meta-llama/Llama-2-70b-hf,
crt1,13,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1,"The mouse costs $1.05 and the can of baby food costs $0.05.
Question: If you are running in a race and you pass the person in 2nd place, what place are you in?
Answer: You are in second place. You would have to pass the person in first place to be in first.
Question: If you have a 3-gallon jug and a 5-gallon jug, how can you measure",The mouse costs $1.,more_alt,,"[-0.5803901553153992, -0.787667453289032, -1.2556571960449219, -1.142829179763794, -0.5803901553153992, -0.787667453289032, -1.2556571960449219, -1.8881254196166992]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.5803901553,-0.7876674533,0,correct,$0.10,-0.5803901553,TRUE,-0.5803901553,-0.7876674533,FALSE,meta-llama/Llama-2-70b-hf,
crt1,14,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100,"$5. The shampoo costs $105.
Question: A man is found dead in a field. Beside him is an unopened package. There is no other creature in sight, and the package is unmarked. How did he die?
Answer: He was a skydiver whose parachute failed to open.
Question: A man walks into a bar and asks the bartender for a glass of water. The bartender",$5.00,correct,correct,"[-0.8991958498954773, -1.2347393035888672, -1.6500740051269531, -1.4098480939865112, -0.6306829452514648, -0.9967854619026184, -1.4958062171936035, -1.1680684089660645]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.8991958499,-1.234739304,4,correct_alt,$5,-0.6306829453,FALSE,-0.6306829453,-0.9967854619,TRUE,meta-llama/Llama-2-70b-hf,
crt1,15,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,$10.00,$20.00,$520.00,$500.00,$10,$20,$520,$500,The set of crayons costs $20.,The set of crayons costs $20.,intuitive_alt,intuitive,"[-0.752768337726593, -0.7853741645812988, -1.5623973608016968, -1.4099385738372803, -0.6586624979972839, -0.5471976399421692, -1.5423734188079834, -1.367257833480835]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.7527683377,-0.7853741646,5,intuitive_alt,$20,-0.5471976399,FALSE,-0.658662498,-0.5471976399,FALSE,meta-llama/Llama-2-70b-hf,
crt1,16,A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10,"The pencil costs $2.
Question: If you have 100 coins and a scale that can tell you whether a coin is heavier or lighter than the other, how many times do you need to weigh the coins to find the fake coin?
Answer: You can find the fake coin in just one weighing.
Question: There are 500 bricks on a plane. One falls off. How many are left?
Answer",The pencil costs $2.,intuitive_alt,intuitive,"[-0.9279699325561523, -0.8748270273208618, -1.5880528688430786, -1.482807993888855, -1.0815730094909668, -1.0268855094909668, -1.8243366479873657, -1.5430866479873657]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.9279699326,-0.8748270273,1,intuitive,$2.00,-0.8748270273,FALSE,-1.081573009,-1.026885509,FALSE,meta-llama/Llama-2-70b-hf,
crt1,17,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50,"$2.
If the camera costs $2, then the wallet costs $52, for a total of $54.
If the camera costs $3, then the wallet costs $53, for a total of $56.
If the camera costs $5, then the wallet costs $55, for a total of $60, and so on.
The only combination that adds up to $52 is $2 and $50",$2.00,intuitive,intuitive,"[-1.1977298259735107, -0.8294788599014282, -1.626236915588379, -1.680423378944397, -1.7002887725830078, -0.7081012725830078, -1.820680022239685, -1.8154716491699219]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.197729826,-0.8294788599,5,intuitive_alt,$2,-0.7081012726,FALSE,-1.700288773,-0.7081012726,FALSE,meta-llama/Llama-2-70b-hf,
crt1,18,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1,"$0.10
Question: If you buy a rooster for $2.00, a hen for $2.50, a pig for $2.25, a goat for $2.75, and a donkey for $2.00, how much will you have spent?
Answer: $2.00, the rest are female animals.
Question: What is the difference between a jeweler and a jailer",$0.00,,correct,"[-0.6992648839950562, -0.6622554659843445, -1.404087781906128, -1.0290019512176514, -0.6992648839950562, -0.6622554659843445, -1.404087781906128, -1.8075790405273438]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.699264884,-0.662255466,1,intuitive,$0.20,-0.662255466,FALSE,-0.699264884,-0.662255466,FALSE,meta-llama/Llama-2-70b-hf,
crt1,19,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10,"$2. If the pear cost $2, then the tube of toothpaste would cost $12, and together they would cost $14.
Question: A person walks into a room with 39 people in it. Each person shakes hands with every other person. How many handshakes take place?
Answer: 789. Each person shakes hands with 38 other people, and there are 39 people in the room",$2.00,intuitive,intuitive,"[-1.0618751049041748, -0.8534542322158813, -1.4700120687484741, -1.3053102493286133, -1.0120439529418945, -0.7854814529418945, -1.5570589303970337, -1.1169548034667969]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.061875105,-0.8534542322,5,intuitive_alt,$2,-0.7854814529,FALSE,-1.012043953,-0.7854814529,FALSE,meta-llama/Llama-2-70b-hf,
crt1,20,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50,"The flower box costs $4.
Question: A boy has as many sisters as brothers, but each sister has only half as many sisters as brothers. How many brothers and sisters are there in the family?
Answer: There are four boys and three girls.
Question: The product of two consecutive numbers is 392. What is the smaller number?
Answer: The smaller number is 18.
Question: A farmer had 17 sheep.",The flower box costs $4.,intuitive_alt,intuitive,"[-1.1975427865982056, -0.9300348162651062, -1.6341980695724487, -1.6771302223205566, -1.5470843315124512, -0.7970843315124512, -1.9305938482284546, -2.008718729019165]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.197542787,-0.9300348163,5,intuitive_alt,$4,-0.7970843315,FALSE,-1.547084332,-0.7970843315,FALSE,meta-llama/Llama-2-70b-hf,
crt1,21,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,$15.00,$30.00,$130.00,$100.00,$15,$30,$130,$100,"The lawnmower costs $10.
Question: A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?
Answer: The ball costs $0.05.
Question: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?
Answer: 5",The lawnmower costs $10.,,,"[-1.3146553039550781, -1.1654659509658813, -1.6554309129714966, -1.4290846586227417, -1.5518531799316406, -1.1890805959701538, -1.627469539642334, -1.3556098937988281]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.314655304,-1.165465951,1,intuitive,$30.00,-1.165465951,FALSE,-1.55185318,-1.189080596,FALSE,meta-llama/Llama-2-70b-hf,
crt1,22,A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,$0.20,$0.40,$5.40,$5.00,$0.20,$0.40,$5.40,$5,"The microwave oven costs $1.00.
Question: The number of sheep in a flock is 10 more than the number of cows in a herd. The number of cows in the herd is 5 more than the number of sheep in the flock. How many sheep are in the flock?
Answer: There are 15 sheep in the flock.
Question: A farmer has 120 sheep and ",The microwave oven costs $1.,,,"[-1.089773178100586, -0.6453670263290405, -1.3172794580459595, -1.4021656513214111, -1.089773178100586, -0.6453670263290405, -1.3172794580459595, -2.6998720169067383]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.089773178,-0.6453670263,1,intuitive,$0.40,-0.6453670263,FALSE,-1.089773178,-0.6453670263,FALSE,meta-llama/Llama-2-70b-hf,
crt1,23,A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,$0.20,$0.40,$5.40,$5.00,$0.20,$0.40,$5.40,$5,"The mixing bowl costs $0.40.
Question: A woman bought a certain number of apples for 25 cents per apple. She then bought the same number of pears for 15 cents per pear. The woman spent $4.50 in all. How many pieces of fruit did she buy?
Answer: The woman bought 15 pieces of fruit.
Question: A woman bought a certain number of apples for 25",The mixing bowl costs $0.,,intuitive,"[-1.1789052486419678, -0.6070840954780579, -1.371720314025879, -1.4659826755523682, -1.1789052486419678, -0.6070840954780579, -1.371720314025879, -2.827287197113037]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.178905249,-0.6070840955,1,intuitive,$0.40,-0.6070840955,FALSE,-1.178905249,-0.6070840955,FALSE,meta-llama/Llama-2-70b-hf,
crt1,24,A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,$20.00,$40.00,$540.00,$500.00,$20,$40,$540,$500,"$5. The mouse costs $5.
The hat costs $500 more than the mouse. If the mouse costs $5, then the hat costs $505. $5 + $505 = $510. $510 + $5 = $515. $515 + $5 = $520. $520 + $5 = $525. $525 + $5 = $5",$5.00,,,"[-1.2555370330810547, -1.1707347631454468, -1.3097436428070068, -1.3836536407470703, -1.4248281717300415, -0.7969620823860168, -1.1606636047363281, -1.2716641426086426]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.255537033,-1.170734763,5,intuitive_alt,$40,-0.7969620824,FALSE,-1.424828172,-0.7969620824,FALSE,meta-llama/Llama-2-70b-hf,
crt1,25,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1,"$0.35.
The purse costs $1.35 and the box of cigarettes cost $0.35.
The purse costs $1 more than the box of cigarettes, so if the box of cigarettes costs $0.35, then the purse will cost $1.35.
If the purse costs $1.35 and the box of cigarettes costs $0.3",$0.00,,,"[-0.9578922390937805, -0.7735522985458374, -1.236907958984375, -0.9100246429443359, -0.9578922390937805, -0.7735522985458374, -1.236907958984375, -1.6359405517578125]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.9578922391,-0.7735522985,1,intuitive,$0.40,-0.7735522985,FALSE,-0.9578922391,-0.7735522985,FALSE,meta-llama/Llama-2-70b-hf,
crt1,26,A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,$2.00,$4.00,$14.00,$10.00,$2,$4,$14,$10,"The microwave oven costs $4.
Question: The sum of two numbers is 9. If twice the larger number is subtracted from 3 times the smaller number, the result is 18. Find the two numbers.
Answer: The two numbers are 3 and 6.
Question: A candy store sells a box of candy for $1.00. The candy store makes a 20% profit on the box of c",The microwave oven costs $4.,intuitive_alt,intuitive,"[-0.8879142999649048, -0.980075478553772, -1.6491336822509766, -1.390032410621643, -0.9090633392333984, -1.2293758392333984, -1.9398053884506226, -1.8434511423110962]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.8879143,-0.9800754786,0,correct,$2.00,-0.8879143,TRUE,-0.9090633392,-1.229375839,FALSE,meta-llama/Llama-2-70b-hf,
crt1,27,A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50,"$4.
Question: A bat and a ball together cost $1.10. The bat costs $1 more than the ball. How much does the ball cost?
Answer: $0.05.
Question: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?
Answer: 5 minutes.
Question: In a lake, there is a",$4.00,intuitive,intuitive,"[-1.2654321193695068, -0.9163454174995422, -1.5361164808273315, -1.6460999250411987, -1.6478114128112793, -0.7493739128112793, -1.7015529870986938, -1.831761360168457]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.265432119,-0.9163454175,5,intuitive_alt,$4,-0.7493739128,FALSE,-1.647811413,-0.7493739128,FALSE,meta-llama/Llama-2-70b-hf,
crt1,28,A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,$5.00,$10.00,$510.00,$500.00,$5,$10,$510,$500,"$10. The coat costs $500 more than the pot, so the coat costs $510. Therefore, the coat and the pot together cost $1010.
Question: A snail creeps 10 feet up a wall during the daytime, then sleeps at night. It sleeps for 6 hours, then in the morning it slides back down 5 feet. If this goes on for 24 days, approximately how far",$10.00,intuitive,intuitive,"[-1.2458341121673584, -0.7313554883003235, -1.3627655506134033, -1.5267869234085083, -1.6882052421569824, -0.43720659613609314, -1.2182729244232178, -1.4031665325164795]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.245834112,-0.7313554883,5,intuitive_alt,$10,-0.4372065961,FALSE,-1.688205242,-0.4372065961,FALSE,meta-llama/Llama-2-70b-hf,
crt1,29,A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,$0.05,$0.10,$5.10,$5.00,$0.05,$0.10,$5.10,$5,"The set of wine glasses cost $0.10.
Question: A set of 12 pencils costs $1.70. A set of 16 pencils costs $2.40. How much does each pencil cost?
Answer: Each pencil costs $0.15.
Question: A set of 12 pencils costs $1.70. A set of 16 pencils costs",The set of wine glasses cost $0.,,intuitive,"[-1.0554803609848022, -0.6458940505981445, -1.3141024112701416, -1.5134607553482056, -1.0554803609848022, -0.6458940505981445, -1.3141024112701416, -2.6428751945495605]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.055480361,-0.6458940506,1,intuitive,$0.10,-0.6458940506,FALSE,-1.055480361,-0.6458940506,FALSE,meta-llama/Llama-2-70b-hf,
crt1,30,A hat and a coffee table together cost $1.20. The hat costs $1 more than the coffee table. How much does the coffee table cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1,"$0.15. The hat costs $1.15.
A hat and a coffee table together cost $1.20 Riddle Meme with riddle and answer link.",$0.00,,,"[-0.64849853515625, -0.700147271156311, -1.1696857213974, -0.8755474090576172, -0.64849853515625, -0.700147271156311, -1.1696857213974, -1.466165542602539]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.6484985352,-0.7001472712,0,correct,$0.10,-0.6484985352,TRUE,-0.6484985352,-0.7001472712,FALSE,meta-llama/Llama-2-70b-hf,
crt1,31,A pencil and a keyboard together cost $14. The pencil costs $10 more than the keyboard. How much does the keyboard cost?,$2.00,$4.00,$14.00,$10.00,$2,$4,$14,$10,"$2.
Question: If you have 12 apples and you give 3 to your friend, how many apples do you have left?
Question: A train leaves New York City (NYC) heading toward Los Angeles (LA) at 100 mph. Another train leaves LA heading toward NYC at 200 mph. How long will it take for the trains to meet?
Answer: They never meet, one is going to NY",$2.00,correct,correct,"[-1.0036004781723022, -1.0163511037826538, -1.6096583604812622, -1.4128798246383667, -1.1000704765319824, -1.0688204765319824, -1.7053314447402954, -1.5907481908798218]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.003600478,-1.016351104,0,correct,$2.00,-1.003600478,TRUE,-1.100070477,-1.068820477,FALSE,meta-llama/Llama-2-70b-hf,
